ref	label	line_no	speaker	pattern	matched_en	en	zh
# game/script.rpy:13773	map043_81e4b12e	5092	char_fortaime	steal thunder	steal your thunder	Hey, I'm just trying to be nice!\nI didn't mean to steal your thunder.\nAfter all, this day is all about {i}you{/i}!	se/z00208.ogg
# game/script.rpy:15110	click_map078_12_EV012_514a67cd	5257	Narration	in the dark	in the dark	I really wish I could just hop back into bed.{w}\nBut I guess I have responsibilities and stuff.{w}\nI shouldn't keep Mylus in the dark for much longer.	我真希望能直接跳回床上。{w}\n可我想我还有责任在身之类的。{w}\n我不该再瞒着迈勒斯太久了。
# game/script.rpy:15542	Fortaime2_map078_166_1_bd5ff25b	5396	char_fortaime	you name it	You name it	It's pretty great, actually.\nEverything is given to me by Valinorth.\nMoney, food, a house. You name it.	se/y00122.ogg
# game/script.rpy:16804	map008_d5aa7e76	5969	Narration	have one's back	has his back	She points to a man standing near my house.{w}\nHe has his back against it, and taps his foot on the ground.{w}\nI guess he knew where I lived. Mylus must've told him.	她指着一个站在我家附近的男人。{w}\n他背靠着墙，脚尖点着地。{w}\n看来他知道我住哪儿。一定是迈勒斯告诉他的。
# game/script.rpy:17065	map008_630b49cb	6059	char_fortaime	on the same page	on the same page	So you know what's coming, right?\nI just need to make sure we're on the same page.	所以你知道要发生什么，对吧？\n我只是得确认我们想法一致。
# game/script.rpy:20644	map047_07becb3b	7411	char_valessa	have one's back	has your back	Thanks. I appreciate it — I truly do.\nIt's always good when someone has your back.\nVenting helps, as inconvenient as it's known to be.	谢谢，我很感激——是真心的。\n有人挺你，总是好事。\n发泄一下是有用的，尽管大家都知道那不太得体。
# game/script.rpy:20776	map047_1442e7b6	7537	char_valessa	on the same page	on the same page	Good. I'm glad we're on the same page.\nYou know what they say about dire times, right?\nLet's make sure this stays between the two of us.	好。很高兴我们想法一致。\n你知道人们怎么说艰难时局的，对吧？\n这事就只留在你我之间。
# game/script.rpy:24294	map062_77c941db	8927	Narration	on the spot	on the spot	She looks a bit startled at the sudden demand, but slowly steps forward.{w}\nI can sense her apprehension at being put on the spot. I know that feeling.	这突如其来的要求让她有些吃惊，但她还是慢慢走上前。{w}\n我能感到她被当众点名的忐忑。那种感觉我懂。
# game/script.rpy:24540	map062_f1857bb2	9053	Narration	on the spot	on the spot	He looks a bit startled at the sudden demand, but slowly steps forward.{w}\nI can sense his apprehension at being put on the spot. I know that feeling.	这突如其来的要求让他有些吃惊，但他还是慢慢走上前。{w}\n我能感到他被当众点名的忐忑。那种感觉我懂。
# game/script.rpy:25908	map062_5ba1aa95	9699	Narration	lose temper	lose her temper	I can tell that Valessa is getting annoyed. I've never seen her like this.{w}\nAs if to offer assistance, Ulric steps forward, clearing his throat.{w}\nPerfect timing too, as Valessa was about to lose her temper.	看得出瓦莱莎开始恼火了。我从没见过她这样。{w}\n仿佛是要出手相助，乌尔里克清了清嗓子，走上前来。{w}\n时机也恰到好处，瓦莱莎正要发脾气。
# game/script.rpy:26953	map062_d24d75e4	10179	Narration	lose temper	lose his temper	I can tell that Fortaime is getting annoyed. I've never seen him like this.{w}\nAs if to offer assitance, Ulric steps forward, clearing his throat.{w}\nPerfect timing too, as Fortaime was about to lose his temper.	看得出福泰姆开始恼火了。我从没见过他这样。{w}\n仿佛是要出手相助，乌尔里克清了清嗓子，走上前来。{w}\n时机也恰到好处，福泰姆正要发脾气。
# game/script.rpy:29232	map053_d8bfe36a	11295	char_ulric	case in point	Case in point	Case in point, Pro.	这就是活生生的例子，普洛。
# game/script.rpy:29476	map053_95e7269d	11407	char_ulric	second thoughts	second thought	People from Valinorth would never harm Mazeo, true.\nBut that's what makes it the perfect excuse for wrongdoers.\nSay you're from Valinorth, and get through without a second thought.	瓦利诺斯的人确实绝不会伤害马泽奥。\n但正因如此，它才成了坏人最完美的借口。\n说一句你来自瓦利诺斯，就能毫无阻碍地通过。
# game/script.rpy:30608	Ulric4_map054_9_0_1c04bba0	11977	char_ulric	see eye to eye	see eye to eye	There are two pirate lords, Alex and Nada.\nThey see eye to eye on most things, but disagree on others.\nStill, rather than fight each other, they've come to rule together.	有两位海盗头目，亚历克斯和娜达。\n他们在多数事情上看法一致，但也有分歧。\n不过他们没有彼此争斗，而是选择了共同统治。
# game/script.rpy:30681	Ulric5_map054_9_0_8c10f2f8	12045	char_ulric	under thumb	under her thumb	I've never had to think about it, so I don't really have an answer.\nBut I'd probably have to go with Alex. Nada is a bit too ruthless for me.\nIf she was in power, people would be under her thumb — rather than free.	我从没想过这个问题，所以真没什么答案。\n不过大概我会选亚历克斯。娜达对我来说太狠了些。\n要是她掌权，人们就都得受她摆布——而不是自由。
# game/script.rpy:34706	map067_63bfb5c4	14251	char_fortaime	get a grip	get a grip	You know, when I climb trees, it's hard to get a grip.\nBut with these, I can just stab them into the tree and hold on.\nI didn't know these existed. It would make things {i}so{/i} much easier!	你知道，我爬树的时候很难抓稳。\n但有了这些，我只要把它们扎进树里就能攀住。\n我都不知道还有这种东西。这会让事情{i}轻松{/i}太多了！
# game/script.rpy:37981	map068_1df08ba7	15659	char_pro	come clean	come clean	Good, I'm glad.\nYou caught me, so I had to come clean.\nOtherwise, I would've kept this stuff secret.	很好，我很高兴。\n你逮到我了，所以我只好坦白。\n不然的话，我会把这事一直瞒着。
# game/script.rpy:39200	map070_c549cda2	16277	char_ulric	in the dark	in the dark	It's time for you to tell us what's going on.\nI hate being left in the dark like this. You know that.	该你告诉我们到底怎么回事了。\n我讨厌像这样被蒙在鼓里。你知道的。
# game/script.rpy:42107	click_map074_146_EV146_5a20b9ae	17179	char_jit_map071_1_0_50	hands down	Hands down	Alex. Hands down.	亚历克斯。毫无疑问。
# game/script.rpy:49323	click_map124_9_EV009_d11a38d8	20044	char_jit_map008_1_0_111	you name it	you name it	Imagine if food was scarce.\nThere'd be a lot more people breaking the law.\nStealing it, hurting others for it, you name it.	se/w00053.ogg
# game/script.rpy:49684	click_map124_13_EV013_6a7d4f31	20237	char_valessa	throw in the towel	throw in the towel	Even with a head start, you're no match for me.\nTime to throw in the towel. Stick to climbing trees.	就算让你先跑，你也不是我的对手。\n认输吧。你还是去爬树吧。
# game/script.rpy:50433	click_map124_20_EV020_b0010c84	20747	char_pro	stand a chance	stand a chance	Good. We can't have any moles.\nThe Rebellion, as it is — currently hangs on threads.\nIt's only thanks to that anomalous blade that we stand a chance.	很好。我们不能有内奸。\n反抗军如今——正悬于一线。\n全靠那把异常的剑，我们才有机会。
# game/script.rpy:52330	click_map124_32_EV032_00fbc820	22043	char_jit_map124_32_1_17	hands down	Hands down	Alex. Hands down.	亚历克斯。毫无疑问。
# game/script.rpy:55287	click_map127_27_EV027_17b718bc	23838	char_pro	stand a chance	stand a chance	They have to watch {i}every{/i} direction; and constantly be ready.\nIt serves to show us how strong they {i}truly{/i} are. It's crazy.\nDraycu is undefeated, but Ulric might just stand a chance.	se/w00344.ogg
# game/script.rpy:55804	click_map127_29_EV029_696eecb5	24235	char_damek	stand a chance	stand a chance	In that case, maybe I do side with Vivien.\nWith Ulric's strength, he may stand a chance.\nI hope [firstname] is on the same page as us.	既然如此，也许我确实站在薇薇安这边。\n以乌尔里克的力量，或许有一拼之力。\n希望[firstname]和我们想法一致。
# game/script.rpy:55804	click_map127_29_EV029_696eecb5	24235	char_damek	on the same page	on the same page	In that case, maybe I do side with Vivien.\nWith Ulric's strength, he may stand a chance.\nI hope [firstname] is on the same page as us.	既然如此，也许我确实站在薇薇安这边。\n以乌尔里克的力量，或许有一拼之力。\n希望[firstname]和我们想法一致。
# game/script.rpy:56656	click_map127_37_EV037_7e509fc2	24771	char_pro	get over it	get over it	Of course. All according to plan.\nI know Ulric is mad, but he'll get over it.\nWe can win this without either of us dying.	当然。一切都在计划之中。\n我知道乌尔里克很生气，但他会消气的。\n我们可以不必让任何一方送命就赢下这场。
# game/script.rpy:57429	click_map127_41_EV041_f65e794a	25327	char_fortaime	have one's back	have your back	Yeah, same! That's my main goal in all of this.\nWe're all a team, so we need to help each other out.\nI'll have your back as long as you have mine, Valessa.	是啊，我也是！这就是我做这一切的主要目标。\n我们都是一个团队的，就该互相帮助。\n只要你支持我，我就会支持你，瓦莱莎。
# game/script.rpy:61695	map133_6ebe36b7	26860	char_fortaime	on the same page	on the same page	Good. I'm glad we're all on the same page.\nIt's something we can talk about more as a group.\nValessa feels the same way, she just wouldn't speak up.	se/y00939.ogg
# game/script.rpy:61718	map133_372b5f43	26884	char_fortaime	on the fence	on the fence	Understandable. You're on the fence.\nIt's something we can talk about more as a group.\nValessa believes they're trapped in there. I know it.	se/y00942.ogg
# game/script.rpy:63705	map130_14266d83	28116	char_pro	come clean	come clean	I mean, I had to come clean about being a swindler, right?\nI'd rather do it right out of the gate than surprise you later on.\nWe can get to know each other more, now, and see if we click.	se/y01005.ogg
# game/script.rpy:66999	map136_f2b3cbfa	29787	Narration	stood a chance	stood a chance	A few moments later, an army of pirates floods in from the tunnels.{w}\nSovy, Halin and Shane quickly become defensive, trying to fend them off.{w}\nThere was enough now that they stood a chance. Their targets were clear.	片刻之后，一支海盗大军从隧道涌了进来。{w}\n索维、哈林和肖恩立刻转入守势，试图抵挡。{w}\n如今人数够了，他们有了胜算。目标也很明确。
# game/script.rpy:69378	map138_906ed789	31044	char_fortaime	stood a chance	stood a chance	Yeah. We wouldn't have stood a chance in combat.\nI don't know why they wanted to help, but they did.	se/z01268.ogg
# game/script.rpy:73204	map142_c8198ed8	32702	char_damek	in the dark	in the dark	Driven by the howls of countless spirits, he seeks vengeance.\nBut he has also brought with him the answers to our every question.\nNo longer, shall we live in the dark. We know the {i}true{/i} nature of things.	se/z01410.ogg
# game/script.rpy:73481	map142_65ba4398	32897	Narration	up in the air	up in the air	I look at the rebels, and hold the blade up in the air.{w}\nThe beams of light from the surface serve to illuminate its beauty.{w}\nThis elicits rigorous applause from the rebels, as they cheer me on.	我看向反抗军们，把刀刃高举在空中。{w}\n从地面透下的光束照亮了它的华美。{w}\n这引来了反抗军们热烈的掌声，他们为我欢呼。
# game/script.rpy:75978	map145_4f32b386	34103	Narration	hands down	hands down	I can tell that they're about to get locked in a heated argument.{w}\nTo avoid this, I slam my hands down on the war table, startling them.{w}\nA loud echo reverberates through the room as I assert my authority.	我看得出他们即将陷入激烈的争吵。{w}\n为了避免这一幕，我双手猛拍作战桌，把他们吓了一跳。{w}\n一声巨响在房间里回荡，我借此确立了自己的权威。
# game/script.rpy:76379	map146_8829bc22	34296	char_damek	blessing in disguise	blessing in disguise	But now? Everything is different.\nI guess I'll take a step back for the time being.\nMaybe this is a blessing in disguise, you know?	se/z01541.ogg
# game/script.rpy:80133	map239_1a96703a	35914	char_pro	under the weather	under the weather	As far as I know, it's just my Dad.\nI think my Mom was under the weather or something.\nBut at this point, I'll take whatever I can get. I'm so excited...!	se/y02033.ogg
# game/script.rpy:80133	map239_1a96703a	35914	char_pro	under weather	under the weather	As far as I know, it's just my Dad.\nI think my Mom was under the weather or something.\nBut at this point, I'll take whatever I can get. I'm so excited...!	se/y02033.ogg
# game/script.rpy:80305	map239_070dc1c0	36013	Narration	dead of night	dead of night	I awaken a while later, unsure of the time.{w}\nBut it's dark — it must be the dead of night.{w}\nPro snores softly, with his head resting on my shoulder.	不知过了多久，我醒了过来，分不清时辰。{w}\n但天已经黑了——一定是深夜。{w}\n普洛轻轻打着鼾，头靠在我的肩上。
# game/script.rpy:80310	map239_0754e567	36019	Narration	dead of night	dead of night	I awaken a while later, unsure of the time.{w}\nBut it's dark — it must be the dead of night.{w}\nPro rests beside me, snoring softly. Asleep.	不知过了多久，我醒了过来，分不清时辰。{w}\n但天已经黑了——一定是深夜。{w}\n普洛躺在我身旁，轻轻打着鼾。睡着了。
# game/script.rpy:80534	map239_f34d55a5	36139	Narration	cold feet	cold feet	It was cruel to schedule a meeting and then not follow through.{w}\nHis Dad must've gotten cold feet. Or maybe his Mother needed attention.{w}\n\"Under the weather\" could have any number of meanings. Not many of them good.	约好了见面却又不来，这太残忍了。{w}\n他父亲一定是临阵退缩了。又或者他母亲需要人照顾。{w}\n“身体不舒服”可以有很多种解释。多数都不太好。
# game/script.rpy:80534	map239_f34d55a5	36139	Narration	under the weather	Under the weather	It was cruel to schedule a meeting and then not follow through.{w}\nHis Dad must've gotten cold feet. Or maybe his Mother needed attention.{w}\n\"Under the weather\" could have any number of meanings. Not many of them good.	约好了见面却又不来，这太残忍了。{w}\n他父亲一定是临阵退缩了。又或者他母亲需要人照顾。{w}\n“身体不舒服”可以有很多种解释。多数都不太好。
# game/script.rpy:80534	map239_f34d55a5	36139	Narration	under weather	Under the weather	It was cruel to schedule a meeting and then not follow through.{w}\nHis Dad must've gotten cold feet. Or maybe his Mother needed attention.{w}\n\"Under the weather\" could have any number of meanings. Not many of them good.	约好了见面却又不来，这太残忍了。{w}\n他父亲一定是临阵退缩了。又或者他母亲需要人照顾。{w}\n“身体不舒服”可以有很多种解释。多数都不太好。
# game/script.rpy:82726	map242_6616f904	37272	char_howl	up in the air	up in the air	But when we look at it this way, everything makes sense.\nEverything has an explanation, and nothing is left up in the air.\nThe only question is — do you believe us? Do you think we are correct?	se/y02132.ogg
# game/script.rpy:82784	map242_a973a301	37295	Narration	leave no stone unturned	leave no stone unturned	He turns to leave, but tilts his head back to address me one more time.{w}\nI guess he wanted to leave no stone unturned before our attack on Balteus.	他转身要走，却又回过头来，再一次对我开口。{w}\n我猜，他想在进攻巴尔泰乌斯之前把事情彻查清楚，不留死角。
# game/script.rpy:87049	map252_3c5bcfe1	39005	Narration	calm before storm	calm before the storm	We exchange hugs and pleasantries for a few moments.{w}\nAre they really happy? Or are they just putting on an act?{w}\nIt's hard to tell — since this is the calm before the storm.	我们拥抱寒暄了一阵。{w}\n他们是真的开心吗？还是只是在演戏？{w}\n很难分辨——毕竟这是暴风雨前的平静。
# game/script.rpy:87194	map252_3c5bcfe1_1	39085	Narration	calm before storm	calm before the storm	We exchange hugs and pleasantries for a few moments.{w}\nAre they really happy? Or are they just putting on an act?{w}\nIt's hard to tell — since this is the calm before the storm.	我们拥抱寒暄了一阵。{w}\n他们是真的开心吗？还是只是在演戏？{w}\n很难分辨——毕竟这是暴风雨前的平静。
# game/script.rpy:87206	map252_1e2696aa	39103	Narration	calm before storm	calm before the storm	Either way, it's best to make the most of any happy moments.{w}\nThis was the calm before the storm. One final storm.	无论如何，都该尽情享受任何快乐的时刻。{w}\n这是暴风雨前的平静。最后一场暴风雨。
# game/script.rpy:87302	map253_bc90d853	39139	char_pro	hang in there	hang in there	I'm just doing my best to hang in there...\nThis whole \"life at sea\" thing really isn't my style.\nI can't wait to get back and settle down for good.	我只是在尽力撑着……\n这种“海上生活”实在不合我的性子。\n我迫不及待想回去，彻底安顿下来。
# game/script.rpy:87852	map254_101133ee	39364	char_damek	on the same page	on the same page	We should arrive in Balteus just as the sun is rising.\nWhen we do — we'll all be meeting at a central location for one final meeting.\nIt's important that everybody is on the same page before we take any big steps.	se/z02262.ogg
# game/script.rpy:94542	map270_6299febf	42277	char_pro	piece of cake	piece of cake	Sounds like a piece of cake, to be honest.\nConsider that castle empty upon your arrival!\nCausing distractions is totally a specialty of mine.	说实话，听起来小菜一碟。\n你就当到的时候城堡已经空了吧！\n制造混乱可是我的拿手好戏。
# game/script.rpy:98612	map280_70ef74cd	43979	Narration	stand a chance	stand a chance	That's true. Nobody else has ever gotten this far.{w}\nI can tell that we stand a chance at winning, and it feels amazing.{w}\nBut I have to ask, how do we know that this Algus can be trusted?	没错。从没有别人走到这一步。{w}\n我能感觉到我们有机会赢，那感觉太棒了。{w}\n但我不得不问，我们怎么知道这个阿尔古斯可以信任？
# game/script.rpy:101671	map295_e5fd8be9	45117	Narration	up in the air	up in the air	Even after his instruction, nobody makes a move.{w}\nThe ash in the air thickens — remnants of The Monarchy showering over them.{w}\nDamek takes a few steps forward, and holds his sword up in the air.	即便他下了指示，仍无人行动。{w}\n空气中的灰烬更浓了——王朝的残烬如雨般洒落在他们身上。{w}\n达梅克向前走了几步，把剑高举在空中。
# game/script.rpy:101711	map295_e918d343	45131	Narration	up in the air	up in the air	The soldiers cheer, holding their swords up in the air as well.{w}\nBut soon after, they fall back down — resting in a fighting position.{w}\nDamek says nothing, simply holding his sword toward the enemy.	士兵们欢呼着，也把剑高举在空中。{w}\n但很快，剑又落下——摆出战斗的架势。{w}\n达梅克没有作声，只是把剑指向敌人。
# game/script.rpy:101979	map296_00edcb42	45238	char_sovy	have one's back	have your back	We're pressed for time, so I won't draw this out any longer.\nJust know that I'll have your back in there, as I'm sure you'll have mine.\nIf we make it through this unscathed, I'll know it was a team effort.	se/sovy38.ogg
# game/script.rpy:104010	map300_80aab09f	46150	char_pro	piece of cake	piece of cake	Yeah — plenty of times.\nIt'll be a piece of cake. Trust me.	se/pro69.ogg
# game/script.rpy:107749	map304_b6dde4a2	47900	char_halin	call the shots	call the shots	And who says {i}you{/i} get to call the shots?\nRemember, I exist to manifest The Triumvirate's will.\nAnd right now — what they want — is to see you all dead.	se/z02804.ogg
# game/script.rpy:112479	Tri1_map308_1_0_cc263c90	50184	char_the_triumvirate	stand a chance	stand a chance	Doing so would liberate the universe from this eternal war.\nBut we did not hold the power required to destroy the idol. Not yet.\nIf we could make the blade stronger, though, then we might stand a chance.	se/z02940.ogg
# game/script.rpy:114919	map324_ebbad2b6	52053	Narration	change of heart	change of heart	Sovy's past crimes were pardoned after his exceptional performance in Balteus.\nHis defection from The Triumvirate, and his advice regarding them were seen as invaluable.\nWere it not for his actions, and his change of heart — the war would've been lost.	索维在巴尔泰乌斯的卓越表现，使他的旧罪得到赦免。\n他脱离三人执政团，以及关于他们的建言，被视为无价之宝。\n若非他的行动与幡然醒悟——这场战争早已失败。
# game/script.rpy:114945	map324_c77f027d	52097	Narration	change of heart	change of heart	Sovy's past crimes were pardoned posthumously, and he was labeled as a hero.\nHis defection from The Triumvirate, and his advice regarding them were seen as invaluable.\nWere it not for his actions, and his change of heart, the war would've been lost.	索维的旧罪在他身后得到赦免，他被冠以英雄之名。\n他脱离三人执政团，以及关于他们的建言，被视为无价之宝。\n若非他的行动与幡然醒悟，这场战争早已失败。
# game/script.rpy:114994	map326_52989f27	52156	Narration	change of heart	change of heart	But not current history. He wrote about The Old Monarchy, and their ways.\nIt was almost as if the spirits inside of him felt regret at their actions.\nNobody knew why Howl had this change of heart — but it was for the better.	se/z03125.ogg
# game/script.rpy:115375	map335_50b02c3b	52600	Narration	clean slate	clean slate	After his passing, a grand tournament was held, and anybody was capable of entering.\nBecause nobody challenged Draycu, the nation would have to start with a clean slate.\nA new ruler emerged, and Alarinthia stayed largely the same for the rest of history.	se/z03161.ogg
# game/script.rpy:115668	map340_c2113a9f	52893	char_valessa	stand a chance	stand a chance	I'll admit, I was starting to worry as well.\nSorry if you were scared when we parted ways earlier.\nBut thanks to those daggers, they didn't stand a chance.	我承认，我也开始担心了。\n之前我们分开的时候，要是让你害怕了，我很抱歉。\n但多亏了那些匕首，他们根本不堪一击。
# game/script.rpy:115888	map340_74555940	53008	char_fortaime	have one's back	have your back	But it won't be all bad, right...?\nI mean, we'll have your back the entire time.	se/z03194.ogg
# game/script.rpy:116881	map283_45e8435a	53204	char_valessa	have one's back	have your back	I'm pretty confident after hearing Damek's plan.\nI get to follow you to the castle too, so that makes me happy.\nYou can trust me to have your back if anything bad happens.	se/z02501.ogg
# game/script.rpy:118309	map286_602f9fbc	53848	char_pro	cold shoulder	cold shoulder	It's a lonely life, being a writer. It really is.\nYou pour so much emotion into it, that you almost run out.\nEveryone thinks you're giving them the cold shoulder, but you're not.	se/pro28.ogg
# game/script.rpy:118848	map286_894d7e82	54083	Narration	hands down	hands down	That would be easy. He's already done a lot to help us.{w}\nHe was responsible for our Alarinthian alliance, hands down.{w}\nHe's done his best to atone, and in my opinion, he succeeded.	那很容易。他已经帮了我们很多。{w}\n毫无疑问，阿拉林西亚的联盟正是他促成的。{w}\n他已尽力赎罪，在我看来，他成功了。
# game/script.rpy:119170	map285_04f14af6	54220	char_ulric	on the same page	on the same page	Alright. As long as we're both on the same page.\nI expect the same from you. Don't hold back in any way.\nIf I'm in danger, don't stop to help me. You have your goal.	se/z02577.ogg
# game/script.rpy:119581	map285_bccb2852	54450	char_ulric	have one's back	have your back	But when it comes to you, I know that my strength and honor {i}aren't{/i} misguided.\nYou can trust me to have your back, in the final battle, and beyond. I promise.\nFor once, I've found a cause I'd be happy to both live, {i}and{/i} die for.	se/z02597.ogg
# game/script.rpy:120656	map288_b3786f45	54976	char_howl	fair and square	fair and square	But, we must say — it was a battle that we lost fair and square.\nWe were so focused on our own future, that we lost sight of everyone else's.\nIt doesn't surprise us, that our \"perfect\" future came at the expense of others.	se/z02640.ogg
# game/script.rpy:121390	map289_a0eda9f2	55328	char_sovy	from scratch	from scratch	It might be best to just forget The Monarchy ever existed.\nStart over, from scratch, under the banner of The Rebellion.\nWhy reclaim a world for someone who would be your enemy?	se/sovy22.ogg
# game/script.rpy:122863	map179_4182b7b8	55952	char_jit_map179_1_0_78	hit the jackpot	hit the jackpot	He heard your group talking about a Rebellion, and a big army.\nThat's when I knew we hit the jackpot. Our new target was clear.\nBut to know you came here just for me? That's pretty flattering.	se/z01776.ogg
# game/script.rpy:123824	click_map180_62_EV062_17b718bc	56284	char_pro	stand a chance	stand a chance	They have to watch {i}every{/i} direction; and constantly be ready.\nIt serves to show us how strong they {i}truly{/i} are. It's crazy.\nDraycu is undefeated, but Ulric might just stand a chance.	se/w00344.ogg
# game/script.rpy:124338	click_map180_63_EV063_696eecb5	56681	char_damek	stand a chance	stand a chance	In that case, maybe I do side with Vivien.\nWith Ulric's strength, he may stand a chance.\nI hope [firstname] is on the same page as us.	那样的话，也许我确实该站在薇薇安这边。\n有乌尔里克的实力，他或许还有机会。\n我希望[firstname]和我们想法一致。
# game/script.rpy:124338	click_map180_63_EV063_696eecb5	56681	char_damek	on the same page	on the same page	In that case, maybe I do side with Vivien.\nWith Ulric's strength, he may stand a chance.\nI hope [firstname] is on the same page as us.	那样的话，也许我确实该站在薇薇安这边。\n有乌尔里克的实力，他或许还有机会。\n我希望[firstname]和我们想法一致。
# game/script.rpy:124612	map204_ac5dc872	56803	char_the_triumvirate	silver lining	silver lining	But you failed to retrieve it, {i}and{/i} let The Seer get away.\nAny silver lining you can come up with is simply not enough.\nDamek's death will only fuel them with rage to use against us.	可你没能夺回它，{i}还{/i}放走了先知。\n你能找出的任何一丝转机都远远不够。\n达梅克的死只会激起他们的怒火，用来对付我们。
# game/script.rpy:124619	map204_1d30536d	56815	char_the_triumvirate	silver lining	silver lining	But you failed to retrieve it, {i}and{/i} let The Seeress get away.\nAny silver lining you can come up with is simply not enough.\nDamek's death will only fuel them with rage to use against us.	可你没能夺回它，{i}还{/i}放走了先知。\n你能找出的任何一丝转机都远远不够。\n达梅克的死只会激起他们的怒火，用来对付我们。
# game/script.rpy:125872	map205_96a76c62	57356	char_ulric	second thoughts	second thought	I saw them take an impressionable young man, and ruin him.\nTurn him into a tool meant to kill without a second thought.\nThey took my friend, and after that, he was no more.	se/y01349.ogg
# game/script.rpy:130067	Fortaime1_map190_11_0_bcb395b3	58976	char_fortaime	have one's back	has his back	I feel so bad for him. He always spoke about changing Alarinthia.\nBut when he's given the chance, his comrades side against him?\nHe must feel so lonely right now. Only Vivien's army has his back.	se/y01395.ogg
# game/script.rpy:131360	click_map192_63_EV063_7e509fc2	59565	char_pro	get over it	get over it	Of course. All according to plan.\nI know Ulric is mad, but he'll get over it.\nWe can win this without either of us dying.	当然。一切都在计划之中。\n我知道乌尔里克很生气，但他会消气的。\n我们可以赢下这一场，谁都不用死。
# game/script.rpy:133573	map208_0acea8b3	60748	char_valessa	you name it	you name it	I know that pirates get involved in shady things, but they embraced it.\nKilling, stealing, smuggling, you name it. They were {i}legends{/i} in Mazeo.\nThey had a whole network operating for them while they were back home.	se/y01441.ogg
# game/script.rpy:136048	map213_bc1d3244	61380	char_jit_map213_1_0_12	cold shoulder	cold shoulder	Look. The way I see it, we're friends here.\nIf you need a ferryman back, I'd love to help you out.\nTreat me with the cold shoulder, and you could get stranded.	se/x00447.ogg
# game/script.rpy:136312	map213_f970b24d	61468	char_jit_map213_1_0_12	save face	save face	Lied to by your bosses? Join the club.\nThey'll do anything to save face and get their way.\nThat's part of why I work on my own, now. I get you.	se/x00458.ogg
# game/script.rpy:136644	map213_56878756	61580	char_jit_map213_1_0_12	got one's back	got your back	There's no need to go that far.\nDon't misunderstand me. I've got your back.\nYou're not the only man who's run away, you know.	se/x00469.ogg
# game/script.rpy:137704	click_map199_5_EV005_f65e794a	62041	char_fortaime	have one's back	have your back	Yeah, same! That's my main goal in all of this.\nWe're all a team, so we need to help each other out.\nI'll have your back as long as you have mine, Valessa.	是啊，我也是！这就是我做这一切的主要目标。\n我们是一个团队，所以要互相扶持。\n只要你挺我，我就挺你，瓦莱莎。
