# dialogue chunk 0007  entries 2401-2800 of 10370
# seq	block	idx	speaker	source	target
2401	click_map127_12_EV012_4ee7740e	0	char_mylus	You are not my Father.	你不是我的父亲。
2439	click_map127_19_EV019_8d3f4f73	0	char_jit_map127_19_1_28	Why thank you. That means a lot.\nI'm happy to serve The Rebellion in any way I can.\nWhat they did back in those tunnels was inexcusable.	哎呀，谢谢你。这对我意义重大。\n我很乐意尽我所能为反抗军效力。\n他们在那些隧道里的所作所为不可饶恕。
2440	click_map127_19_EV019_8b67dab3	0	char_jit_map127_19_1_37	Yeah. I'd say we show them the same treatment.\nWe'll fight for a future that all of you can enjoy.\nEven if we can't join that future ourselves.	是啊。要我说，我们也该让他们尝尝同样的滋味。\n我们会为你们所有人都能享受的未来而战。\n哪怕我们自己无法置身于那个未来。
2441	click_map127_19_EV019_b26c6900	0	char_jit_map127_19_1_19	That's certainly a pessimistic view, Ignace.\nThere might be a way to save our minds, you know.\nThis Rebellion has proved that {i}anything{/i} is possible.	这看法可真是悲观，伊格纳斯。\n你知道，也许有办法拯救我们的心智。\n这场反抗已经证明了{i}一切{/i}皆有可能。
2442	click_map127_19_EV019_2b3765cd	0	char_jit_map127_19_1_37	Yeah, you're right.\nWe'll make it through this.	是啊，你说得对。\n我们会挺过去的。
2443	click_map127_23_EV023_8b9e0626	0	char_valessa	So what's it like...?\nYou know, being a vessel.	那么那是什么感觉……？\n你知道的，当一具容器。
2444	click_map127_23_EV023_502e2480	0	char_jit_map127_23_1_18	It is not much different than when we were alive.\nThere are simply voices in our head. Lots of them.\nThe Monarchy guides our every move. It is hard to explain.	和我们活着的时候没太大区别。\n只是脑子里多了些声音。很多声音。\n王室指引着我们的每一个举动。很难解释清楚。
2445	click_map127_23_EV023_75e76a5a	0	char_jit_map127_23_1_27	They are fueled by the rage of their imprisonment.\nEverything inside of us tells us to fight, and to kill.\nWhen the time comes, we will fight for this world.	他们被囚禁的怒火驱动着。\n我们内在的一切都在叫嚣着战斗、杀戮。\n到时候，我们会为这个世界而战。
2446	click_map127_23_EV023_456d21d9	0	char_jit_map127_23_1_36	The wounds on our bodies hurt us at first.\nBut like white noise, we have phased it out.\nIt only flares up every few minutes, now.	我们身上的伤口起初很疼。\n但就像白噪音一样，我们已将它屏蔽。\n现在只是每隔几分钟发作一次。
2447	click_map127_23_EV023_dd5db85a	0	char_valessa	And how bad is it...?	那有多严重……？
2448	click_map127_23_EV023_d81a608c	0	char_jit_map127_23_1_18	We feel every wound as if freshly inflicted.\nIt is almost like we exist on the edge of life and death.\nOur body is unable to fully commit to either side of the spectrum.	我们感受每一道伤口，仿佛新添的一般。\n几乎就像我们存在于生与死的边缘。\n我们的身体无法完全归属于任何一端。
2449	click_map127_23_EV023_940e6203	0	char_valessa	That sounds horrible...	听起来太可怕了……
2450	click_map127_23_EV023_bfcd3bdb	0	char_jit_map127_23_1_27	Horrible, yes. But also necessary.\nWith our aid, The Triumvirate shall fall.\nJustice will finally be given to The Monarchy.	是的，可怕。但也必要。\n有我们的相助，三人执政团必将覆灭。\n正义终将归于王室。
2451	click_map127_23_EV023_c92da5e1	0	char_jit_map127_23_1_36	When we can deliver that justice, the pain is worth it.\nWe embrace this as a gift, and will honor The Monarch.\nWithout their choice, we would not be alive to fight.	当我们能亲手带来那份正义时，这痛苦就值得了。\n我们将此视为恩赐，并会荣耀君主。\n若非君主的选择，我们不会活着战斗。
2452	click_map127_23_EV023_c85967e6	0	char_valessa	I just wish there was a way to make the pain go away.\nYou know, after this war, you're still going to suffer.	我只希望能有办法让痛苦消失。\n你知道的，这场战争之后，你依然会受苦。
2453	click_map127_23_EV023_90971bd7	0	char_jit_map127_23_1_18	We are not the only ones who will continue to suffer.\nThe wounds endured during this war can also be emotional.\nScars will haunt {i}all{/i} of your forces. We are not the only ones.	会继续受苦的不止我们。\n这场战争留下的创伤也可以是情感上的。\n伤疤会萦绕在你们{i}所有{/i}人的心头。不止我们。
2454	click_map127_23_EV023_fa4db744	0	char_valessa	Right...	是啊……
2455	click_map127_24_EV024_8b9e0626	0	char_valessa	So what's it like...?\nYou know, being a vessel.	那么那是什么感觉……？\n你知道的，当一具容器。
2456	click_map127_24_EV024_145d8a34	0	char_jit_map127_24_1_18	It is not much different than when we were alive.\nThere are simply voices in our head. Lots of them.\nThe Monarchy guides our every move.	和我们活着的时候没太大区别。\n只是脑子里多了些声音。很多声音。\n王室指引着我们的每一个举动。
2457	click_map127_24_EV024_21e9a041	0	char_jit_map127_24_1_27	They are fueled by the rage of their imprisonment.\nEverything inside of us tells us to fight, and to kill.\nWhen the time comes, we will fight for this world.	他们被囚禁的怒火驱动着。\n我们内在的一切都在叫嚣着战斗、杀戮。\n到时候，我们会为这个世界而战。
2458	click_map127_24_EV024_516f7681	0	char_jit_map127_24_1_36	The wounds on our bodies hurt us at first.\nBut like white noise, we have phased it out.\nIt only flares up every few minutes, now.	我们身上的伤口起初很疼。\n但就像白噪音一样，我们已将它屏蔽。\n现在只是每隔几分钟发作一次。
2459	click_map127_24_EV024_dd5db85a	0	char_valessa	And how bad is it...?	那有多严重……？
2460	click_map127_24_EV024_e375e6ab	0	char_jit_map127_24_1_18	We feel every wound as if freshly inflicted.\nIt is almost like we exist on the edge of life and death.\nOur body is unable to fully commit to either side of the spectrum.	我们感受每一道伤口，仿佛新添的一般。\n几乎就像我们存在于生与死的边缘。\n我们的身体无法完全归属于任何一端。
2461	click_map127_24_EV024_940e6203	0	char_valessa	That sounds horrible...	听起来太可怕了……
2462	click_map127_24_EV024_7af60775	0	char_jit_map127_24_1_27	Horrible, yes. But also necessary.\nWith our aid, The Triumvirate shall fall.\nJustice will finally be given to The Monarchy.	是的，可怕。但也必要。\n有我们的相助，三人执政团必将覆灭。\n正义终将归于王室。
2463	click_map127_24_EV024_dac53713	0	char_jit_map127_24_1_36	When we can deliver that justice, the pain is worth it.\nWe embrace this as a gift, and will honor The Monarch.\nWithout their choice, we would not be alive to fight.	当我们能亲手带来那份正义时，这痛苦就值得了。\n我们将此视为恩赐，并会荣耀君主。\n若非君主的选择，我们不会活着战斗。
2464	click_map127_24_EV024_c85967e6	0	char_valessa	I just wish there was a way to make the pain go away.\nYou know, after this war, you're still going to suffer.	我只希望能有办法让痛苦消失。\n你知道的，这场战争之后，你依然会受苦。
2465	click_map127_24_EV024_8af370be	0	char_jit_map127_24_1_18	We are not the only ones who will continue to suffer.\nThe wounds endured during this war can also be emotional.\nScars will haunt {i}all{/i} of your forces. We are not the only ones.	会继续受苦的不止我们。\n这场战争留下的创伤也可以是情感上的。\n伤疤会萦绕在你们{i}所有{/i}人的心头。不止我们。
2466	click_map127_24_EV024_fa4db744	0	char_valessa	Right...	是啊……
2467	click_map127_27_EV027_b2ea6c60	0	char_valessa	So we might have to fight Ulric?\nThat's pretty scary to think about, Pro.	所以我们可能得和乌尔里克交手？\n想想就挺可怕的，普洛。
2468	click_map127_27_EV027_e330b2ec	0	char_pro	Only if [firstname] sides with Draycu, Valessa.\nThere's still a pretty good chance that won't happen.\nI wonder who Draycu will elect as his champion, though.	只有在[firstname]站到德雷库那边的情况下，瓦莱莎。\n那件事不发生的可能性还挺大的。\n不过，我很好奇德雷库会选谁当他的斗士。
2469	click_map127_27_EV027_d355bdbd	0	char_valessa	Well his army is supposed to be incredibly powerful.\nHe must get to hand pick the strongest Alarinthians.\nI'm sure Ulric can handle it, though. At least, I hope.	他的军队据说强大得惊人。\n他肯定能亲手挑选最强的阿拉林西亚人。\n不过我相信乌尔里克能应付。至少，我希望如此。
2470	click_map127_27_EV027_3994f4ee	0	char_pro	Well, Draycu doesn't like to waste his men, remember?\nIt's possible he'll elect an outsider, meaning one of {i}us{/i}.\nVivien is like an insect to him — super easy to crush.	这个嘛，德雷库不喜欢浪费自己的手下，记得吗？\n他有可能选一个外人，也就是{i}我们{/i}中的一员。\n薇薇安对他来说就像只虫子——轻易就能捏碎。
2471	click_map127_27_EV027_84077b40	0	char_valessa	So we'll be fighting each other in the end...?\nIsn't this supposed to be a fight to the death?	所以到最后，我们要自相残杀……？\n这难道不该是场生死决斗吗？
2472	click_map127_27_EV027_68773531	0	char_pro	Exciting, isn't it?	很刺激，不是吗？
2473	click_map127_27_EV027_806d630e	0	char_valessa	No, it's not! That means one of us will die!	不，才不是！那意味着我们中会有人死去！
2474	click_map127_27_EV027_3776abd5	0	char_pro	Not exactly...	也不尽然……
2475	click_map127_27_EV027_b09c9972	0	char_valessa	Huh?	嗯？
2476	click_map127_27_EV027_ce9baf9b	0	char_pro	The match ends if the champion, {i}or{/i} the leader falls.\nIt'd be possible to end this with Vivien or Draycu's death.\nThe Champion is just there to spice things up, I guess.	只要斗士{i}或{/i}领袖倒下，比试就结束了。\n所以也可能以薇薇安或德雷库的死来收场。\n我猜，斗士的存在只是为了让场面更刺激。
2477	click_map127_27_EV027_6e54fce9	0	char_pro	If it were just the two leaders, they'd only fight each other.\nHaving two champions ensures the fight constantly changes pace.\nIt makes things sound more interesting, at least. You need {i}strategy{/i}.	如果只有两位领袖，他们就只会互相厮杀。\n有两名斗士在，战斗的节奏才能不断变化。\n至少这样听起来更有意思。你需要{i}策略{/i}。
2478	click_map127_27_EV027_16d69e97	0	char_pro	Watching two leaders in an unending deadlock would be boring.\nThe Champions and a small army of men really shake it up.\nIt makes sure the leaders are at the top of their game, too.	看着两位领袖陷入没完没了的僵局会很无聊。\n斗士们和一小队士兵确实能让局面翻天覆地。\n这也能确保领袖们发挥出最佳状态。
2479	click_map127_27_EV027_17b718bc	0	char_pro	They have to watch {i}every{/i} direction; and constantly be ready.\nIt serves to show us how strong they {i}truly{/i} are. It's crazy.\nDraycu is undefeated, but Ulric might just stand a chance.	他们得提防{i}每一个{/i}方向，还得时刻保持戒备。\n这也正好向人们展示他们{i}究竟{/i}有多强。太疯狂了。\n德雷库从未败过，但乌尔里克或许还真有一拼之力。
2480	click_map127_27_EV027_21f747a9	0	char_valessa	I think you're kind of missing my point, Pro...	我觉得你有点没抓住我的重点，普洛……
2481	click_map127_27_EV027_2f5a7d1f	0	char_pro	Really?	是吗？
2482	click_map127_27_EV027_81d9f574	0	char_valessa	I don't think of Vivien and Draycu as expendable.\nAt the end of the day, one of us will die no matter what.\nEven if it's one of them, it's still something I'd like to avoid.	我不觉得薇薇安和德雷库是可以牺牲的。\n说到底，无论如何我们中都会有人死去。\n就算死的是他们中的一个，我也还是想尽量避免。
2483	click_map127_27_EV027_8ef13a20	0	char_pro	Then it sounds like you side with Vivien, then.\nDraycu's death would be the final death in the coliseum.\nThere'd be no more fights like this under his reign.	那听起来你是站在薇薇安这边了。\n德雷库的死会是竞技场的最后一场死亡。\n在他的统治下，再也不会有这样的决斗。
2484	click_map127_27_EV027_5314c5e4	0	char_valessa	I know you're right, but it's not so easy.\nWe have to kill him just because he thinks differently?\nThere's no way to avoid casualties — and I hate that.	我知道你说得对，但没那么容易。\n就因为他想法不同，我们就得杀了他？\n没办法避免伤亡——我讨厌这一点。
2485	click_map127_27_EV027_fc383ea7	0	char_pro	Yeah, but it's not just Alarinthia, Valessa.\nYou could say that about this entire war in general.\nSometimes it's better to look at people as \"means to an end\".	是啊，但不止是阿拉林西亚，瓦莱莎。\n整场战争都可以这么说。\n有时候，把别人看作“达到目的的手段”会更好。
2486	click_map127_27_EV027_6ebf3de4	0	char_valessa	I could never do that...	我永远做不到……
2487	click_map127_27_EV027_3cd0e3ea	0	char_pro	A lot of people feel the same way, trust me.\nBut that's probably why The Triumvirate is in charge.\nWe need to start looking at things differently if we want to win.	很多人都有同感，相信我。\n但也许正因为如此，掌权的是三人执政团。\n如果我们想赢，就得开始换个角度看问题。
2488	click_map127_27_EV027_b64c5401	0	char_valessa	If we have to compromise ourselves, then is it truly winning...?\nI don't know, Pro. I think I need a little bit of time to myself.	如果我们必须违背自己的本心，那还算是真正的胜利吗……？\n我不知道，普洛。我想我需要一点独处的时间。
2489	click_map127_27_EV027_163ea59c	0	char_pro	Of course.	当然。
2490	click_map127_29_EV029_3813f43e	0	char_fortaime	I don't want to watch Ulric fight in the coliseum...\nIf [firstname] sides with Draycu, then he could die.	我不想看乌尔里克在竞技场里战斗……\n如果[firstname]站到德雷库那边，他可能会死。
2491	click_map127_29_EV029_e025285a	0	char_damek	But he's prepared to die for his beliefs, Fortaime.\nThere isn't a better way to go. A true, noble end.	但他已准备好为信念赴死，福泰姆。\n没有比这更好的死法了。真正高尚的结局。
2492	click_map127_29_EV029_66c5c631	0	char_fortaime	Honestly, I'd prefer if his life had no end at all.\nI have a feeling this choice will end up dividing us.\nI don't want to fight against Ulric, or watch him die.	说实话，我倒宁愿他的生命根本没有终点。\n我有种预感，这个选择最终会让我们分裂。\n我不想与乌尔里克为敌，也不想看他死去。
2493	click_map127_29_EV029_b5192e4d	0	char_damek	It's all about respecting his wishes, Fortaime.\nIf he puts his life on the line for Alarinthia, we can't deny that.\nYou'd do the same for Valinorth. In fact, you already are.	关键在于尊重他的意愿，福泰姆。\n如果他愿为阿拉林西亚冒生命危险，我们无法否定。\n你也会为瓦利诺斯这么做。事实上，你已经在这么做了。
2494	click_map127_29_EV029_014a53ec	0	char_fortaime	Really...?	真的吗……？
2495	click_map127_29_EV029_911e794b	0	char_damek	This war is just battle after battle, Fortaime.\nYou put your life on the line back at the Rebel HQ.\nThat means you were ready to die for your beliefs.	这场战争就是一场接一场的战斗，福泰姆。\n你在反抗军总部时就冒过生命危险。\n那意味着你早已准备好为信念而死。
2496	click_map127_29_EV029_56cb2f86	0	char_fortaime	I guess you're right, when you put it that way.	这么说的话，你大概是对的。
2497	click_map127_29_EV029_6b74f343	0	char_damek	So Ulric isn't just fighting for Alarinthia.\nRemember that our army gets a boost out of this.\nAt the end of the way, it benefits all of Alestia.	所以乌尔里克不只是在为阿拉林西亚而战。\n记住，我们的军队也会因此得到增强。\n说到底，这对整个阿拉斯提亚都有好处。
2498	click_map127_29_EV029_54385d0e	0	char_fortaime	But what if the person we side with loses...?	但要是我们支持的人输了呢……？
2499	click_map127_29_EV029_357ab4c0	0	char_damek	That's what makes things difficult, Fortaime.\nVivien is the right choice, in my opinion, but not the correct one.\nThe correct choice is Draycu. He's won every battle, and has a huge army.	这才让事情变得棘手，福泰姆。\n在我看来，薇薇安是正确的选择，却不是明智的选择。\n明智的选择是德雷库。他每战必胜，还拥有一支庞大的军队。
2500	click_map127_29_EV029_cc7926ba	0	char_fortaime	This is pretty complicated...\nSo far, every choice was concrete.\nThere was no room to choose, and then lose.	这相当复杂……\n到目前为止，每个选择都很明确。\n没有可能选了之后还会输。
2501	click_map127_29_EV029_f8a71b5d	0	char_damek	Alarinthia is different than everything we know.\nI guess it makes sense that things would change once we arrived.\n[firstname] has a tough choice to make. It's a gamble, at best.	阿拉林西亚和我们所知的一切都不同。\n我们一到，事情就发生变化，也说得通。\n[firstname]要做一个艰难的选择。往好里说，这也是一场赌博。
2502	click_map127_29_EV029_ddae898d	0	char_fortaime	It shouldn't have to be that way, though...\nThe future of a nation, and our world, is a gamble...?\nThat's bad news. Vivien has the right idea here, for sure.	可本不该如此……\n一个国家、乃至我们整个世界的未来，竟是一场赌博……？\n这可不是好消息。在这一点上，薇薇安的想法绝对是对的。
2503	click_map127_29_EV029_4f1bf189	0	char_damek	You mean abolishing coliseum battles?	你是说废除竞技场决斗？
2504	click_map127_29_EV029_94b87ae8	0	char_fortaime	Yeah. Things should be just like the rest of Alestia.\nIf they were, then we wouldn't even be in this situation.	对。这里本该和阿拉斯提亚其他地方一样。\n如果真是那样，我们根本不会落到这步田地。
2505	click_map127_29_EV029_6ff35cf7	0	char_damek	But we shouldn't change something just because we don't like it.\nThat's what The Triumvirate did to this whole world. We can't be like them.\nAlarinthia has been fine since the dawn of time, it can continue to be fine.	但我们不该仅仅因为不喜欢就去改变一件事。\n三人执政团对整个世界就是这么干的。我们不能像他们一样。\n阿拉林西亚自开天辟地以来一直如此，也可以继续如此。
2506	click_map127_29_EV029_dd7827fa	0	char_damek	Besides, Valinorth is the exact same way.\nIndependent, with its own hierarchy, and leadership.	再说，瓦利诺斯也是完全一样。\n独立自主，有自己的等级制度和领袖。
2507	click_map127_29_EV029_482270a4	0	char_fortaime	It was, but I'm going to change that.\nAs the Elder, I want unity with the other nations.\nI think the same would be best for Alarinthia.	曾经是的，但我要改变这一点。\n身为长老，我希望与其他国家团结一致。\n我觉得阿拉林西亚也最好如此。
2508	click_map127_29_EV029_ec903247	0	char_fortaime	The Triumvirate changed this world to suit {i}them{/i}, right?\nThat's not what we're doing. We're liberating it, making it better.\nOur end goal is different, so I don't think we can be compared to them.	三人执政团为了{i}他们自己{/i}改变了这个世界，对吧？\n我们不是在干那种事。我们是在解放它，让它变得更好。\n我们的最终目标不同，所以我认为我们不能和他们相提并论。
2509	click_map127_29_EV029_9b184f25	0	char_fortaime	Well, Valessa plans to keep it that way, yeah.\nBut honestly, I want unity with the other nations.\nI think the same would be best for Alarinthia.	这个嘛，瓦莱莎打算保持原样，没错。\n但说实话，我希望与其他国家团结一致。\n我觉得阿拉林西亚也最好如此。
2510	click_map127_29_EV029_6f588c81	0	char_fortaime	The Triumvirate changed this world to suit {i}them{/i}, right?\nThat's not what we're doing. We're liberating it, making it better.\nOur end goal is different, so I don't think we can be compared to them.	三人执政团为了{i}他们自己{/i}改变了这个世界，对吧？\n我们不是在干那种事。我们是在解放它，让它变得更好。\n我们的最终目标不同，所以我认为我们不能和他们相提并论。
2511	click_map127_29_EV029_8d95f76a	0	char_damek	You have a point, actually. Maybe I've got the wrong idea.\nA flipped coin does the same thing until it lands, after all.\nThe truth is only shown after everything is said and done.	其实你说得有道理。也许我想错了。\n毕竟，抛起的硬币在落地之前，看起来都一样。\n直到一切尘埃落定，真相才会显现。
2512	click_map127_29_EV029_38896f8e	0	char_fortaime	Exactly!	正是如此！
2513	click_map127_29_EV029_696eecb5	0	char_damek	In that case, maybe I do side with Vivien.\nWith Ulric's strength, he may stand a chance.\nI hope [firstname] is on the same page as us.	既然如此，也许我确实站在薇薇安这边。\n以乌尔里克的力量，或许有一拼之力。\n希望[firstname]和我们想法一致。
2514	click_map127_29_EV029_7258671d	0	char_fortaime	I guess we'll find out once we get to the ball.\nBut I wonder if Draycu will request our aid...?\nAnd for that matter, who will his Champion be?	我想等我们到了舞会就知道了。\n不过，我很好奇德雷库会不会请求我们相助……？\n还有，他的斗士会是谁？
2515	click_map127_29_EV029_5367a508	0	char_fortaime	Gosh, I hope things don't get even {i}more{/i} complicated.\nI'm not sure I could handle a web more tangled than this.	天哪，希望事情别再变得更{i}复杂{/i}了。\n我不确定自己能应付比这更纠缠不清的乱局。
2516	click_map127_29_EV029_1be0a476	0	char_damek	Oh come on, what's the worst that could happen...?	哦，得了吧，还能糟到哪儿去……？
2517	click_map127_31_EV031_7adee284	0	char_ulric	Pro, what do you think you're doing!?\nI had a plan, and now you've ruined everything!	普洛，你以为你在干什么！？\n我本来有计划，现在你把一切都毁了！
2518	click_map127_31_EV031_7cee638c	0	char_pro	Sorry Ulric, it just made sense.\nThis is a fight to the death, right?\nDraycu has {i}never{/i} lost. I had to do it.	抱歉，乌尔里克，但那样做才合理。\n这是生死决斗，对吧？\n德雷库{i}从未{/i}输过。我不得不这么做。
2519	click_map127_31_EV031_e9218a40	0	char_ulric	I had everything under control.	我本来把一切都控制住了。
