# dialogue chunk 0020  entries 7601-8000 of 10370
# seq	block	idx	speaker	source	target
7601	map223_e2c990ba	0	char_pro	After that, all we needed was {i}this{/i}.	在那之后，我们只需要{i}这个{/i}。
7665	map224_4a5a1dfe	0		Sovy sighs, and crosses his arms.	索维叹了口气，抱起双臂。
7666	map224_8a3aba0a	0	char_sovy	If you want to take down The Triumvirate, you'll have to enter their chambers.\nI've never seen them leave, and I don't expect that they ever will.\nI always thought they were hiding, but I don't think that's true.	如果你想扳倒三人执政团，就必须进入他们的内殿。\n我从没见过他们离开那里，也不认为他们会有离开的一天。\n我一直以为他们是在躲藏，但我觉得并非如此。
7667	map224_f098e053	0	char_sovy	There's something at the back of their chambers. Something \"off\".\nIt's like a spirit idol, but the very sight of it fills me with fear.\nI'm not sure what it is, but I have a few theories about it.	他们内殿的深处有样东西。有些“不对劲”。\n它像是灵界灵像，但我光是看到它就满心恐惧。\n我不确定它是什么，但我有几个猜测。
7668	map224_4a72889d	0		I'm shocked. He's actually telling the truth.{w}\nI've seen this \"idol\" in my visions of The Triumvirate.{w}\nCould it really be true? Is he doubting his Masters...?	我震惊了。他居然说的是实话。{w}\n我在关于三人执政团的幻象里见过这座“灵像”。{w}\n这难道是真的？他是在怀疑他的主人吗……？
7669	map224_e0bdb789	0	char_sovy	I think that maybe it's their source of power.\nBut I'm probably wrong, as that seems to be the trend lately.\nEither way, its destruction should be your top priority.	我觉得那也许是他们力量的源泉。\n但我大概猜错了，最近似乎总是这样。\n不管怎样，摧毁它应该是你们的头等大事。
7670	map224_ef6ecfe1	0		It lines up with what I was told in my visions.{w}\nBut I was unsure if those visions were tricks.{w}\nIn them, I was drawn toward this special \"idol\".	这与我幻象中被告知的内容吻合。{w}\n但我当时不确定那些幻象是不是骗局。{w}\n在幻象里，我被这座特殊的“灵像”所吸引。
7671	map224_e1ea5b26	0	char_pro	A spirit idol in their own chambers...?\nBut those are conduits for The Monarchy.\nIt makes no sense that they'd keep one close by.	在他们自己的内殿里放一座灵界灵像……？\n可那些是王室的媒介。\n他们把它留在身边，这完全说不通。
7672	map224_a3b3d741	0	char_pro	Their main goal was to {i}destroy{/i} all of the idols.\nNice try, but I'm not going to believe any of this.\nLet's go, [firstname]. We'll ditch him in Mazeo.	他们的主要目标就是{i}摧毁{/i}所有灵像。\n想得美，这些我一个字都不信。\n我们走，[firstname]。到马泽奥就把他甩掉。
7673	map224_b914389e	0		Pro and Ulric start to leave, but I tell them to stop.{w}\nI let them know that Sovy's telling the truth. As odd as it sounded.{w}\nI saw the same idol in some visions I had of The Triumvirate's chambers.	普洛和乌尔里克正要离开，但我叫住了他们。{w}\n我告诉他们，索维说的是实话，尽管听起来很古怪。{w}\n在我关于三人执政团内殿的几次幻象中，我见过同一座灵像。
7674	map224_cf121ce6	0	char_ulric	Visions of The Triumvirate's chambers...?	三人执政团内殿的幻象……？
7675	map224_f614974c	0	char_pro	When were you going to tell us about this...?	你打算什么时候才告诉我们这些……？
7676	map224_54fcb7e6	0		Sovy scoffs, clearly amused at their reactions.	索维嗤笑一声，显然被他们的反应逗乐了。
7677	map224_e307ef1d	0	char_sovy	I'm not finished yet.	我还没说完。
7678	map224_156ca74e	0		Our attention is directed back toward him.	我们的注意力又回到了他身上。
7679	map224_eaa0d577	0	char_sovy	I suggest that your attack focuses on entering their chambers.\nThere, you could take down both them, and this \"dark idol\".\nHowever, you would have to fight your way through Halin.	我建议你们的进攻重点放在进入他们的内殿上。\n在那里，你们既能扳倒他们，也能摧毁这座“黑暗灵像”。\n但你们必须一路杀过哈林才行。
7680	map224_cc80cb01	0	char_sovy	And that's where my next piece of information comes in.\nHalin may seem just like you and I — but he's not.\nThe Triumvirate created him with that blade.	而这就是我下一条情报的由来。\n哈林看起来和你我没什么两样——但他不是。\n三人执政团用那把刀刃创造了他。
7681	map224_c7d659a4	0		What...?	什么……？
7682	map224_8119547b	0	char_sovy	He was made to be the perfect soldier.\nHe would always serve his Masters, no matter what.\nLittle did I know, that loyalty was stronger than our friendship.	他被造出来，就是要成为完美的士兵。\n无论发生什么，他都会效忠他的主人。\n我那时候并不知道，那份忠诚比我们的友谊还要牢固。
7683	map224_ac582218	0	char_sovy	He promised not to tell them what happened.\nBut the moment we got home, he sold me out immediately.\nHe lives under The Triumvirate's thrall. A {i}true{/i} mindless slave.	他答应过不告诉他们发生了什么。\n但我们一到家，他就立刻出卖了我。\n他活在三人执政团的奴役之下。一个{i}真正{/i}没有思想的奴隶。
7684	map224_9288fa02	0	char_sovy	You must never let them get their hands on that blade again.\nThey aren't limited to suits of armor. They've mastered it enough to create {i}life{/i}.\nOf course, their first test was Halin. They needed someone trustworthy enough to serve them.	你们绝不能让他们再次拿到那把刀刃。\n他们的造物不限于盔甲。他们已经精通到足以创造{i}生命{/i}。\n当然，他们的第一个试验品就是哈林。他们需要一个足够可靠的人来服侍他们。
7685	map224_2794820c	0	char_sovy	I think they did it to ensure that nobody else ran away.\nMy previous Master, the former Grand Inquisitor, defected.\nI trusted Halin, {i}and{/i} The Triumvirate. They all betrayed me.	我猜他们这么做，是为了确保再没有别人会逃走。\n我前一任主人，前任大审判官，叛逃了。\n我信任哈林，{i}也{/i}信任三人执政团。他们全都背叛了我。
7686	map224_d2f2706a	0	char_sovy	But there's your information. I'm sure it will help you out.\nA possible weakness, and the true nature of Halin.\nWith that blade, you could even give him freedom.	但这就是我给你们的的情报。我相信它会帮上你们的忙。\n一个可能的弱点，以及哈林的真实本质。\n有了那把刀刃，你们甚至可以赐予他自由。
7687	map224_e661af01	0	char_sovy	It would release the spell that The Triumvirate has put on him.\nOf course, that's not how I'd like things to play out.	那会解除三人执政团施加在他身上的咒术。\n当然，我并不希望事情朝那个方向发展。
7688	map224_fea91079	0		He smirks at me, and I can sense what he's about to say.	他朝我笑了笑，我能感觉到他接下来要说什么。
7689	map224_f1f7864b	0	char_sovy	I would prefer it if you let me kill him, [firstname].\nThat is all I ask for in return. I {i}won't{/i} get in your way.\nIf you grant me this, I would be further in your debt.	我更希望你能让我杀了他，[firstname]。\n这就是我索要的全部回报。我{i}不会{/i}妨碍你们。\n如果你答应我，我会欠你更多人情。
7690	map224_8e9553ae	0		We all look at each other, slightly confused.{w}\nThe Triumvirate created Halin to be a perfect slave?{w}\nI guess it makes sense, especially if they dealt with defection.	我们面面相觑，有些困惑。{w}\n三人执政团为了造出完美的奴隶才创造了哈林？{w}\n我想这说得通，尤其是考虑到他们要对付叛逃问题。
7691	map224_e3bc446d	0		But just what was this idol at the back of their chambers...?{w}\nAnd was destroying it really the best course of action?{w}\nI guess we wouldn't find out until the very end of things.	可他们内殿深处的那座灵像到底是什么……？{w}\n摧毁它真的是最好的做法吗？{w}\n我想我们得等到最后才能揭晓了。
7692	map224_92ad0810	0	char_sovy	So, do you trust me...?	那么，你们信任我吗……？
7693	map224_8d1a8148	0		We all nod reluctantly. These facts weren't revelations, but they helped.{w}\nIf I could free Halin, he might end up being a valuable asset.{w}\nHowever, the idol remained a true wild card in all of this.	我们都勉强点了点头。这些事实算不上新发现，但有帮助。{w}\n如果我能解放哈林，他也许会成为一个宝贵的战力。{w}\n然而，那座灵像始终是这一切中真正的变数。
7694	map224_f2825e5b	0		If I ever got the chance to talk to The Triumvirate, I'd ask them.{w}\nBut something tells me, if we're face to face, it won't be civil.{w}\nAnd for all I know, it's just a trick. The idol could be a red herring.	要是我有机会跟三人执政团谈谈，我会问问他们。{w}\n但直觉告诉我，真到了面对面的时候，可不会是什么文明的对话。{w}\n而且说不定这根本就是个圈套。那座灵像也许只是障眼法。
7695	map224_266367bd	0	char_sovy	Good. Because there's {i}two{/i} more things to talk about.\nAnd now that I've earned your trust, you have {i}no{/i} reason to doubt them.\nI saved them for last, because, well — it involves dishonesty among your ranks.	很好。因为还有{i}两{/i}件事要谈。\n既然我已经赢得了你们的信任，你们就{i}没有{/i}理由怀疑它们了。\n我把它们留到最后，因为，嗯——这涉及到你们队伍里的不诚实行为。
7696	map224_b2055688	0		It must be about that mole he mentioned...{w}\nI tell him to quit dancing around the subject, and tell me.{w}\nWe had a lot of planning to do for our final attack, and very little time.	一定是他提到过的那个内鬼……{w}\n我叫他别再绕圈子，直接告诉我。{w}\n我们为最后的进攻还有很多要筹划的，时间却很少。
7697	map225_2ac38ac4	0	char_sovy	Well then. Do {i}you{/i} two want to tell him, or should I...?	那好吧。{i}你们{/i}两个想自己告诉他，还是我来……？
7698	map225_9b26c53b	0	char_sovy	Well then. Do {i}you{/i} two want to tell her, or should I...?	那好吧。{i}你们{/i}两个想自己告诉她，还是我来……？
7699	map225_1af2cb7d	0		Pro and Ulric shuffle in silence, clearly in a state of unease.{w}\nWhat was Sovy talking about...? There's no way Ulric and Pro were dishonest.{w}\nThey had served Damek and Salus for decades. They were easily the most trustworthy.	普洛和乌尔里克一言不发，局促地挪动着，显然很不安。{w}\n索维在说什么……？乌尔里克和普洛绝不可能不诚实。{w}\n他们为达梅克和萨卢斯效力了几十年。他们无疑是最值得信赖的人。
7700	map225_152d605e	0	char_ulric	I guess it's time. I'll go first.	看来是时候了。我先说。
7701	map225_a7d80a95	0		Ulric steps forward, taking a deep breath.{w}\nSovy watches with his signature smirk.	乌尔里克上前一步，深吸一口气。{w}\n索维带着他标志性的坏笑看着。
7702	map225_08b8e9e0	0	char_ulric	My allegiance is with The Rebellion, I can promise you that.\nBut that wasn't always the case. It's all in the past — ages ago.\nSovy is trying to harm our trust with ancient information, [firstname].	我可以向你保证，我效忠的是反抗军。\n但并非一直如此。那都是过去的事了——很久很久以前。\n索维想用陈年旧事来破坏我们的信任，[firstname]。
7703	map225_e4bb13b4	0	char_ulric	I knew this was going to happen. \nHe'd earn your trust with a couple interesting facts, then attack.\nThis is subterfuge. My past has no bearing on my current loyalty.	我就知道会这样。\n他会用几个有趣的事实赢得你的信任，然后发动攻击。\n这是诡计。我的过去与我如今的忠诚毫无关系。
7704	map225_25db1ce7	0	char_ulric	But I knew this secret would come out sooner or later.\nThat's the {i}real{/i} reason I sided with Pro to cheat the coliseum.\nYou'd know my loyalty was with you — no matter what.	但我知道这个秘密迟早会暴露。\n这才是我和普洛联手在竞技场作弊的{i}真正{/i}原因。\n这样你就会知道，无论发生什么，我的忠诚都在你这边。
7705	map225_39a80719	0		That much is true. He had no guarantee that I'd side with Vivien.{w}\nHe threw away his beliefs in order to help {i}me{/i} achieve his goal.{w}\nThat was proof enough of his loyalty. But I'm still a bit concerned.	这话没错。他无法保证我会站在薇薇安那边。{w}\n为了帮我{i}自己{/i}实现他的目标，他抛弃了自己的信念。{w}\n这已足够证明他的忠诚。但我还是有点担心。
7706	map225_050d62fa	0		That much is true. He had no guarantee that I'd side with Vivien.{w}\nHe didn't have to, in the end — but he was willing to abandon his dreams.{w}\nThat was proof enough of his loyalty. But I was still a bit concerned.	这话没错。他无法保证我会站在薇薇安那边。{w}\n到头来他本不必如此——但他愿意抛弃自己的梦想。{w}\n这已足够证明他的忠诚。但我还是有点担心。
7707	map225_85f586ba	0	char_sovy	Delaying, as always.\nHe's scared of you, [firstname].\nHe knows you might throw him away.	一如既往地拖延。\n他怕你，[firstname]。\n他知道你可能会抛弃他。
7708	map225_af14aec7	0	char_ulric	No. [firstname] would never do that.\nNot after what I did for our cause in Alarinthia.\nSo go ahead, Sovy, watch your plan crumble and fall.	不。[firstname]绝不会那么做。\n尤其在我为我们在阿拉林西亚的事业做了那些事之后。\n所以尽管来吧，索维，看着你的计划土崩瓦解。
