# dialogue chunk 0004  entries 1201-1600 of 10370
# seq	block	idx	speaker	source	target
1201	map061_febeefe8	0	char_jit_map061_1_0_13	Damek, may I speak with you?	达梅克，我能和你说句话吗？
1279	Ulric3_map054_9_0_aca800ba	0	char_ulric	As time passed, he realized he was being lied to. That's what The Triumvirate does.\nThey tell you that you're getting what you want — but it's just a cover to use you.\nI guess he got fed up, and realized that The Rebellion could actually deliver.	随着时间推移，他意识到自己一直被欺骗。三人执政团就是这么干的。\n他们让你以为你得偿所愿——但那不过是利用你的幌子。\n我猜他是受够了，也明白反抗军才真能兑现承诺。
1280	Ulric3_map054_9_0_3bb7bbf5	0	char_ulric	I'd say so, yeah. This isn't a sudden defection, or anything like that.\nIt's been slowly happening over the last twenty years. I saw it all.\nHe's truly sorry for what he's done, and now he wants redemption.	我想是的。这不是突然倒戈之类的戏码。\n过去二十年里，这一切是慢慢发生的。我全都看在眼里。\n他真心为自己做过的事感到抱歉，如今想要赎罪。
1281	Ulric3_map054_9_0_94d0994c	0	char_ulric	I guess joining us will help him achieve that redemption.\nHe's just in the unfortunate situation of \"playing both sides\".\nHe does {i}work{/i} with the enemy, but his allegiance is with us. I know it.	我想加入我们能帮他实现那份赎罪。\n他只是不幸处在“两头周旋”的境地。\n他确实为敌人{i}做事{/i}，但他的忠诚属于我们。我清楚。
1282	Ulric3_map054_9_0_890206f0	0	char_ulric	They'd probably kill him. They don't really tolerate that.\nBut it's not very often that somebody goes against their rule.\nThey seem to have a \"sway\" over their subjects. It's hard to describe.	他们大概会杀了他。他们容不下这种事。\n不过敢违抗他们统治的人并不多见。\n他们似乎对治下的人有一种“支配力”。很难形容。
1283	Ulric3_map054_9_0_deb1feb4	0	char_ulric	Like — only now that he's away from them is his mind finally clear.\nAs soon as they find out, I'm sure they'll make him a primary target.\nI'm willing to bet that they'll send Sovy and his Apprentice to do the job.	就像——直到现在远离了他们，他的头脑才终于清醒。\n一旦他们发现，我敢肯定他们会把他列为首要目标。\n我敢打赌，他们会派索维和他的学徒来动手。
1284	Ulric3_map054_9_0_9aa49ecb	0	char_ulric	He's really big. He can be intimidating, but his heart is in the right place.\nYou don't really get the \"politician\" vibe from him. He looks more like a warrior.\nBut that's kind of the point. The Triumvirate wanted a ruthless man in charge.	他身材魁梧，看着挺吓人，但心地很好。\n你从他身上感受不到什么“政客”气息，他更像一名战士。\n但这正是关键所在。三人执政团想要的就是个冷酷无情的人来掌权。
1285	Ulric3_map054_9_0_041d1e5a	0	char_ulric	Just don't judge him based on his appearance, and you'll be fine.\nThere's a friendly man underneath that hardened exterior. I promise.\nIf it weren't for his efforts, The Rebellion would barely be successful. 	别以貌取人就好，这样就没问题。\n那副强硬的外表下是个友善的人，我保证。\n要不是他的努力，反抗军根本不可能成功。
1286	Ulric3_map054_9_0_fcd07f97	0	char_ulric	No, and why would it? It was just a front because they wanted the Spirit Idol.\nMazeo remains largely the same. Attention was just diverted to different areas.\nFor example, trade bans just made the pirates focus on different commodities. 	没有，又怎么会呢？那只是个幌子，因为他们想要灵像。\n马泽奥大体上还是老样子，只是注意力被引到了别的领域。\n比如，贸易禁令只是让海盗转而盯上别的商品。
1287	Ulric3_map054_9_0_e2a85221	0	char_ulric	They talked a big talk, but they didn't follow through. It was all a lie.\nFor example, The Rebellion formed effortlessly under their \"watchful eyes\".\nUnder competent rulers, that never should've happened. See what I'm getting at?	他们嘴上说得漂亮，却从不兑现。全是谎言。\n比如，反抗军就在他们“警觉的注视”下毫无阻碍地组建起来了。\n要是换成有能力的统治者，这种事根本不可能发生。明白我的意思吗？
1288	Ulric4_map054_9_0_91538489	0	char_ulric	How else do you explain the huge underground expedition?\nIf they weren't here, there'd be no tunnels at all. It seems to make sense.\nThankfully, we found it first. So it's up to us to make the next move.	不然你要怎么解释那场庞大的地下勘探？\n要不是他们在这儿，根本不会有那些隧道。这似乎说得通。\n还好是我们先发现了它。所以下一步得由我们来走。
1289	Ulric4_map054_9_0_9e9febb7	0	char_ulric	I can't think of any other explanation, to be honest. So I'm definitely certain.\nThe Occupation of Mazeo was just a front for their true goal — the Idol.\nHowever certain I am of that, I'm still clueless as to {i}why{/i} they'd want it.	说实话我想不出别的解释。所以我非常确定。\n占领马泽奥只是他们真实目标的幌子——灵像。\n可我虽然对此深信不疑，却还是完全不明白他们{i}为什么{/i}想要它。
1290	Ulric4_map054_9_0_1508c356	0	char_ulric	We had a deal in place with the owner of Mazeo's Tavern.\nIt's not unlike Peregrino, actually. Almost existing as a front.\nBut he didn't want to get caught, since things were coming to a head.	我们和马泽奥酒馆的老板有过约定。\n其实跟佩雷格里诺差不多，几乎就是个幌子。\n但他不想被抓到，因为局势正走向白热化。
1291	Ulric4_map054_9_0_a03d770a	0	char_ulric	So we decided to branch off, and find ourselves a new home.\nThat's when Damek set his eyes on the underground tunnels.\nHe'd been going to them for a while, to gather his mind in peace.	所以我们决定另起炉灶，给自己找个新家。\n就在这时，达梅克看中了那些地下隧道。\n他之前就常去那里，安静地整理思绪。
1292	Ulric4_map054_9_0_5c17b0a4	0	char_ulric	Nobody. That's what made The Occupation such a good excuse.\nBefore they took over, it was a \"no man's land\". Everybody was free.\nThat had both upsides {i}and{/i} downsides, so they capitalized on the downsides.	没有人。正因如此，占领才成了个绝佳的借口。\n他们接管之前，这里是片“无主之地”，人人都自由自在。\n这既有好处{i}也{/i}有坏处，于是他们便拿坏处做文章。
1293	Ulric4_map054_9_0_fed04f48	0	char_ulric	They promised the people a better future, and they just ate it up.\nFast-forward over twenty years, and they're starting to realize it was a lie.\nIt's helped us get some last minute recruits, but we can't count on any more of those.	他们向民众许诺了更好的未来，大家却全盘照信。\n一晃二十多年过去，人们开始意识到那是个谎言。\n这让我们在最后关头招到了一些人，但再指望更多就不可能了。
1294	Ulric4_map054_9_0_19a169bf	0	char_ulric	Honestly, I'm not sure. We need to think about that when the war is over.\nWe could revert it to the way things were, or come up with a new form of government.\nI'm sure that whatever happens, though, we can't fully eliminate piracy.	老实说，我也不确定。等战争结束再考虑吧。\n我们可以恢复原样，也可以设计一种新的政体。\n但无论怎样，我都确信我们无法彻底根除海盗。
1295	Ulric4_map054_9_0_0317ed60	0	char_ulric	Even if we lifted all trading bans, they'd just continue business as normal.\nThat's what my advice would be. We should legitimize them, put them to work.\nIt's easy to punish them, but there's a whole industry we could tap into.	就算我们解除所有贸易禁令，他们照样会照常做生意。\n我的建议就是这样。我们应该让他们合法化，让他们干活。\n惩罚他们很容易，但有一整个产业可供我们利用。
1296	Ulric4_map054_9_0_1c04bba0	0	char_ulric	There are two pirate lords, Alex and Nada.\nThey see eye to eye on most things, but disagree on others.\nStill, rather than fight each other, they've come to rule together.	有两位海盗头目，亚历克斯和娜达。\n他们在多数事情上看法一致，但也有分歧。\n不过他们没有彼此争斗，而是选择了共同统治。
1297	Ulric4_map054_9_0_e53ab64c	0	char_ulric	Some pirates prefer Alex, while others prefer Nada. It's not too complicated.\nBut there's enough drama around piracy to deal with in-fighting. So they work together.	有些海盗偏向亚历克斯，有些偏向娜达。倒也不难理解。\n但海盗营生本就风波不断，再内斗就应付不来了。所以他们联手合作。
1298	Ulric5_map054_9_0_6dc80fbf	0	char_ulric	Piracy wasn't his first choice — but he really didn't have any say in the matter.\nNone of the legitimate trading companies would hire him due to his troubled past.\nHe basically takes whatever job he can get, living off of Nada's scraps.	当海盗并非他的首选——可这事根本由不得他。\n因为他那段糟糕的过去，正规的贸易商行没一家肯雇他。\n他基本上有什么活就接什么活，靠娜达的残羹剩饭过活。
1299	Ulric5_map054_9_0_f763f892	0	char_ulric	A lot of the local pirates follow after his ideals. He doesn't have delusions of grandeur.\nThe goods he smuggles aren't too dangerous either. It's pretty close to an honest living.\nHe just wants the trade bans lifted — to continue doing what he's doing, and be accepted.	本地不少海盗都追随他的理念。他没有那种狂妄自大的幻想。\n他走私的货物也不算太危险，几乎称得上正当营生。\n他只想让贸易禁令解除——好继续做自己的生意，并被认可。
1300	Ulric5_map054_9_0_0e8500dd	0	char_ulric	Now she's a different story entirely — nothing is off limits for her. She wants money, and power.\nAs long as the price is right, it doesn't matter what you want to smuggle. She's your girl.\nHer vision of the future is different than Alex's. One day, she sees herself in charge of Mazeo.	至于她，那就完全是另一回事了——对她来说没什么是禁忌。她要的是金钱和权力。\n只要价钱合适，你想走私什么都无所谓，找她就对了。\n她对未来的设想和亚历克斯不同。总有一天，她觉得自己会掌管马泽奥。
1301	Ulric5_map054_9_0_681b9453	0	char_ulric	A lot of the pirates follow her because she promises them riches and power. Alex doesn't do that.\nHe simply promises them a stable living, with the hopes that one day it's made legal.\nBut Nada doesn't care what's right or what's wrong, only about having the most power.	很多海盗追随她，因为她许诺财富和权力。亚历克斯则不会这么做。\n他只承诺安稳的生计，并希望有朝一日能让它合法化。\n可娜达不在乎什么对错，只在乎拥有最大的权力。
1302	Ulric5_map054_9_0_f60a062b	0	char_ulric	I guess she thinks that if you have power, it doesn't matter {i}what{/i} you do.\nWhile Alex wants to live an honest legal life, Nada wants to be strong enough to do anything.\nIf you have the whole world in your hand — much like The Triumvirate — no one will stop you.	我猜她认为只要有权力，你做{i}什么{/i}都无所谓。\n亚历克斯想过一种正派合法的人生，娜达却想强大到无所不能。\n当你把整个世界握在手里——就像三人执政团那样——就没人能阻拦你。
1303	Ulric5_map054_9_0_8c10f2f8	0	char_ulric	I've never had to think about it, so I don't really have an answer.\nBut I'd probably have to go with Alex. Nada is a bit too ruthless for me.\nIf she was in power, people would be under her thumb — rather than free.	我从没想过这个问题，所以真没什么答案。\n不过大概我会选亚历克斯。娜达对我来说太狠了些。\n要是她掌权，人们就都得受她摆布——而不是自由。
1304	Ulric5_map054_9_0_fa17c885	0	char_ulric	Not really. Our previous leader ensured that we stayed well hidden.\nNot many of the townspeople knew what we were doing.\nBut even if they found out? They sided with us anyway.	不怎么会。我们前任领袖确保我们藏得很隐蔽。\n镇上没多少人知道我们在做什么。\n就算他们发现了呢？他们照样站在我们这边。
1305	Ulric6_map054_9_0_f0cbb1d4	0	char_ulric	His name was Salus, and he was a man of pure genius.\nI know we say that Damek is a good strategist, but Salus? He was incredible.\nIf it weren't for him, you wouldn't even be wearing that blade on your back.	他叫萨卢斯，是个不折不扣的天才。\n我知道我们都说达梅克是个出色的战略家，可萨卢斯？他简直不可思议。\n要不是他，你背上根本不会背着那把刃。
1306	Ulric6_map054_9_0_c18ae496	0	char_ulric	To be honest, if we win this war — it'll all be thanks to him.\nWe have some work ahead of us, but he made it all possible.\nNot to discredit what you need to do, of course; but you get the idea.	说实话，要是我们赢了这场战争——全都得归功于他。\n前面还有不少事要做，但一切都是他铺好的路。\n当然，这不是要抹杀你要做的事，但你能明白我的意思。
1307	Ulric6_map054_9_0_5899b8b8	0	char_ulric	It's not that hard to be secretive, especially when you have to be.\nWe never slipped up, precisely because we couldn't {i}afford{/i} to.\nIt's also a bit easier with your key players hiding behind positions of power.	保密没那么难，尤其是在你不得不保密的时候。\n我们从未出过纰漏，正是因为出不起{i}任何{/i}纰漏。\n要是关键人物藏在有权有势的位置背后，那就更容易了。
1308	Ulric6_map054_9_0_d134db66	0	char_ulric	By that — I mean, nobody would question Gryz, or The Elder of Valinorth.\nSo because of that, him and Salus were able to meet and plan things without suspicion.\nEssentially, we had the perfect cover. After Salus passed, we just exercised discretion.	我的意思是，没人会去质疑格瑞兹，或是瓦利诺斯的长老。\n正因如此，他和萨卢斯才能在不被怀疑的情况下会面、谋划。\n可以说，我们有最完美的掩护。萨卢斯去世后，我们就更加谨慎行事了。
1309	Ulric6_map054_9_0_76352985	0	char_ulric	Yes.	是的。
1310	Ulric6_map054_9_0_3ead1231	0	char_ulric	With the knowledge I currently possess, yes, I think they would.\nOver twenty years later, the Mazeans are starting to realize The Triumvirate was lying.\nThey promised to turn Mazeo into a utopia. Just look around when we get there. It's not.	以我目前所知，是的，我想他们会。\n二十多年过去，马泽奥人开始意识到三人执政团一直在撒谎。\n他们许诺把马泽奥变成乌托邦。等我们到了你四处看看就知道，根本不是。
1311	Ulric6_map054_9_0_2249c1ed	0	char_ulric	Their words seem to mean a lot to people, even if their actions don't follow suit.\nIn my opinion, it's only a matter of time before their promises fall on deaf ears.\nThat is — if we don't take them down first. At least we'll be keeping {i}our{/i} promises.	他们的话对人们似乎很有分量，哪怕行动根本跟不上。\n在我看来，他们的承诺迟早会被人充耳不闻。\n也就是说——除非我们先把他们拉下马。至少我们会{i}兑现{/i}自己的承诺。
1312	Ulric6_map054_9_0_bdeddf8b	0	char_ulric	Depends what you're wanting to know. Just give me a try.	那得看你想知道什么。尽管问吧。
1313	Ulric7_map054_9_0_00127666	0	char_ulric	Old enough to be tired of answering that question.	老到已经懒得回答这个问题了。
1314	Ulric7_map054_9_0_07aecf55	0	char_ulric	I consider Damek and The Rebellion to be my family.\nIf you mean my birth family in Alarinthia, I couldn't tell you.\nWe weren't very close, and I left for the mainland as soon as I could.	我把达梅克和反抗军当成家人。\n如果你指我在阿拉林西亚的血亲，那我可说不上来。\n我们关系并不亲近，我逮到机会就离开去了大陆。
1315	Ulric7_map054_9_0_8a1e9d72	0	char_ulric	Depends how much you're paying me.	那得看你出多少钱。
