# dialogue chunk 0003  entries 801-1200 of 10370
# seq	block	idx	speaker	source	target
801	map046_7da59578	0		He sniffles softly, like he overcame his imminent tears.	他轻轻抽了抽鼻子，像是忍住了即将夺眶的泪水。
869	map047_098d8168	0		She smiles at me, and it seems like she's accepting of my advances.{w}\nHowever, the way things were — I understood her exception.{w}\nIt would be better to talk about that stuff later on.	她冲我笑了笑，似乎接受了我的示好。{w}\n不过，就当时的情形——我理解她的例外。{w}\n那些事，还是以后再说比较好。
870	map047_5462ed0f	0	char_valessa	And I'm glad we can rise to the challenge. That's good.\nSomething tells me there'll be many more challenges to come.\nBut as long as we band together — and talk it out — we can do this.	很高兴我们能迎接挑战。这很好。\n我有种预感，往后还会有更多挑战。\n但只要我们团结一心——把话说开——就能做到。
871	map047_5410b35e	0		With a wide smile, I can sense a newfound determination within her.{w}\nSomething is there — something that wasn't there the moment we began talking.	她绽开笑容，我能感到她心中新生出一股决心。{w}\n有些东西出现了——在我们开始交谈时还不存在的东西。
872	map047_66226860	0	char_valessa	Oh. Well, yeah — of course.\nI'd never interrupt your training, you know.\nIf you don't learn to wield that blade, we're doomed.	哦。嗯，是啊——当然。\n你知道，我绝不会打断你的训练。\n要是你学不会挥舞那把刃，我们就完了。
873	map047_77e06f4c	0	char_valessa	I think you can trust my manners are better than that.\nIf you're busy, I can guarantee that I'll leave you alone.\nJust seemed like we had some spare time right now, is all.	我想你可以相信我的礼数没这么差。\n你要是忙，我保证不会打扰你。\n只是眼下好像正好有点空闲，仅此而已。
874	map047_5859d11d	0	char_valessa	Let's get things moving, alright?\nLike I said, I have a better sense of direction now.\nOr at the very least, my mind is more clear. That's all I needed.	我们继续办正事吧，好吗？\n就像我说的，我现在方向感清楚多了。\n至少，脑子更清醒了。我需要的也就是这个。
875	map047_74a2b0a2	0		Letting out a loud sigh, she starts to walk away.{w}\nI'm glad I decided to reach out to her like this.{w}\nA clouded mind could affect her performance.	她长叹一声，转身走开了。{w}\n我很庆幸自己决定这样主动接近她。{w}\n思绪混乱会影响她的表现。
876	map047_a13ecba4	0		If we wanted to win this — everyone would need to be resolute.{w}\nI shouldn't miss {i}any{/i} opportunity to bond with my friends and comrades.{w}\nTheir survival and future would directly relate to their morale.	要想赢下这场战争——每个人都需要意志坚定。{w}\n我不该错过{i}任何{/i}与朋友和战友加深情谊的机会。{w}\n他们的生死与未来，直接取决于他们的士气。
877	map171_e8e466ac	0		Howl stares off into the ocean, deep in contemplation.{w}\nI imagine that he'd have a lot to think about — and a lot to process.{w}\nLast time we talked, he seemed conflicted about whether or not he fit in.	豪尔凝望着大海，陷入沉思。{w}\n我想他有很多要思考的——也有很多要消化的。{w}\n上次我们交谈时，他似乎对自己能否融入其中感到矛盾。
878	map171_43815564	0	char_howl	[firstname].	[firstname]。
879	map171_0e220f97	0		He turns to face me, and gives me a small wave, welcoming me.{w}\nI stand beside him, and we stare off into the ocean together.{w}\nThe sun causes it to glisten, sparkling with a gentle beauty.	他转过身面向我，轻轻挥了挥手，算是欢迎。{w}\n我站到他身旁，我们一起眺望大海。{w}\n阳光让海面波光粼粼，闪烁着柔和的美。
880	map171_b304b0a3	0	char_howl	We're still conflicted. These thoughts won't go away.\nVisions of needless violence, and senseless destruction.\nYou may tell us that they aren't real — but we're unsure.	我们依旧矛盾。这些念头挥之不去。\n那些无谓的暴力、无意义的毁灭的景象。\n你或许会告诉我们，它们不是真的——可我们不确定。
881	map171_9fcea484	0	char_howl	The emotions that well up within us are far too real.\nIs it possible for fake events to elicit real emotions?\nOr are we perhaps hearing echoes of the past...?	我们心中涌起的情绪太过真实。\n虚假的事件，真的能激发出真实的情绪吗？\n又或者，我们听到的是过往的回响……？
882	map171_cfbff339	0		Echoes of the past...? What does he mean?	过往的回响……？他是什么意思？
883	map171_40cdae93	0	char_howl	Let us phrase it differently. You know visions, yes?\nThe Monarchy used them to guide us to the best possible future.\nHow can you {i}know{/i} that best possible future without trial and error?	让我们换个说法。你知道预言，对吧？\n王权曾用它们引领我们走向最好的未来。\n可你若不经反复试错，又怎会{i}知道{/i}那最好的未来到底是什么？
884	map171_c87f8bc9	0	char_howl	There would still be many futures left unseen, and many pasts avoided.\nKnowing one {i}true{/i} course of action, requires disregarding millions of wrong ones.\nWhat if we are simply seeing these many avenues? Almost like our visions have evolved.	仍会有许多未来未被得见，许多过往得以避开。\n要知晓一条{i}真正{/i}的行动之路，就得无视数百万条歧途。\n万一我们看到的，只是这诸多路径本身？就好像我们的预言进化了。
885	map171_29143663	0	char_howl	If not evolved, then perhaps — gotten muddled.\nRather than see the one important future, we see everything.\nWe do not know if this is a good thing or a bad thing, [firstname].	若不是进化了，那或许——是变得混乱了。\n我们看不到那个唯一重要的未来，而是看到了一切。\n我们不知道这是好事还是坏事，[firstname]。
886	map171_3a402535	0		It kind of makes sense, when you think about it.{w}\nSeeing the best possible future was like one side of a coin.{w}\nThe other side still exists, and it's left covered up — unseen.	仔细想想，这倒也说得通。{w}\n看见最好的未来，就像硬币的一面。{w}\n另一面依然存在，只是被盖住了——不为人所见。
887	map171_336e47a5	0		Many wrong futures, many wrong choices made.{w}\nThe mind likely blocked these out for a reason.{w}\nMaybe he's sensitive after escaping his prison.	许多错误的未来，许多做错的选择。{w}\n心智将它们屏蔽掉，大概是有原因的。{w}\n也许他逃出牢笼后，变得格外敏感。
888	map171_b9549eda	0	char_howl	If this is true, then we exist unbound from time.\nA string in a labyrinth, with no one holding the other side.\nNo one to tug — no one to guide us in the right direction.	若真是如此，那我们便游离于时间之外。\n像是迷宫里的一根线，另一端无人牵引。\n无人拉动——无人指引我们走向正确的方向。
889	map171_ee45299f	0	char_howl	No one, of course — except for you.\nOur visions may be useless at the moment, but are yours?\nWe would recommend that you try inducing a vision, [firstname].	当然无人——除了你。\n我们的预言此刻或许毫无用处，可你的呢？\n我们建议你试着主动引发一次预言，[firstname]。
890	map171_0c71f3ae	0	char_howl	Not right now, of course. But in your own time.\nHowever, when you do so — we would request a favor.\nIf you see the future, embrace it. But also, look into the past.	当然不是现在。等你方便的时候。\n不过，当你这么做时——我们想请你帮个忙。\n你若看见未来，就拥抱它。但也请回望过去。
891	map171_d4dc4a6b	0	char_howl	The future you see blossoms from choice and consequence.\nLook back at those choices made, and conjure up the choices {i}unmade{/i}.\nThe loss, the heartbreak, the death. Maybe then you will know what pains us.	你所见的未来，由选择与后果绽放而成。\n回望那些已做出的选择，再想象那些{i}未曾做出{/i}的选择。\n那些失去、心碎、死亡。也许到那时，你就会明白是什么在折磨我们。
892	map171_96e8df66	0		He's plagued with bad visions. He no longer sees the one true future.{w}\nHe sees {i}everything{/i}, and that is a curse that I would wish upon nobody.{w}\nI can't even imagine how many times he's seen us all die — and for what...?	他被不祥的预言所折磨。他再也看不到那唯一的真实未来。{w}\n他看到{i}一切{/i}，那是我绝不愿加诸任何人的诅咒。{w}\n我甚至无法想象，他见过我们所有人死多少次——又是为了什么……？
893	map171_bafb844c	0	char_howl	There is only one thing that remains constant throughout these visions.\nYourself, The Blade of Exodus — and the death that it feeds off of.\nThere's something self serving about all three of these things.	在这些预言中，只有一样东西始终不变。\n你自己、流亡之刃——以及它所赖以为生的死亡。\n这三样东西身上，都有某种自私之处。
894	map171_b7cc4089	0	char_howl	You always have that blade; and the people around you always die.\nWhen they do, it's almost like that makes the blade more powerful.\nIt's like there's an essence released from our bodies when we pass on.	你总是握着那把刃，而身边的人总是死去。\n当他们死去时，几乎就像是让那刃变得更强大。\n仿佛我们逝去时，身体里会释放出某种精魄。
895	map171_d6b22018	0	char_howl	But is that the essence of life, or the essence of death?\nPerhaps that is a choice the wielder of the blade must make.\nWhat do you think, [firstname]? Is that energy life, or is it death...?	可那是生命的精魄，还是死亡的精魄？\n也许，那是持刃者必须做出的选择。\n你怎么看，[firstname]？那股能量是生命，还是死亡……？
896	map171_0f09e495	0	char_howl	An interesting thought, to say the least.\nIf it is up to the wielder, at least we know where you stand.\nThat blade is such a mysterious thing, and it grows ever stronger.	至少可以说，这想法很有意思。\n若这取决于持刃者，那至少我们知道你的立场。\n那把刃真是神秘之物，而且正变得愈发强大。
897	map171_e761f4d8	0		He's almost cryptically telling me what I already know.{w}\nI know that the blade deals with the spirits of its victims.{w}\nThe Triumvirate used it to create their own massive army.	他几乎是在隐晦地告诉我我早已知道的事。{w}\n我知道那把刃会摆布受害者的灵。{w}\n三人执政团曾用它制造出他们自己的庞大军队。
898	map171_b0261dd7	0		Even if it kept a portion of every soul, it would get stronger with every kill.{w}\nThat, combined with the power of The Monarchy inside...? Immense power.{w}\nA bit ironic if a portion of everybody The Triumvirate killed was used to end them.	即便它只留下每个灵魂的一部分，也会随着每一次杀戮而变强。{w}\n再加上其中王权的力量……？那将是无穷之力。{w}\n要是三人执政团所杀之人的一部分力量，最终被用来终结他们自己，倒有点讽刺。
899	map171_7e1da29c	0	char_howl	We wonder if you possess this ability as well.\nTo see the past, even while you stand in the present.\nIs this a curse meant only for us, or a gift to be further honed?	我们想知道，你是否也拥有这种能力。\n即便身处当下，也能看见过去。\n这是只为我们而设的诅咒，还是值得进一步磨砺的天赋？
900	map171_3a926b39	0	char_howl	It eludes our understanding, and we wish to know for sure.\nWhen we come back to the mainland, please return to Valinorth.\nClose your eyes, concentrate on the past, and talk to your comrades.	这超出了我们的理解，我们想确切地弄清楚。\n等我们回到大陆，请你回一趟瓦利诺斯。\n闭上眼，专注于过去，和你的战友们说说话。
