# dialogue chunk 0011  entries 4001-4400 of 10370
# seq	block	idx	speaker	source	target
4001	map240_d2c8a924	0		He clutches the pendent close to his chest.	他把吊坠紧紧贴在胸前。
4023	map242_41895481	0		Howl enters my quarters, carrying an aura of purpose with him.{w}\nAfter Eastcrown, I know that something big has been on his mind.{w}\nWe were so close to the final battle. It was probably time for us to talk.	豪尔走进我的房间，带着一股心意已决的气场。{w}\n经历了东冠之后，我知道他心里一直压着一件大事。{w}\n决战已近在咫尺。也许我们该谈谈了。
4024	map242_b19c6c65	0	char_howl	Monarch? We must speak with you.\nIt's about our upcoming attack on Balteus.\nAt least, we think it is. Things have been complicated.	君主？我们必须和你谈谈。\n是关于即将对巴尔泰乌斯发动的进攻。\n至少，我们觉得是。事情一直很复杂。
4025	map242_2d84d18c	0	char_howl	We may be walking into a trap.\nThis may all be part of The Triumvirate's plan.	我们可能正走进一个陷阱。\n这一切也许都在三人执政团的计划之中。
4026	map242_dc9167c8	0	char_howl	Take their blade, feed it power, and then bring it back.\nThis may be what they've wanted all along. We've seen it.\nEverything we've done has only made their weapon stronger.	夺走他们的剑，喂养它力量，再把它送回去。\n这也许正是他们一直想要的。我们看出来了。\n我们所做的一切，只是让他们的武器变得更强。
4027	map242_06d75811	0	char_howl	They let us steal their blade. They wanted it to happen.\nThey knew we'd bring it here, feed it death, and tap into the idol.\nBut not only that — we're bringing it right back to them, stronger than ever.	他们是故意让我们偷走那把剑的。这正是他们想要的。\n他们知道我们会把它带到这里，以死亡喂养它，并汲取灵像的力量。\n不仅如此——我们还会把它原样带回他们面前，比以往任何时候都更强。
4028	map242_80d7a659	0	char_howl	You may think we are wrong — that this is just a foolish theory.\nBut we must only look into the visions to realize the truth.\nThat, combined with some of your actions. Like clockwork.	你可能觉得我们错了——觉得这不过是无稽之谈。\n但只要我们去看那些幻象，就能明白真相。\n再加上你的一些举动。就像上了发条一样，分毫不差。
4029	map242_d76cd034	0	char_howl	It's almost like sometimes, you have no other choice.\nYou say or do things that push us down a certain path.\nBut more often than not, that path leads us to death.	有时候，你几乎像是别无选择。\n你说出或做出的事，会把我们推上某条道路。\n而那条路，往往通往死亡。
4030	map242_a9d5400c	0	char_howl	How convenient then, that the blade feeds off of death.\nIn your hands, it has gotten more powerful than ever before.\nBut what force — what invisible hand — guides us down this path...?	那么，这把剑以死亡为食，又是多么方便啊。\n在你手中，它变得比以往任何时候都要强大。\n可究竟是什么力量——什么无形之手——在引导我们走上这条路……？
4031	map242_95347649	0	char_howl	It's quite simple, but we were always looking at it the wrong way.\nVenturing into Eastcrown, and seeing that ship, made us realize that.\nWhen we approached things from a different angle, it all made sense.	其实很简单，只是我们一直看错了方向。\n深入东冠，看到那艘船，让我们明白了这一点。\n当我们换个角度看问题时，一切就都说得通了。
4032	map242_a5f57715	0	char_howl	We've been struggling with visions of these “different” pasts.\nThey seemed to come out of nowhere, and complicate things.\nUntil recently, we only had to process visions of the future.	我们一直苦苦挣扎于那些“不同”过去的幻象。\n它们似乎凭空出现，把事情搅得一团乱。\n直到最近，我们要处理的还只是未来的幻象。
4033	map242_975230b3	0		He crosses his arms.	他抱起了双臂。
4034	map242_887abc3f	0	char_howl	At least, that's what we thought.	至少，我们当时是这么想的。
4035	map242_144d7e34	0		I take a step forward, interested to see where he's going with this.	我上前一步，想知道他到底想说什么。
4036	map242_efafda1e	0	char_howl	But now we realize — we've never seen the future at all.\nIt's impossible to see what has not yet been written.\nBut it is easy to see what has already happened.	但现在我们明白了——我们从未见过未来。\n看见尚未被书写之物是不可能的。\n但看见已经发生的事，却很容易。
4037	map242_fc65aa26	0		Now he's lost me.	这下我听不懂了。
4038	map242_f4e4f145	0	char_howl	These visions of different pasts aren't as out of place as we thought.\nYou were told you had visions of the future, and chose to believe that fact.\nBut they are not visions of the future. They too, are simply different pasts.	这些不同过去的幻象，并不像我们想的那么格格不入。\n有人告诉你那是未来的幻象，而你选择相信了这个说法。\n但它们不是未来的幻象。它们同样只是不同的过去。
4039	map242_c7d659a4	0		What...?	什么……？
4040	map242_8033a67e	0	char_howl	The key to all of this is The Blade of Exodus. It's a constant in every vision.\nBut the power within it varies, even when it shouldn't. There are... inconsistencies.\nEven if we have a vision of the same situation, the power inside the blade is different.	这一切的关键是流亡之刃。它在每个幻象中都是恒定的。\n但它蕴含的力量却会变化，哪怕本不该如此。存在着……矛盾之处。\n即便我们看到的是同一个情景的幻象，剑中的力量也不一样。
4041	map242_7f425699	0	char_howl	The Triumvirate has some sort of dominion over time. That much is clear.\nThey possess the ability to grant their subjects eternal life. Like Ulrilc, and Sovy.\nWe need to operate under the assumption that this ability can be used in other ways.	三人执政团对时间有某种掌控力。这一点很清楚。\n他们拥有赐予臣属永恒生命的能力。比如乌尔里克，还有索维。\n我们必须假设这种能力还可以用在别的方面。
4042	map242_b8fb1c59	0		He eyes the blade on my back.	他盯着我背上的剑。
4043	map242_d7bc5048	0	char_howl	Mainly, in a way that could be used to strengthen The Blade of Exodus.\nThey could create a cycle — full of death and despair — that we are unable to break.\nWhen the cycle reaches an end, they could revert time, and gather that power all over again.	主要是，用来强化流亡之刃。\n他们可以制造一个轮回——充满死亡与绝望——让我们无法打破。\n当轮回走到尽头，他们便能逆转时间，将那份力量再次收集起来。
4044	map242_55c757ff	0	char_howl	The visions of the future you thought you were having? They aren't what you thought.\nWe believe they are visions of cycles in the past. Perhaps cycles where we have perished.\nDid your visions of the “future” involve your death in any way? Think about this, Monarch.	你以为你看到的那些未来幻象？它们并非你所想的那样。\n我们相信那是过去轮回的幻象。也许是我们在其中覆灭的轮回。\n你那些“未来”的幻象里，有没有以任何方式出现过你的死亡？好好想想，君主。
4045	map242_52e1b695	0		Now that he mentions it, they did. I was stabbed by Sovy in the vision that started all of this.{w}\nAnd after touching the blade, my series of visions ended with me getting stabbed. That's odd.{w}\nI tell him these stories, and he smirks. It seems I'm only confirming his outlandish theories.	经他这么一提，确实有。在一切开始的那场幻象里，我被索维刺了一刀。{w}\n而触碰那把剑之后，我那一连串的幻象也以我被刺中告终。这很奇怪。{w}\n我把这些告诉他，他勾起嘴角。看来我只是在印证他那些荒诞的推论。
4046	map242_e3fde0d7	0	char_howl	Those were visions of past cycles, Monarch. Cycles where we failed.\nWhen we look at it like this, these different pasts make perfect sense.\nWe've been looking at them all wrong. That is — until just recently.	那些是过去轮回的幻象，君主。我们失败的轮回。\n这么一想，那些不同的过去就完全说得通了。\n我们一直看错了它们。直到——最近才明白。
4047	map242_f0fcc09a	0	char_howl	It seems that we retain some prior knowledge from these cycles.\nPerhaps that is why we act in certain ways, as if we have no options.\nIn the back of our mind, we're pushing ourselves in the same direction.	看来我们保留了一些来自那些轮回的旧有认知。\n也许正因如此，我们才会以某些方式行事，仿佛别无选择。\n在心底深处，我们一直把自己推向同一个方向。
4048	map242_4fb29b36	0	char_howl	We think The Triumvirate is manipulating time.\nThey are doing this in order to make the blade even stronger.\nThe Occupation, the formation of The Rebellion, and the attack in the tunnels?	我们认为三人执政团在操纵时间。\n他们这么做，是为了让那把剑变得更强。\n占领、反抗军的成立，还有隧道里的那场袭击？
4049	map242_b4c67989	0	char_howl	All of those casualties simply served to give the blade more power.\nWe have no doubt that many will perish when we assault Balteus, as well.\nBut when the time comes, they can simply make it happen all over again.	那些伤亡，不过是用来给那把剑增添力量。\n我们毫不怀疑，进攻巴尔泰乌斯时也会有许多人丧命。\n但当那一刻到来，他们只需让一切重新来过。
4050	map242_01255f38	0		This is almost too much to comprehend.	这几乎让人难以理解。
4051	map242_4877b591	0	char_howl	It makes sense, when you think about it. Especially with these tunnels.\nThose suits of armor knew exactly how to fortify this place for your army.\nThey must've retained their knowledge, and adapted each and every time.	仔细一想，确实有道理。尤其是这些隧道。\n那些铠甲士兵清楚地知道该如何为你的军队加固这个地方。\n他们必定保留了记忆，每一次都做出了调整。
4052	map242_0bdff221	0	char_howl	But only one question remains unanswered — why?\nWhy do they want to make this blade even stronger?\nWhat is their endgame? What do they desire...?	但只有一个问题还没有答案——为什么？\n他们为什么要让这把剑变得更强？\n他们的最终目的是什么？他们到底想要什么……？
4053	map242_cba3fe1e	0	char_howl	It is very possible that we are walking into a trap.\nThat is, unless, the blade has enough power to defeat them.\nTheir plan — if it's as I expect — is a double-edged sword.	我们很可能正走进一个陷阱。\n除非，这把剑拥有足以击败他们的力量。\n他们的计划——如果真如我所料——是一把双刃剑。
4054	map242_8381a568	0	char_howl	An infinite cycle, created specifically to power the blade.\nThere must be a cycle — a “prime” cycle — where {i}we{/i} have the power to defeat them.\nA point where the blade is strong enough for us to win, but not yet strong enough for them.	一个无限的轮回，专门为给那把剑注入力量而被创造出来。\n必定存在一个轮回——一个“原初”轮回——在那里，{i}我们{/i}拥有击败他们的力量。\n一个剑的力量已足以让我们取胜，却还未强到足以让他们得逞的节点。
4055	map242_4ae7a8f0	0	char_howl	All we can do is hope that we've reached that cycle.\nThe power in that blade is immense, but is it enough...?\nHopefully you understand what we are trying to say.	我们能做的，只有希望我们已经抵达了那个轮回。\n那把剑中的力量无比巨大，但是否足够……？\n希望你能明白我们想说什么。
4056	map242_1f912022	0		He's trying to tell me that we're trapped in some sort of time loop?{w}\nA loop that The Triumvirate fashioned in order to give the blade power...?{w}\nAnd not only that, but I never saw the future. I only saw failed past endeavors.	他是想告诉我，我们被困在某种时间循环里？{w}\n一个由三人执政团精心设计、用来给那把剑注入力量的循环……？{w}\n不仅如此，我从未看见过未来。我看到的只是过去失败的尝试。
4057	map242_84cc0db0	0		It's hard to believe, but death has definitely followed me and my allies.{w}\nIf their goal was to feed the blade with power, then they have certainly succeeded.{w}\nBut how far back does this cycle go? Could it reach as far back as The Occupation...?	很难相信，但死亡确实一直追随着我和我的同伴们。{w}\n如果他们的目的是以力量喂养那把剑，那他们无疑是成功了。{w}\n但这个轮回上溯到多久以前？会不会一直追到占领时期……？
4058	map242_2ebc67ad	0		Wait a minute.	等等。
4059	map242_4ca1be0a	0		Attack Mazeo, kill innocents, and incite a rebellion.{w}\nAttack that rebellion, provoke them into attacking your home, and then destroy them.{w}\nWith what Howl said — it almost does seem likely that we're walking into a trap. This can't be.	袭击马泽奥，杀害无辜者，挑起一场叛乱。{w}\n袭击那场叛乱，激他们进攻你的家园，然后将他们摧毁。{w}\n结合豪尔所说的话——我们似乎真的要走进一个陷阱了。这不可能。
4060	map242_0b0b1f3c	0	char_howl	The reason we see these things is because of the energy within us.\nIt makes us sensitive, in a way that others are not. We are both special.\nBut I don't think visions are the only benefit of this power. There is more.	我们能看见这些东西，是因为我们体内的能量。\n它让我们以一种旁人没有的方式变得敏锐。我们两个都很特别。\n但我认为幻象并非这份力量唯一的好处。还有更多。
4061	map242_9fd6721b	0	char_howl	Perhaps you see a flash of events that are happening elsewhere.\nPerhaps you can relive a conversation that has already happened.\nThese echoes of past cycles manifest themselves in many ways.	也许你会瞥见别处正在发生的事件。\n也许你能重温一段已经发生过的对话。\n过去轮回的这些回响，会以许多种方式显现。
4062	map242_6616f904	0	char_howl	But when we look at it this way, everything makes sense.\nEverything has an explanation, and nothing is left up in the air.\nThe only question is — do you believe us? Do you think we are correct?	但这样看来，一切都说得通了。\n一切都有了解释，再没有悬而未决的事。\n唯一的问题是——你相信我们吗？你觉得我们说的对吗？
4063	map242_3b4ecaf3	0	char_howl	Very well. It was enough to get this off our chest.\nWe only ask that you keep it in mind in the future.\nWhen we get to Balteus, things may become clear.	很好。能把这件事说出来，对我们来说就够了。\n我们只希望你在将来把它记在心里。\n等我们到了巴尔泰乌斯，事情或许会明朗起来。
4064	map242_269b6d2c	0	char_howl	Good. We knew you would see the truth of things.\nThis was an impossible matter to discuss with anybody else.\nWe are special, and now we finally understand the reason why.	很好。我们就知道你会看清事情的真相。\n这件事无法和任何其他人谈论。\n我们很特别，而现在我们终于明白原因了。
4065	map242_a973a301	0		He turns to leave, but tilts his head back to address me one more time.{w}\nI guess he wanted to leave no stone unturned before our attack on Balteus.	他转身要走，却又回过头来，再一次对我开口。{w}\n我猜，他想在进攻巴尔泰乌斯之前把事情彻查清楚，不留死角。
4066	map242_fb8e1c2d	0	char_howl	The Triumvirate is up to something — that much is clear.\nIf it aligns with our theory, at least you will be able to act.\nGetting caught off guard would damage us beyond repair.	三人执政团在谋划着什么——这一点很清楚。\n如果这与我们的推论吻合，至少你还能做出应对。\n被打个措手不及，会给我们造成无法挽回的损失。
4067	map242_979ae38a	0	char_howl	That is not something we want our Monarch to endure.\nBe prepared for anything, for the enemy will stop at nothing.\nIf you can do this, then perhaps our victory will be more likely.	那不是我们希望君主承受的事。\n做好万全准备，因为敌人会不择手段。\n如果你能做到这一点，也许我们获胜的希望就会更大。
4068	map242_085a2ead	0		With that said, he sees himself out of my room.{w}\nThat all came out of nowhere, and I'm not sure how to react.{w}\nBut one thing was clear — there was so much we didn't know.	说完这些，他便自行离开了我房间。{w}\n这一切来得毫无预兆，我不知该如何反应。{w}\n但有一件事很清楚——我们不知道的事情太多了。
4069	map242_e8a5552a	0		But would we learn the truth in Balteus?{w}\nOr would we even make it that far? I don't know.{w}\nI start to feel uneasy, even with all this new knowledge.	但我们能在巴尔泰乌斯得知真相吗？{w}\n还是说，我们根本撑不到那里？我不知道。{w}\n即便知道了这些新东西，我仍开始感到不安。
4070	map242_8263a45e	0		Could we really have been fundamentally wrong about everything?{w}\nAs I go about my business, it's impossible to shake that thought out of my head.	我们对一切的理解，难道真的从根本上就错了？{w}\n在我处理日常事务时，这个念头始终挥之不去。
4071	map148_a30cdc7d	0		Sovy and his crew quickly made their way back to the docks.{w}\nHiding in the alleyway, much like before, they gathered their bearings.{w}\nThings hadn't gone according to plan — their true mission was a failure.	索维和他的手下迅速返回了码头。{w}\n他们像之前一样躲在巷子里，重新定了定神。{w}\n事情没有按计划发展——他们真正的任务失败了。
4072	map148_e03d7c4c	0	char_halin	What happened, Sovy?\nI thought you had everything under control.\nGet in — kill The Seer — and destroy the idol.	怎么回事，索维？\n我以为你把一切都掌控住了。\n潜进去——杀掉先知——毁掉灵像。
4073	map148_0b7594f5	0	char_halin	What happened, Sovy?\nI thought you had everything under control.\nGet in — kill The Seeress — and destroy the idol.	怎么回事，索维？\n我以为你把一切都掌控住了。\n潜进去——杀掉先知——毁掉灵像。
4074	map148_41bab3de	0	char_sovy	It's not that simple, Halin.\nI tried my best, and it wasn't a total failure.\nWe've dealt them a blow from which they'll never recover.	没那么简单，哈林。\n我已经尽力了，而且也不算全盘失败。\n我们给了他们一记永远无法恢复的打击。
4075	map148_b2a2fa90	0	char_halin	And you think The Triumvirate will be okay with that?\nThey don't tolerate failure. I'll get dragged into this, too.\nI don't want to suffer due to your inability to succeed, Sovy.	你以为三人执政团会对此满意？\n他们不容许失败。我也会被牵连进去。\n我不想因为你的无能而遭罪，索维。
4076	map148_c57b3b31	0	char_halin	Let's not even mention The Blade of Exodus.\nYou just let them walk away with it...?\nI can't believe you were so foolish.	更别提流亡之刃了。\n你就那样让他们把它带走了……？\n我真不敢相信你会这么愚蠢。
4077	map148_694fe20b	0	char_sovy	Don't worry. We'll get the job done.\nThey'll be happy enough with Damek out of the picture.\nIt'll buy us time while we formulate another plan, Halin.	别担心。我们会完成任务的。\n少了达梅克，他们就够满意了。\n这会为我们争取时间，让我们制定新的计划，哈林。
4078	map148_5a2bf72f	0	char_halin	If you're lucky enough to get another chance, you mean.\nYou'll need a pretty good excuse to get away with this.	你是说，如果你运气好还能有下一次机会的话。\n你得有个相当不错的借口才能蒙混过关。
4079	map148_443972dd	0		Sovy sighs, looking down at the ground.	索维叹了口气，低头看着地面。
4080	map148_45c67abe	0	char_sovy	I hesitated, Halin.	我犹豫了，哈林。
4081	map148_4a08acaf	0	char_halin	Hmm...?	嗯……？
4082	map148_da3ef34e	0	char_sovy	I had him in my grasp, and I hesitated.\nThere was something in my head — saying not to kill him.\nThe same instinct I always listen to, and am {i}praised{/i} for.	他已经落在我手里了，我却犹豫了。\n我脑子里有个声音——叫我不要杀他。\n那正是我一直听从、并因此受到{i}称赞{/i}的直觉。
4083	map148_4a87fe44	0	char_sovy	That instinct has yet to let me down.\nI feel like he was meant to survive this battle.\nWe'll have more chances to kill him in the future.	那个直觉至今没有让我失望过。\n我觉得他本就注定要在这场战斗中活下来。\n将来我们还有更多机会杀他。
4084	map148_e69ed495	0	char_sovy	Besides, with the condition I left him in, he'll be an easy target.\nNext time we cross paths, even a child could take him down.\nThis isn't as bad as you think, Halin. Today, we {i}won{/i}.	再说，我把他伤成那样，他会是个很容易得手的目标。\n下次我们再遇上，就连小孩都能放倒他。\n事情没你想的那么糟，哈林。今天，是我们{i}赢了{/i}。
4085	map148_57055e4b	0	char_sovy	I had her in my grasp, and I hesitated.\nThere was something in my head — saying not to kill her.\nThe same instinct I always listen to, and am {i}praised{/i} for.	她已经落在我手里了，我却犹豫了。\n我脑子里有个声音——叫我不要杀她。\n那正是我一直听从、并因此受到{i}称赞{/i}的直觉。
4086	map148_2156ea89	0	char_sovy	That instinct has yet to let me down.\nI feel like she was meant to survive this battle.\nWe'll have more chances to kill her in the future.	那个直觉至今没有让我失望过。\n我觉得她本就注定要在这场战斗中活下来。\n将来我们还有更多机会杀她。
4087	map148_d826a79a	0	char_sovy	Besides, with the condition I left her in, she'll be an easy target.\nNext time we cross paths, even a child could take her down.\nThis isn't as bad as you think, Halin. Today, we {i}won{/i}.	再说，我把她伤成那样，她会是个很容易得手的目标。\n下次我们再遇上，就连小孩都能放倒她。\n事情没你想的那么糟，哈林。今天，是我们{i}赢了{/i}。
4088	map148_dc7db3c1	0	char_halin	For your sake, I hope they buy that excuse.	为了你好，我希望他们信你这套说辞。
4089	map148_c90780bd	0	char_sovy	No, Halin. We must {i}never{/i} tell them the truth.\nTell them The Seer slipped through our grasp.\nI trust you to keep this silent for the time being.	不，哈林。我们{i}绝不能{/i}告诉他们真相。\n就说先知从我们手中逃脱了。\n这件事暂时就靠你保密了。
4090	map148_6241afdb	0	char_sovy	No, Halin. We must {i}never{/i} tell them the truth.\nTell them The Seeress slipped through our grasp.\nI trust you to keep this silent for the time being.	不，哈林。我们{i}绝不能{/i}告诉他们真相。\n就说先知从我们手中逃脱了。\n这件事暂时就靠你保密了。
4091	map148_c5a6f2c1	0	char_halin	You want me to {i}lie{/i} for you, now?	你现在是要我替你说{i}谎{/i}？
4092	map148_6062a335	0	char_sovy	It's for the best. Just trust me.\nI would do the same for you, Halin.\nTogether, we will acquire {i}any{/i} lost honor.	这是最好的办法。相信我。\n换作是你，我也会这么做，哈林。\n我们会一起把失去的荣誉{i}全部{/i}夺回来。
4093	map148_eae5f633	0	char_halin	Fine. But next time, I'll watch you.\nIf you can't finish the job — then I {i}will{/i}.\nThere's no place for hesitation in a time of war.	行。但下一次，我会盯着你。\n如果你下不了手——那就由我{i}来{/i}。\n战时容不得半点犹豫。
4094	map148_434c44e3	0		Sovy nods, and Halin walks away.{w}\nThis leaves Sovy alone with Shane.	索维点点头，哈林转身离开。{w}\n码头上只剩下索维和肖恩。
4095	map148_80603c48	0	char_sovy	So, how are you feeling?	那么，你感觉怎么样？
4096	map148_7bc71695	0	char_shane	I'm fine. 	我没事。
4097	map148_8ef98739	0	char_sovy	You look conflicted.	你看起来心里很矛盾。
4098	map148_ed1369b6	0	char_shane	I said I'm fine.	我说了我没事。
4099	map148_216dcba5	0	char_sovy	Look. You killed Damek, Shane.\nI can understand what you're going through.	听着。你杀了达梅克，肖恩。\n我能理解你正在经历什么。
4100	map148_b1deac01	0	char_shane	Oh, can you?	哦，是吗？
4101	map148_856ea7d9	0	char_sovy	Yeah. I did the same thing in the past.\nBefore I joined The Triumvirate, I killed them all.\nLiars and cheaters deserve no less of a punishment.	是啊。我过去也做过同样的事。\n在加入三人执政团之前，我把他们全杀了。\n骗子和小人不配得到更轻的惩罚。
4102	map148_4e2cf325	0	char_shane	He looked so sad, though...\nLike — how do I know what you said was true?\nA face can say a lot more than words ever can.	可他看起来那么悲伤……\n就像——我怎么知道你说的是真的？\n一张脸上的表情，能说的话远比言语更多。
4103	map148_3ecb56a6	0	char_sovy	He was sad because he got caught, Shane.\nHe thought you were dead, so he didn't expect it.\nYou \"rose from the grave\" to deliver your vengeance.	他悲伤是因为他被抓住了，肖恩。\n他以为你已经死了，所以毫无防备。\n你“从坟墓里爬出来”来实施你的复仇。
4104	map148_135e544e	0	char_sovy	That is an opportunity he shall never have.\nHe didn't hesitate to send you to your death, remember?\nThere's no reason to give him a courtesy he never gave {i}you{/i}.	那是他永远得不到的机会。\n他毫不犹豫地把你送去送死，记得吗？\n没必要给他一份他从未给过{i}你{/i}的体面。
4105	map148_c69b6f26	0	char_sovy	Offering that olive branch is a good way to get yourself killed.\nThere's no going back now, Shane. You're one of us.\nAfter what you did, you're their enemy. For good.	递出那根橄榄枝，只会让你送命。\n现在没有回头路了，肖恩。你是我们的人了。\n在你做了那些事之后，你就是他们的敌人。永远都是。
4106	map148_18723648	0	char_shane	Hmm...?	嗯……？
4107	map148_fc5636bf	0	char_sovy	Yes, but you are no longer an enemy of The Triumvirate.\nThey will sing your praise, and give you your every desire.\nThe victory of our battle was all thanks to you, Shane.	没错，但你不再是三人执政团的敌人了。\n他们会歌颂你，满足你的每一个愿望。\n我们这场战斗的胜利，全靠你，肖恩。
4108	map148_b010ae57	0	char_shane	I'm not sure how to feel...	我不知道该怎么想……
4109	map148_38c11f45	0	char_sovy	Sometimes you need to act, rather than react.\nPush those feelings aside, and focus on survival.\nThere are many rebels who will seek you out for revenge.	有时候你需要主动行动，而不是被动反应。\n把那些感受抛到一边，专注于活下去。\n会有很多反抗军的人来找你报仇。
4110	map148_a5b47f66	0	char_sovy	And I expect you to show all of them the {i}same{/i} treatment.\nWelcome to The Inquisition, Shane. The {i}right{/i} side of history.	我希望你对他们所有人{i}一视同仁{/i}。\n欢迎加入审判庭，肖恩。站在历史{i}正确{/i}的一边。
4111	map241_0e59336e	0		Sovy leads me to a boat, and takes me on a short voyage.{w}\nI have no idea where we're going, and our destination surprises me.{w}\nIt's not a place I've seen on any map, and looks unlike anything I've seen before.	索维带我上了船，走了一段短短的航程。{w}\n我完全不知道我们要去哪里，而目的地让我大吃一惊。{w}\n那是个我从未在任何地图上见过的地方，看起来也跟我以往见过的一切都不同。
4112	map241_2fde8ea1	0		I follow behind him, unsure of where we'll even end up.{w}\nAfter a while, he turns to face me. I ask him for an explanation.{w}\nI trusted him enough to follow him here, but I had my limits.	我跟在他身后，连我们会到哪儿都心里没底。{w}\n过了一会儿，他转过身来面向我。我向他讨个说法。{w}\n我信任他，才跟到了这里，但我的信任也有限度。
