# dialogue chunk 0017  entries 6401-6800 of 10370
# seq	block	idx	speaker	source	target
6401	map179_8587002e	0	char_jit_map179_1_0_210	And an honorable one, at that.\nHe deserves to be treated with respect.	而且还是个可敬的人。\n他值得受人尊重。
6426	map179_c170d853	0	char_jit_map179_1_0_78	I had Drakeor stay at the docks to watch the new arrivals.\nIf he found a group that looked strong enough, he'd tell me.\nYou fit the bill, better than anyone else, so he spied on you.	我让德雷克守在码头，留意新来的人。\n要是他发现一支看起来够强的队伍，就会告诉我。\n你们比谁都符合条件，所以他盯上了你们。
6427	map179_4182b7b8	0	char_jit_map179_1_0_78	He heard your group talking about a Rebellion, and a big army.\nThat's when I knew we hit the jackpot. Our new target was clear.\nBut to know you came here just for me? That's pretty flattering.	他听到你们这群人在谈论反抗军，还有一支庞大的军队。\n那时我就知道，我们中大奖了。新目标已经明确。\n不过，知道你们是专程为我而来？这还真让人受宠若惊。
6428	map179_8b801e9a	0	char_jit_map179_1_0_78	If you help me take down Draycu in the coliseum, I'll help {i}you{/i}.\nI can offer a few hundred men, and maybe more from my throne.\nWho knows how many people I can rally up if I take over this nation.	如果你们帮我在竞技场上扳倒德雷库，我就会帮{i}你们{/i}。\n我能提供几百人，等我登上王位，也许还能更多。\n要是我接管了这个国家，谁知道我能召集起多少人。
6429	map179_90233d36	0	char_ulric	But you don't just care about power, right?\nYou plan to change this nation for the better.	但你并不只在乎权力，对吧？\n你打算让这个国家变得更好。
6430	map179_b6fbbe79	0	char_jit_map179_1_0_78	Yes. I plan to model ourselves like the mainland.\nElections, voters, stuff like that. No more “tournaments”.\nWe've lost too many amazing people to barbaric, outdated laws.	没错。我打算让我们效仿大陆。\n选举、投票，诸如此类。再也不搞什么“锦标赛”。\n那些野蛮过时的律法，已经让我们失去太多优秀的人了。
6431	map179_8924a874	0	char_ulric	Vivien, I'll be honest with you here. I want to support you.\nBut the final choice rests with [firstname], after the ball.\nWe need to talk with Draycu first, and weigh out our options.	薇薇安，我就跟你直说了。我想支持你。\n但最终的决定权在[firstname]手上，要等舞会之后。\n我们得先跟德雷库谈谈，权衡一下选择。
6432	map179_00e437a3	0	char_jit_map179_1_0_78	Understandable. But be warned, that's when I'm making my move.\nIf he accepts my challenge, we'll be fighting in the morning.\nYou better hurry. That ball is known for huge lines.	可以理解。但提醒你，那时候我就要动手了。\n要是他接受我的挑战，我们明早就得开打。\n你们最好快点。那场舞会可是出了名的大排长龙。
6433	map179_9fd9a07a	0		Ulric looks over at Pro, and they nod to each other.	乌尔里克望向普洛，两人互相点了点头。
6434	map179_fed2c18f	0	char_ulric	[firstname], I need to tell you something.\nThis is my homeland, and I've always wanted to change it.\nI have to fight alongside Vivien, even if you ally with Draycu.	[firstname]，我得跟你说件事。\n这里是我的故乡，我一直想改变它。\n就算你与德雷库结盟，我也必须和薇薇安并肩作战。
6435	map179_a66ef11b	0	char_ulric	And if Draycu's terms involve destroying Vivien's insurrection...?\nWell, then I think we'll be fighting each other in the coliseum.\nRemember that these are fights to the death. I have no other choice.	那如果德雷库的条件是铲除薇薇安的起义……？\n那我想，我们就要在竞技场上兵戎相见了。\n记住，这是生死决斗。我别无选择。
6436	map179_936dd4c7	0		Fighting Ulric...? There's no way I could do that.	和乌尔里克战斗……？我绝不可能做得到。
6437	map179_31565305	0	char_jit_map179_1_0_78	I'll choose Ulric as my champion, then.	那我就选乌尔里克当我的斗士。
6438	map179_f6b07ba8	0		Champion...?	斗士……？
6439	map179_83d31e67	0	char_jit_map179_1_0_78	Each side gets to choose a champion to fight with them.\nAside from that, they get to choose twenty to thirty fighters.\nEverybody that didn't make the cut for champion, as an example.	每一方都可以选一名斗士与自己并肩作战。\n除此之外，还能挑选二三十名战士。\n比如说，那些没被选为斗士的人。
6440	map179_f016aa25	0	char_jit_map179_1_0_78	This means that myself, Ulric, and my army would fight in the coliseum.\nThe battle ends when either the champion, or the leader, has fallen.\nNow, I know for a fact that Draycu doesn't like to lose his own men.	这意味着，我、乌尔里克，还有我的军队会在竞技场上作战。\n只要斗士或领袖倒下，战斗就结束。\n而我很清楚，德雷库不喜欢折损自己的人。
6441	map179_5ecb6f1e	0	char_jit_map179_1_0_78	So if I challenge him at the ball, after you ask him for his support...?\nI bet he'll make you fight me for it. You know, use {i}your{/i} men instead.\nHe's predictable, but you can use that to your advantage, [firstname].	所以，要是我在舞会上向他发起挑战，就在你向他求援之后……？\n我敢打赌，他会让你们替他出战。你懂的，改用{i}你们{/i}的人。\n他很好预测，而这正是你能利用的优势，[firstname]。
6442	map179_a5436113	0	char_ulric	I hope it doesn't come down to fighting each other.\nBut for the future of this nation, I will do what I must.\nNow let's get to that ball and see what Draycu wants.	我希望事情不要演变成我们互相厮杀。\n但为了这个国家的未来，我会做我必须做的事。\n现在，我们去舞会吧，看看德雷库想要什么。
6443	map179_64cf55db	0	char_jit_map179_1_0_78	He's probably expecting you.\nIf Drakeor scoped you out, I'm betting Westy did, too.\nThat's Draycu's right hand. Just be careful out there.	他多半在等着你们。\n既然德雷克盯上了你们，我猜韦斯蒂也一样。\n那是德雷库的得力助手。出去之后小心点。
6444	map179_761017fa	0	char_jit_map179_1_0_78	I'll be making my move right after he addresses his people.\nMake sure you're there. That happens in the throne room.\nJust, don't make the wrong choice, [firstname]. Go with me.	等他一向民众致辞，我就会动手。\n你们务必到场。那会在王座厅举行。\n只是，别做错选择，[firstname]。站到我这边来。
6445	map179_462b7319	0		He smiles before walking away with Drakeor in tow.{w}\nSo he needed us just as much as we needed him...?{w}\nI guess, in this case, that worked in our favor.	他笑了笑，带着德雷克转身离去。{w}\n所以他需要我们，就像我们需要他一样……？{w}\n我想，这一次，这对我们有利。
6446	map179_a66fe35c	0		I didn't expect Ulric to side with Vivien, though.{w}\nI thought he'd wait for my choice, and fight alongside me.{w}\nTo know we could be enemies in the coliseum? That's terrifying.	不过，我没想到乌尔里克会站到薇薇安那边。{w}\n我以为他会等我的选择，再与我并肩作战。{w}\n一想到我们可能在竞技场上成为敌人？太可怕了。
6447	map179_60c86cd7	0		But it seems like a real possibility with each passing second.{w}\nIt'd make sense for Draycu to use expendable foreigners as his supporting fighters.{w}\nAt the end of the day, it really only mattered who the leader and the champion were.	可每过一秒，这可能性就变得更真切。{w}\n德雷库拿我们这些可有可无的外乡人当辅助战力，也说得通。{w}\n说到底，真正重要的只有领袖和斗士是谁。
6448	map179_c28b87fd	0		Vivien and Ulric...{w}\nDraycu and who...?{w}\nI guess we'd find out.	薇薇安和乌尔里克……{w}\n德雷库和谁……？{w}\n我想，我们很快就会知道。
6449	map179_01f02c23	0		We stay in the tavern for a while before leaving.{w}\nHowever, our next destination was clear. The castle.{w}\nHopefully the line for the ball wasn't horribly long.	我们在酒馆里又待了一阵子才离开。{w}\n不过，下一个目的地很明确。城堡。{w}\n但愿舞会门口的队伍别排得太离谱。
6450	click_map180_6_EV006_e7b93957	0		Cannot access content at this time.\nIf there is an X, you must complete preceding Heart-to-Hearts.\nIf there is a checkmark, you must move on to the next Heart-to-Heart.	目前无法访问此内容。\n若显示叉号，你必须先完成前置的心灵对话。\n若显示对勾，你必须前往下一个心灵对话。
6451	click_map180_9_EV009_cf145c57	0		It's odd — no matter where I go, taverns are all the same.{w}\nThere was Peregrino, the tavern in Mazeo, and now this.{w}\nI guess no matter where you are, some things never change.	真奇怪——不管我走到哪儿，酒馆都是一个样。{w}\n有佩雷格里诺，马泽奥的那家酒馆，现在又到了这里。{w}\n我想，不管你身在何处，有些东西永远不会变。
6452	click_map180_10_EV010_d997ae70	0		There are paintings here. I'm not sure who they're supposed to be.{w}\nOn closer inspection, one of them looks like Ulric — the legendary one.{w}\nDoes Draycu not care that paintings of his enemies are out in the open?	这里有画。我说不准画的是谁。{w}\n仔细一看，其中一幅长得像乌尔里克——传说里的那个乌尔里克。{w}\n德雷库就不介意自己敌人的画像公然挂在这里吗？
6453	click_map180_11_EV011_1962f320	0		The tavern is open, and I can see back outside.{w}\nBeing connected to the marketplace is a genius idea.{w}\nPeople enter and leave like it's a normal part of their day.	酒馆敞开着，我能看到外面的景象。{w}\n和集市连在一起，这主意真是绝了。{w}\n人们进进出出，就像这是日常生活的一部分。
6454	click_map180_62_EV062_b2ea6c60	0	char_valessa	So we might have to fight Ulric?\nThat's pretty scary to think about, Pro.	所以我们可能会和乌尔里克战斗？\n光是想想就挺吓人的，普洛。
6455	click_map180_62_EV062_e330b2ec	0	char_pro	Only if [firstname] sides with Draycu, Valessa.\nThere's still a pretty good chance that won't happen.\nI wonder who Draycu will elect as his champion, though.	只有[firstname]站到德雷库那边才会这样，瓦莱莎。\n那件事不发生的可能性还挺大的。\n不过，我很好奇德雷库会选谁当斗士。
6456	click_map180_62_EV062_d355bdbd	0	char_valessa	Well his army is supposed to be incredibly powerful.\nHe must get to hand pick the strongest Alarinthians.\nI'm sure Ulric can handle it, though. At least, I hope.	他的军队据说强得离谱。\n他肯定能亲自挑选最强的阿拉林西亚人。\n不过我相信乌尔里克应付得来。至少，我希望如此。
6457	click_map180_62_EV062_3994f4ee	0	char_pro	Well, Draycu doesn't like to waste his men, remember?\nIt's possible he'll elect an outsider, meaning one of {i}us{/i}.\nVivien is like an insect to him — super easy to crush.	这个嘛，德雷库不喜欢浪费自己的手下，记得吗？\n他有可能选一个外人，也就是{i}我们{/i}中的一员。\n薇薇安对他来说就像只虫子——轻易就能捏碎。
6458	click_map180_62_EV062_84077b40	0	char_valessa	So we'll be fighting each other in the end...?\nIsn't this supposed to be a fight to the death?	所以到最后，我们会自相残杀……？\n这不应该是场生死决斗吗？
6459	click_map180_62_EV062_68773531	0	char_pro	Exciting, isn't it?	很刺激，对吧？
6460	click_map180_62_EV062_806d630e	0	char_valessa	No, it's not! That means one of us will die!	不，一点也不！那意味着我们中有一个人会死！
6461	click_map180_62_EV062_3776abd5	0	char_pro	Not exactly...	未必……
6462	click_map180_62_EV062_b09c9972	0	char_valessa	Huh?	嗯？
6463	click_map180_62_EV062_ce9baf9b	0	char_pro	The match ends if the champion, {i}or{/i} the leader falls.\nIt'd be possible to end this with Vivien or Draycu's death.\nThe Champion is just there to spice things up, I guess.	只要斗士{i}或{/i}领袖倒下，比试就结束。\n所以也可能以薇薇安或德雷库的死来收场。\n我猜，斗士的存在只是为了让场面更刺激。
6464	click_map180_62_EV062_6e54fce9	0	char_pro	If it were just the two leaders, they'd only fight each other.\nHaving two champions ensures the fight constantly changes pace.\nIt makes things sound more interesting, at least. You need {i}strategy{/i}.	要是只有两位领袖，他们就只会互相厮杀。\n有两名斗士在，战斗的节奏才能不断变化。\n至少听起来更有意思。你需要{i}策略{/i}。
6465	click_map180_62_EV062_16d69e97	0	char_pro	Watching two leaders in an unending deadlock would be boring.\nThe Champions and a small army of men really shake it up.\nIt makes sure the leaders are at the top of their game, too.	看着两位领袖陷入无休止的僵局会很无聊。\n斗士和一支小规模的军队确实能搅动局面。\n也确保领袖们始终处于最佳状态。
6466	click_map180_62_EV062_17b718bc	0	char_pro	They have to watch {i}every{/i} direction; and constantly be ready.\nIt serves to show us how strong they {i}truly{/i} are. It's crazy.\nDraycu is undefeated, but Ulric might just stand a chance.	他们得提防{i}每一个{/i}方向，还得时刻保持戒备。\n这也正好向人们展示他们{i}究竟{/i}有多强。太疯狂了。\n德雷库从未败过，但乌尔里克或许还真有一拼之力。
6467	click_map180_62_EV062_21f747a9	0	char_valessa	I think you're kind of missing my point, Pro...	我觉得你有点没抓住我的重点，普洛……
6468	click_map180_62_EV062_2f5a7d1f	0	char_pro	Really?	是吗？
6469	click_map180_62_EV062_81d9f574	0	char_valessa	I don't think of Vivien and Draycu as expendable.\nAt the end of the day, one of us will die no matter what.\nEven if it's one of them, it's still something I'd like to avoid.	我不觉得薇薇安和德雷库是可以牺牲的。\n说到底，无论如何我们中都会有人死去。\n就算死的是他们中的一个，我也还是想尽量避免。
6470	click_map180_62_EV062_8ef13a20	0	char_pro	Then it sounds like you side with Vivien, then.\nDraycu's death would be the final death in the coliseum.\nThere'd be no more fights like this under his reign.	那听起来你是站在薇薇安这边了。\n德雷库的死会是竞技场的最后一场死亡。\n在他的统治下，再也不会有这样的决斗。
6471	click_map180_62_EV062_5314c5e4	0	char_valessa	I know you're right, but it's not so easy.\nWe have to kill him just because he thinks differently?\nThere's no way to avoid casualties — and I hate that.	我知道你说得对，但事情没那么简单。\n就因为他想法不同，我们就得杀了他？\n伤亡根本无法避免——我讨厌这一点。
6472	click_map180_62_EV062_fc383ea7	0	char_pro	Yeah, but it's not just Alarinthia, Valessa.\nYou could say that about this entire war in general.\nSometimes it's better to look at people as \"means to an end\".	是啊，但不只是阿拉林西亚，瓦莱莎。\n整场战争，你都可以这么说。\n有时候，把人当成“达成目的的手段”反而更好。
6473	click_map180_62_EV062_6ebf3de4	0	char_valessa	I could never do that...	我永远做不到……
6474	click_map180_62_EV062_3cd0e3ea	0	char_pro	A lot of people feel the same way, trust me.\nBut that's probably why The Triumvirate is in charge.\nWe need to start looking at things differently if we want to win.	很多人都有同感，相信我。\n但也许正因如此，掌权的才是三人执政团。\n想赢，我们就得换个角度看事情。
6475	click_map180_62_EV062_b64c5401	0	char_valessa	If we have to compromise ourselves, then is it truly winning...?\nI don't know, Pro. I think I need a little bit of time to myself.	如果我们必须出卖自己，那还能算赢吗……？\n我不知道，普洛。我想我需要一点独处的时间。
6476	click_map180_62_EV062_163ea59c	0	char_pro	Of course.	当然。
6477	click_map180_63_EV063_3813f43e	0	char_fortaime	I don't want to watch Ulric fight in the coliseum...\nIf [firstname] sides with Draycu, then he could die.	我不想看乌尔里克在竞技场里战斗……\n如果[firstname]站到德雷库那边，他可能会死。
6478	click_map180_63_EV063_e025285a	0	char_damek	But he's prepared to die for his beliefs, Fortaime.\nThere isn't a better way to go. A true, noble end.	但他已经准备好为自己的信念赴死了，福泰姆。\n没有比这更好的死法了。一个真正高尚的结局。
6479	click_map180_63_EV063_66c5c631	0	char_fortaime	Honestly, I'd prefer if his life had no end at all.\nI have a feeling this choice will end up dividing us.\nI don't want to fight against Ulric, or watch him die.	老实说，我宁愿他的生命永远没有终点。\n我有种预感，这个选择最终会让我们分崩离析。\n我不想与乌尔里克为敌，也不想看着他死去。
6480	click_map180_63_EV063_b5192e4d	0	char_damek	It's all about respecting his wishes, Fortaime.\nIf he puts his life on the line for Alarinthia, we can't deny that.\nYou'd do the same for Valinorth. In fact, you already are.	关键是尊重他的意愿，福泰姆。\n如果他愿意为阿拉林西亚赌上性命，我们无法阻拦。\n换成瓦利诺斯，你也会这么做。事实上，你已经在这么做了。
6481	click_map180_63_EV063_014a53ec	0	char_fortaime	Really...?	真的吗……？
6482	click_map180_63_EV063_911e794b	0	char_damek	This war is just battle after battle, Fortaime.\nYou put your life on the line back at the Rebel HQ.\nThat means you were ready to die for your beliefs.	这场战争就是一场接一场的战斗，福泰姆。\n在反抗军总部，你当时也赌上了自己的性命。\n那说明你早已准备好为信念而死。
6483	click_map180_63_EV063_56cb2f86	0	char_fortaime	I guess you're right, when you put it that way.	这么说来，你大概是对的。
6484	click_map180_63_EV063_d3fd1c33	0	char_damek	So Ulric isn't just fighting for Alarinthia.\nRemember that our army gets a boost out of this.\nAt the end of the day, it benefits all of Alestia.	所以乌尔里克不只是在为阿拉林西亚而战。\n记住，我们的军队也会因此壮大。\n说到底，这对整个阿莱斯蒂亚都有好处。
6485	click_map180_63_EV063_54385d0e	0	char_fortaime	But what if the person we side with loses...?	但要是我们支持的人输了呢……？
6486	click_map180_63_EV063_357ab4c0	0	char_damek	That's what makes things difficult, Fortaime.\nVivien is the right choice, in my opinion, but not the correct one.\nThe correct choice is Draycu. He's won every battle, and has a huge army.	这才让事情变得棘手，福泰姆。\n在我看来，薇薇安是正确的选择，却不是明智的选择。\n明智的选择是德雷库。他每战必胜，还拥有一支庞大的军队。
6487	click_map180_63_EV063_cc7926ba	0	char_fortaime	This is pretty complicated...\nSo far, every choice was concrete.\nThere was no room to choose, and then lose.	这还挺复杂的……\n到目前为止，每个选择都是确定的。\n根本没有选了之后还会输的余地。
6488	click_map180_63_EV063_f8a71b5d	0	char_damek	Alarinthia is different than everything we know.\nI guess it makes sense that things would change once we arrived.\n[firstname] has a tough choice to make. It's a gamble, at best.	阿拉林西亚和我们所知的一切都不同。\n我想，我们一来，情况就变了，这也说得通。\n[firstname]要做个艰难的抉择。往好了说，这也就是一场赌博。
6489	click_map180_63_EV063_ddae898d	0	char_fortaime	It shouldn't have to be that way, though...\nThe future of a nation, and our world, is a gamble...?\nThat's bad news. Vivien has the right idea here, for sure.	但本不该是这样的……\n一个国家、乃至我们整个世界的未来，竟然要靠赌……？\n这可不是好消息。在这件事上，薇薇安的想法肯定是对的。
6490	click_map180_63_EV063_4f1bf189	0	char_damek	You mean abolishing coliseum battles?	你是说废除竞技场的决斗？
6491	click_map180_63_EV063_94b87ae8	0	char_fortaime	Yeah. Things should be just like the rest of Alestia.\nIf they were, then we wouldn't even be in this situation.	没错。这里本该和阿莱斯蒂亚其他地方一样。\n要是那样，我们根本不会落到这般境地。
6492	click_map180_63_EV063_6ff35cf7	0	char_damek	But we shouldn't change something just because we don't like it.\nThat's what The Triumvirate did to this whole world. We can't be like them.\nAlarinthia has been fine since the dawn of time, it can continue to be fine.	但我们不该仅仅因为不喜欢就去改变什么。\n三人执政团对整个世界就是这么干的。我们不能和他们一样。\n阿拉林西亚自古至今一直好好的，以后也能继续好好的。
6493	click_map180_63_EV063_dd7827fa	0	char_damek	Besides, Valinorth is the exact same way.\nIndependent, with its own hierarchy, and leadership.	再说，瓦利诺斯也正是如此。\n独立自主，有自己的阶层体系和领袖。
6494	click_map180_63_EV063_482270a4	0	char_fortaime	It was, but I'm going to change that.\nAs the Elder, I want unity with the other nations.\nI think the same would be best for Alarinthia.	曾经是如此，但我要改变它。\n作为长老，我希望与其他国家团结一致。\n我觉得阿拉林西亚最好也这么做。
6495	click_map180_63_EV063_ec903247	0	char_fortaime	The Triumvirate changed this world to suit {i}them{/i}, right?\nThat's not what we're doing. We're liberating it, making it better.\nOur end goal is different, so I don't think we can be compared to them.	三人执政团是为了{i}他们自己{/i}而改变这个世界，对吧？\n我们不一样。我们是在解放它，让它变得更好。\n我们的最终目标不同，所以我觉得不能把我们和他们相提并论。
6496	click_map180_63_EV063_9b184f25	0	char_fortaime	Well, Valessa plans to keep it that way, yeah.\nBut honestly, I want unity with the other nations.\nI think the same would be best for Alarinthia.	嗯，瓦莱莎打算保持原样，没错。\n但说实话，我希望与其他国家团结一致。\n我觉得阿拉林西亚最好也这么做。
6497	click_map180_63_EV063_6f588c81	0	char_fortaime	The Triumvirate changed this world to suit {i}them{/i}, right?\nThat's not what we're doing. We're liberating it, making it better.\nOur end goal is different, so I don't think we can be compared to them.	三人执政团是为了{i}他们自己{/i}而改变这个世界，对吧？\n我们不一样。我们是在解放它，让它变得更好。\n我们的最终目标不同，所以我觉得不能把我们和他们相提并论。
6498	click_map180_63_EV063_8d95f76a	0	char_damek	You have a point, actually. Maybe I've got the wrong idea.\nA flipped coin does the same thing until it lands, after all.\nThe truth is only shown after everything is said and done.	其实，你说得有道理。也许是我想法不对。\n毕竟，抛出的硬币在落地之前，看起来都一样。\n真相只有在尘埃落定之后才会显现。
6499	click_map180_63_EV063_38896f8e	0	char_fortaime	Exactly!	就是这样！
6500	click_map180_63_EV063_696eecb5	0	char_damek	In that case, maybe I do side with Vivien.\nWith Ulric's strength, he may stand a chance.\nI hope [firstname] is on the same page as us.	那样的话，也许我确实该站在薇薇安这边。\n有乌尔里克的实力，他或许还有机会。\n我希望[firstname]和我们想法一致。
6501	click_map180_63_EV063_7258671d	0	char_fortaime	I guess we'll find out once we get to the ball.\nBut I wonder if Draycu will request our aid...?\nAnd for that matter, who will his Champion be?	我想等我们到了舞会就知道了。\n不过，我很好奇德雷库会不会请求我们相助……？\n还有，他的斗士会是谁？
6502	click_map180_63_EV063_5367a508	0	char_fortaime	Gosh, I hope things don't get even {i}more{/i} complicated.\nI'm not sure I could handle a web more tangled than this.	天哪，我希望事情别再变得{i}更{/i}复杂了。\n再乱成一团的话，我不确定自己应付得来。
6503	click_map180_63_EV063_1be0a476	0	char_damek	Oh come on, what's the worst that could happen...?	哎呀，别这样，还能糟到哪儿去……？
6504	map204_d0debf24	0		Sovy knelt before his masters, with Halin and Shane behind him.{w}\nThe time had finally come to tell them what happened in Mazeo.{w}\nHaving Halin's support, however, meant they wouldn't learn the full truth.	索维跪在他的主人们面前，哈林和肖恩站在他身后。{w}\n终于到了该向他们禀报马泽奥之事的时刻。{w}\n然而，有哈林站在他这边，就意味着他们无法得知全部真相。
6505	map204_4ccf10ac	0	char_the_triumvirate	The General of The Rebellion has fallen...?\nGood work, Shane. You've earned our trust.\nWe had a feeling you'd prove yourself useful.	反抗军的那位将军倒下了……？\n干得好，肖恩。你赢得了我们的信任。\n我们早就觉得，你会证明自己的价值。
6506	map204_b516ab12	0	char_the_triumvirate	But what of The Seer...?\nWe notice that you don't have our blade.\nThis displeases us. Please explain, Sovy.	那先知呢……？\n我们注意到，你没有带我们的刀回来。\n这让我们很不快。解释一下，索维。
6507	map204_8553338c	0	char_the_triumvirate	But what of The Seeress...?\nWe notice that you don't have our blade.\nThis displeases us. Please explain, Sovy.	那先知呢……？\n我们注意到，你没有带我们的刀回来。\n这让我们很不快。解释一下，索维。
6508	map204_abcff6d7	0	char_sovy	We thought it better to damage their morale.\nThey have the blade, but they can never recover.\nNext time we see them, it'll be like crushing an insect.	我们认为，打击他们的士气更为妥当。\n刀在他们手上，但他们永远无法恢复元气。\n下次再见，捏死他们就像捏死一只虫子。
6509	map204_41fa2aa6	0	char_the_triumvirate	You failed your mission, Sovy.\nWe wanted you to retrieve that blade.\nNow they have time to regroup, and replan.	你的任务失败了，索维。\n我们要你把那把刀夺回来。\n现在他们有时间重整旗鼓、重新谋划了。
6510	map204_1f47411b	0	char_sovy	Yes, they have time — but not enough.\nI know where they'll be going, Masters.\nWith your permission, I'll go and {i}end{/i} this.	是的，他们是有时间——但不够多。\n我知道他们会去哪里，主人们。\n只要你们准许，我就去{i}终结{/i}这一切。
6511	map204_2e361fe8	0	char_the_triumvirate	End what should already be over...?\nSovy, do you realize what you've done?\nThere's a {i}reason{/i} we needed that blade.	终结一件本该早已了结的事……？\n索维，你意识到自己做了什么吗？\n我们需要那把刀，是有{i}原因{/i}的。
6512	map204_ac5dc872	0	char_the_triumvirate	But you failed to retrieve it, {i}and{/i} let The Seer get away.\nAny silver lining you can come up with is simply not enough.\nDamek's death will only fuel them with rage to use against us.	可你没能夺回它，{i}还{/i}放走了先知。\n你能找出的任何一丝转机都远远不够。\n达梅克的死只会激起他们的怒火，用来对付我们。
