# dialogue chunk 0025  entries 9601-10000 of 10370
# seq	block	idx	speaker	source	target
9601	map032_44b11983	0	char_fortaime	You know what that means, right?\nAs soon as we get there — I'm buying apples.	你知道那意味着什么吧？\n我们一到那儿——我就要去买苹果。
9612	map032_3c7dc0a5	0		Without hesitation, the door swings open a few moments later.{w}\nValessa and Fortaime enter, displaying a level of energy that makes me envious.{w}\nIt must be time to leave. As soon as we walked out that door, our journey would begin.	片刻之后，门毫不犹豫地被推开了。{w}\n瓦莱莎和福泰姆走了进来，那股活力让我有些羡慕。{w}\n该出发了。只要走出那扇门，我们的旅程就开始了。
9613	map032_82152a0d	0		I say nothing, but I know for a fact that this will not dissuade whoever's there.{w}\nThere is hesitance however, and I hear multiple voices coming from the other side.{w}\nEventually, they subside, and soon after, the door to my room opens.	我什么也没说，但我很清楚这吓不退门外的人。{w}\n不过门外的人犹豫了，我听到好几个声音。{w}\n最后他们安静下来，没过多久，我房间的门就开了。
9614	map032_87b1e527	0	char_valessa	Hey, [firstname]! Good morning!\nWe all slept in a bit late, so we're skipping breakfast.\nUlric's orders, so there's no point in fighting it, right?	嘿，[firstname]！早上好！\n我们都睡过头了一点，所以不吃早饭了。\n乌尔里克的命令，反抗也没用，对吧？
9615	map032_87b1e527_1	0	char_valessa	Hey, [firstname]! Good morning!\nWe all slept in a bit late, so we're skipping breakfast.\nUlric's orders, so there's no point in fighting it, right?	嘿，[firstname]！早上好！\n我们都睡过头了一点，所以不吃早饭了。\n乌尔里克的命令，反抗也没用，对吧？
9616	map032_808591a1	0	char_fortaime	Yeah, but our next stop is Mazeo!\nAs soon as we get there, I'll buy us all apples.\nMan, it's been {i}way{/i} too long since I've had those!	是啊，但我们的下一站是马泽奥！\n一到那儿，我就给大家买苹果。\n天哪，我{i}真的{/i}太久没吃过那种苹果了！
9617	map032_47d2a237	0	char_valessa	A one track mind, as usual.\nBut to be honest, it does sound tasty.\nHopefully they aren't too expensive.	还是老样子，满脑子就一件事。\n不过说实话，听起来确实好吃。\n希望别太贵。
9618	map032_9f069cb5	0	char_valessa	So, are you ready to go?\nUlric and Pro are waiting out front.\nI guess The Outlook is pretty close to Peregrino.	那么，你准备好出发了吗？\n乌尔里克和普洛在外面等着。\n我想瞭望台离佩雷格里诺挺近的。
9619	map032_17dfe01a	0	char_fortaime	I'm good. \nUnless there's something else we need to do?	我准备好了。\n除非还有别的事要做？
9620	map032_5871d245	0		They both look at me. I guess it's my choice.{w}\nIt might be a good chance to get some private time with my friends.{w}\nBut Ulric and Pro could get impatient if we waste time chatting in Peregrino.	他们俩都看着我。看来决定权在我。{w}\n这也许是个和朋友私下相处的好机会。{w}\n但要是我们在佩雷格里诺闲聊浪费时间，乌尔里克和普洛可能会不耐烦。
9621	map032_257e69a1	0		Either way, I know {i}one{/i} thing for certain. I shouldn't tell them what happened.{w}\nThe Triumvirate taking me to their chambers, and personally? Would they even believe me?{w}\nI should let it process for a bit longer, and see if it happens again before telling anybody.	不管怎样，有{i}一件事{/i}我十分确定。我不该告诉他们发生了什么。{w}\n三人执政团亲自把我带到他们的内室？他们会相信我吗？{w}\n我应该再消化一阵子，看看会不会再发生，然后再告诉别人。
9622	map032_3784a6f0	0		I pause, and they await my next move.	我停顿了一下，他们等着我的下一步。
9623	click_map017_4_EV004_0a414de9	0		Cannot access content at this time.	此时无法访问内容。
9624	click_map017_7_EV007_0a414de9	0		Cannot access content at this time.	此时无法访问内容。
9625	map034_f63558a6	0		Sovy looked at the sea, taking in every detail of the near-infinite expanse.{w}\nStill processing the earlier revelations, he gritted his teeth, annoyed.{w}\nWhy did The Triumvirate wait so long to tell him these secrets?	索维望着大海，将这片近乎无垠的广阔尽收眼底。{w}\n还在消化先前的那些真相，他恼怒地咬紧了牙关。{w}\n三人执政团为什么等了这么久才把这些秘密告诉他？
9626	map034_d5531ac7	0	char_halin	Master, are you okay?	师父，您还好吗？
9627	map034_21eff074	0	char_sovy	Of course.	当然。
9628	map034_316aa2b3	0	char_halin	There it is again — that dismissive tone.\nI can tell when something is wrong, you know.\nThere's no need to lie. I'm your {i}Apprentice{/i}.	又来了——又是那种敷衍的语气。\n你知道的，有事瞒不过我。\n没必要撒谎。我是您的{i}学徒{/i}。
9629	map034_3776656b	0	char_sovy	It's nothing, Halin.	没什么，哈林。
9630	map034_f7e84229	0	char_halin	I think it has to do with what happened earlier.\nThe Triumvirate told you something, didn't they?\nYou're not taking it well. I could tell the entire time.	我想这和之前发生的事有关。\n三人执政团跟你说了什么，对吧？\n你接受不了。我全程都看得出来。
9631	map034_057f277b	0	char_sovy	Very perceptive. Leave me alone.	挺敏锐的。别烦我。
9632	map034_b7baedaa	0	char_halin	Sovy, you're acting like a child.	索维，你表现得像个孩子。
9633	map034_027fefe7	0		He lets out a deep sigh, as his Apprentice hounds him for information.{w}\nIt was true, but Sovy didn't want to admit it. He was too prideful.	学徒追问个不停，他深深叹了口气。{w}\n这是事实，可索维不想承认。他太骄傲了。
9634	map034_aaa06f02	0	char_halin	Please tell me. I want to help you, Sovy.\nI stand by your side, no matter what.	请告诉我吧。我想帮你，索维。\n无论发生什么，我都站在你这边。
9635	map034_c9a43952	0	char_sovy	Are you sure about that, Halin?	你确定吗，哈林？
9636	map034_5e36f93f	0	char_halin	Of course.\nYou don't have to tell me what they said, Sovy.\nBut at least tell me what you're {i}feeling{/i}.	当然。\n你不必告诉我他们说了什么，索维。\n但至少告诉我你的{i}感受{/i}。
9637	map034_857946e3	0		Sovy took note of Halin's sudden empathy.{w}\nIt was abnormal, and somewhat unwelcome.{w}\nWhat had changed in the last few hours?	索维注意到哈林突然表现出的共情。{w}\n这很不寻常，甚至有点不受欢迎。{w}\n过去几个小时里，是什么变了？
9638	map034_52cb4651	0	char_sovy	They told me something I wasn't ready to hear.\nI'm sorry I forgot about you, and I'm sorry for being cross.\nMy thoughts are muddled, Halin — and I'm confused.	他们告诉了我一些我还没准备好接受的事。\n抱歉我忽略了你，也抱歉我态度不好。\n我的思绪很乱，哈林——我很困惑。
9639	map034_37877ae1	0	char_halin	How do you plan to deal with that?	你打算怎么应对？
9640	map034_befacfd9	0	char_sovy	For the first time in a while, I don't know.\nMy purpose was always clear — my resolve, unwavering.\nI'm starting to feel like my previous Master, before my promotion.	这么久以来，我第一次不知道。\n我的信念一向明确——我的决心从未动摇。\n我开始觉得，自己像极了晋升前的那位师父。
9641	map034_56f4e984	0	char_halin	You never did tell me what happened to him.	你从没告诉过我他后来怎么了。
9642	map034_b7fc989f	0	char_sovy	No, I didn't.	是没有。
9643	map034_9d78b5cd	0	char_halin	Very well.\nAt least tell me about this \"purpose\" of yours.\nI fight to ensure the reign of The Triumvirate — our Gods.	好吧。\n那至少跟我讲讲你的那个“信念”。\n我战斗，是为了确保三人执政团——我们的神——的统治。
9644	map034_3396bc35	0	char_sovy	A very clear purpose, and noble to some.\nFor me, things have always been a bit different.\nI fight to ensure the reign of Alestia's true rulers.	一个非常明确的信念，对某些人来说也很高尚。\n但对我来说，情况一直有些不同。\n我战斗，是为了确保阿莱斯蒂亚真正统治者的统治。
9645	map034_162803f6	0	char_halin	Then what's the issue, Master?\nIt would seem that we share the same purpose.	那问题出在哪儿，师父？\n看起来我们的信念是一样的。
9646	map034_f42b3117	0		Sovy sighed again, and slumped his shoulders slightly.{w}\nUntil now, everything had been an act to intimidate Shane.{w}\nHalin could tell that Sovy was displaying his true emotions.	索维又叹了口气，肩膀微微垮了下来。{w}\n在此之前，他所做的一切都是为了震慑肖恩而演的戏。{w}\n哈林看得出来，索维流露的是真实情绪。
9647	map034_aefe2940	0	char_sovy	Normally, I would agree with you.\nBut now...? Now, I'm not so sure.	通常我会同意你。\n但现在……？现在，我不太确定了。
9648	map044_5d084d72	0		After arranging everything with Damek, Gryz returned to his office.{w}\nHe had a lot to do, working with both The Rebellion and The Triumvirate.{w}\nThough his true allegiance was with the rebels, he had to keep up appearances.{w}\nThat meant trying to strike an allegiance with the most unexpected of factions.	和达梅克安排妥当后，格瑞兹回到了自己的办公室。{w}\n他要做的事很多，既要应付反抗军，又要应付三人执政团。{w}\n虽然他真正效忠的是反抗军，但表面上得装装样子。{w}\n那就意味着，他得设法和一个最意想不到的势力结盟。
9649	map044_612d377c	0	char_jit_map044_1_0_16	No Alex, you have it all wrong.\nI only want you to {i}pretend{/i} that you're helping The Triumvirate.\nWhen the time comes, you'll turn on them and help Damek instead.	不，亚历克斯，你全搞错了。\n我只是要你{i}假装{/i}在帮三人执政团。\n时候一到，你就反戈一击，转而帮达梅克。
9650	map044_534001f7	0	char_jit_map044_1_0_28	You know Nada will never let this happen, right?	你知道娜达绝不会让这种事发生的，对吧？
9651	map044_02d68e3c	0	char_jit_map044_1_0_16	I don't care what she thinks. I'm asking {i}you{/i}.\nI have no doubt in my mind — a battle is coming to Mazeo.\nThe Triumvirate will send their forces here for that new idol.	我不在乎她怎么想。我在问你{i}本人{/i}。\n我毫不怀疑——一场战斗即将降临马泽奥。\n三人执政团会为了那尊新的灵像派兵过来。
9652	map044_79dae0c0	0	char_jit_map044_1_0_16	I don't know what they want with it, but we need to strike immediately.\nYou'll meet them at the docks, and tell them you've been hired to assist.\nAs soon as you get the chance, you'll sabotage the ships, and kill them all.	我不知道他们要那东西做什么，但我们必须立刻动手。\n你去码头接应他们，就说你是被雇来帮忙的。\n一有机会，你就破坏船只，把他们全部杀掉。
9653	map044_a61c53f5	0	char_jit_map044_1_0_16	That is, except for {i}one{/i} ship.\nDamek will need one to launch his attack on Balteus.	当然，除了{i}一艘{/i}船。\n达梅克需要一艘船来对巴尔泰乌斯发动进攻。
9654	map044_15193dde	0	char_jit_map044_1_0_28	Alright, I'll humor you for a moment.\nEven if I play along, and your Rebellion comes to rule Alestia?\nThey'll lift the trade bans, effectively ruining piracy for good.	好吧，我就陪你玩一会儿。\n就算我配合你，你们的反抗军真的统治了阿莱斯蒂亚？\n他们会解除贸易禁令，那等于彻底毁掉海盗这一行。
9655	map044_551f955c	0	char_jit_map044_1_0_28	Why should I fight to kill my own profession?	我为什么要拼命去毁掉自己的营生？
9656	map044_43affd1c	0	char_jit_map044_1_0_16	There are much better things to do in this world, Alex.\nI could pay you with anything you wanted — or any job you wanted.\nJust name it, and I'll make it happen. These are dire times, you know.	这世上比这更好的事多的是，亚历克斯。\n你要什么报酬都行——想要什么差事也行。\n尽管开口，我来办。你知道的，眼下是非常时期。
9657	map044_59c9c743	0	char_jit_map044_1_0_28	I doubt this offer extends to the rest of our crew.\nI'd love a reward, and a new job, but not if it screws them over.\nThey'll be doing the bulk of the fighting. Not me, or Nada.	我怀疑这条件不会惠及我们其他船员。\n报酬和新差事我乐意要，但不能害了他们。\n打仗的主力是他们。不是我，也不是娜达。
9658	map044_c1cbf18d	0	char_jit_map044_1_0_28	That is, if I can even convince them to do this.\nOne of our core tenets is that we don't take sides.	前提还是我能不能说服他们干这事。\n我们不选边站，这是我们的核心信条之一。
9659	map044_29a63856	0	char_jit_map044_1_0_16	Even when the victor is clear?	就算胜者已定？
9660	map044_8069e0a1	0	char_jit_map044_1_0_28	Even so.\nDuring the occupation, we fought for our own survival.\nBoth The Triumvirate {i}and{/i} the citizens of Mazeo attacked us.	即便如此。\n占领期间，我们为自己的生存而战。\n三人执政团{i}和{/i}马泽奥的市民都袭击过我们。
9661	map044_a21caace	0	char_jit_map044_1_0_28	We worked for decades to unite the pirates into what they are today.\nDoing this will split them apart again. You'll make an enemy out of Nada.\nShe's pretty much the leader, and her influence is immeasurable.	我们花了几十年才把海盗们团结成今天这个样子。\n这么做会让他们再次分裂。你会和娜达为敌。\n她基本上就是首领，影响力不可估量。
9662	map044_2b5060cc	0	char_jit_map044_1_0_16	I'm well aware of that, and I've taken it into consideration.\nA divide in your numbers will still give me the right amount of men.\nYou can show the rest of the pirates they're on the wrong side of this.	我很清楚，也已经考虑过了。\n你们的人就算分裂，留给我的兵力也刚刚好。\n你可以让其余的海盗看看，他们站错了边。
9663	map044_0354c7be	0	char_jit_map044_1_0_16	Any divide that comes, I'm sure we can mend it.\nBesides, Damek hasn't {i}said{/i} he's going to harm piracy.\nI'm sure we can come to some sort of deal, Alex.	就算出现分裂，我相信我们也能弥合。\n再说，达梅克并没{i}说过{/i}他要打击海盗。\n我相信我们能谈成某种交易，亚历克斯。
9664	map044_1834515f	0	char_jit_map044_1_0_28	No matter what the deal is, you can't win over {i}everybody{/i}.\nAs soon as The Triumvirate falls, you'll have another war lined up.\nHell — they might even join the white-cloaks out of spite.	不管是什么交易，你都不可能收服{i}所有人{/i}。\n三人执政团一倒，下一场战争就排上日程了。\n见鬼——他们甚至可能出于怨气加入白袍军。
9665	map044_a903c83b	0	char_jit_map044_1_0_16	I'm willing to take the risk.\nBut I'll do my best to make sure they're satisfied.\nThere will be a place for {i}everyone{/i} in our new Alestia.	我愿意冒这个险。\n但我会尽力让他们满意。\n在我们新的阿莱斯蒂亚里，会{i}人人{/i}都有位置。
9666	map044_c4b9d296	0	char_jit_map044_1_0_16	The pirates are in a great position to make demands.\nAs the Mayor of Mazeo, I can give you anything you want.\nThere's no way Nada could turn an offer like that down.	海盗们正处在提条件的好位置。\n作为马泽奥的市长，你要什么我都能给。\n娜达不可能拒绝这样的条件。
9667	map044_bd8f79a2	0	char_jit_map044_1_0_28	Very well. Let's talk terms.	很好。我们来谈条件吧。
9668	map033_e9c0c940	0		Damek ventured back underground from the Church of Mazeo.{w}\nAfter a lengthy journey through the tunnels — he was home.{w}\nThe deed was secured, and they had everything they needed.	达梅克从马泽奥教堂再次潜入地下。{w}\n在隧道里走了漫长的路——他到家了。{w}\n地契到手了，他们需要的一切都齐了。
9669	map033_cf99f034	0	char_damek	Why did the Honor Guard do all of this...?\nThey single-handedly sheltered and armed our forces.	荣誉卫队为什么做了这一切……？\n他们单凭一己之力就为我们的部队提供了庇护和武器。
9670	map033_0b24da95	0		One of the rebels notices Damek's sudden entrance.{w}\nHe quickly stands up, and greets the General with a smile.	一个反抗军成员注意到达梅克突然进来。{w}\n他迅速站起身，笑着迎接将军。
9671	map033_d6b4b914	0	char_jit_map033_1_0_35	Damek, Sir!\nEverything is going according to plan.\nOur forces have started to relocate.	达梅克，长官！\n一切都按计划进行。\n我们的部队已经开始转移。
9672	map033_3f5719fb	0	char_damek	Perfect timing, Vance.\nI just received the deed from Gryz.\nIt took some convincing, but I did it.	来得正好，万斯。\n我刚从格瑞兹那里拿到地契。\n费了些口舌，不过办成了。
9673	map033_541fbf5e	0	char_jit_map033_1_0_35	Wait — you didn't already have the deed?\nWhy were we moving everybody down here...?	等等——你之前还没拿到地契？\n那我们为什么把所有人都转移到这儿来……？
9674	map033_cf713ef1	0	char_damek	Oops. You didn't hear anything, alright?\nBesides, I knew I could win him over.\nThis was just a bit of a... \"head start\".	哎呀。你什么都没听见，好吗？\n再说，我知道我能说服他。\n这不过是……“抢先一步”罢了。
9675	map033_27bc7ea7	0	char_damek	And cut the formalities — call me Damek.\nWe've been through enough. This isn't about rank.\nI think of us all as a family, not an army.	还有，别搞那些客套——叫我达梅克。\n我们一起经历得够多了。这不是讲军衔的时候。\n我把我们所有人都当家人，而不是军队。
9676	map033_56086368	0	char_jit_map033_1_0_35	Of course, Damek.\nI'm amazed at our new HQ, to be honest.\nHow did you secure all of this stuff...?	当然，达梅克。\n说实话，我对我们的新总部感到惊叹。\n你是怎么弄到这些东西的……？
9677	map033_2d5f8864	0	char_damek	It wasn't me, Vance.\nThe Honor Guard was planning a {i}long{/i} stay.\nThey're responsible for everything you see.	不是我弄的，万斯。\n荣誉卫队本来是打算{i}长期{/i}驻留的。\n你看到的一切都是他们置办的。
9678	map033_fef9944b	0	char_jit_map033_1_0_35	You mean those {i}things{/i}?\nWhy would they build stuff they have no use for?\nThey can't really fight, and they have no need for sleep.	你是说那些{i}东西{/i}？\n他们为什么会建造自己用不上的东西？\n他们根本没法打仗，也不需要睡觉。
9679	map033_0bb610dd	0		Damek smirked and grabbed a blade from the nearby shelf.	达梅克笑了笑，从旁边的架子上抓起一把剑。
9680	map033_c74983e7	0	char_damek	They must've known {i}someone{/i} would use it.\nEither way — The Triumvirate doesn't know about this.\nTheir own Honor Guard is defying orders, it would seem.	他们一定知道{i}有人{/i}会用得上。\n不管怎样——三人执政团并不知道这事。\n看来他们自己的荣誉卫队在违抗命令。
9681	map033_c26b87f2	0		Vance followed Damek's lead, and grabbed a blade as well.	万斯学着达梅克的样子，也抓起一把剑。
9682	map033_fabf7b77	0	char_jit_map033_1_0_35	So there's discord among them...?\nNever thought we'd live to see that.	这么说他们内部也有矛盾……？\n从没想过我们这辈子能见到这种事。
9683	map033_499ae377	0	char_damek	Yeah, but it also proves The Triumvirate isn't all-knowing.\nThere's no way they'd let this happen if they were.\nThey're just like us. We can take them down.	是啊，但这也证明三人执政团并非无所不知。\n要是他们真全知全能，绝不会让这种事发生。\n他们和我们一样。我们能打倒他们。
9684	map033_8d3a5ed7	0		He flourishes his blade, and holds it out.	他耍了个剑花，把剑横举起来。
9685	map033_26fd37ef	0	char_damek	That is — if we're strong enough.	前提是——我们足够强。
9686	map033_c126343f	0	char_jit_map033_1_0_35	It's a spar you want...?	你是想切磋一下……？
9687	map033_28663144	0		Vance smirks and mimics the flourish of his General.{w}\nA few of the nearby rebels stop in their tracks to watch.	万斯咧嘴一笑，模仿起将军的剑花。{w}\n附近几个反抗军成员停下脚步围观。
9688	map033_e8be045c	0	char_damek	Just need to make sure you haven't gotten sloppy.\nAs soon as The Triumvirate finds out — a fight is coming.	只是得确认你没生疏。\n三人执政团一旦发现——一场战斗就要来了。
9689	map033_4d76a548	0	char_jit_map033_1_0_35	Don't worry Damek. I'm ready.	别担心，达梅克。我准备好了。
9690	map033_deae60eb	0		They charge at each other, and their swords clash.{w}\nThe loud clang of steel against steel fills their HQ.{w}\nAs the audience grows in size, their morale rises in tandem.	两人冲向对方，剑刃相交。{w}\n钢铁相击的巨响回荡在整个总部。{w}\n围观的人越来越多，他们的士气也随之高涨。
9691	map025_f7d87326	0		After a trek that was longer than expected, we finally reach The Outlook.{w}\nThere was a long uphill walk, so my legs are strained and tired.{w}\nThat, along with my lack of sleep, was an unfortunate combination.	走了比预想更远的路，我们终于到了瞭望台。{w}\n一路长长的上坡，我的腿又酸又累。{w}\n再加上睡眠不足，真是糟糕的组合。
9692	map025_b219f3fb	0	char_ulric	Well, here we are.\nZamira told me you've never been.\nTake a look down there. What do you think?	好了，我们到了。\n扎米拉跟我说过你没来过这儿。\n往下看看吧。觉得怎么样？
9693	map025_70d2b3ca	0		He lets out a soft laugh, like he's anticipating our reaction.{w}\nAfter a few more steps, we reach the high ground, and everything comes into view.{w}\nThe scope of our world, and just how small Valinorth really was, finally dawned upon me.	他轻轻笑了一声，仿佛在期待我们的反应。{w}\n又走了几步，我们来到高处，眼前豁然开朗。{w}\n我终于意识到我们的世界有多辽阔，而瓦利诺斯又有多渺小。
9694	map025_c728ddf5	0	char_fortaime	Whoa...	哇……
9695	map025_1e8f14bd	0	char_valessa	That's amazing!	太惊人了！
9696	map025_00135485	0		They stop to catch their breath, as they run up the hill in excitement.{w}\nWe can see the entirety of Mazeo, and it looks so tiny from up here.{w}\nBut I know it's {i}much{/i} larger than Valinorth, so this is hard to comprehend.	他们兴奋地跑上山坡，停下来喘口气。{w}\n整个马泽奥尽收眼底，从这里看过去小得可怜。{w}\n但我知道它比瓦利诺斯{i}大得多{/i}，所以这实在让人难以置信。
9697	map025_d2090e2d	0	char_fortaime	That's Mazeo...?	那就是马泽奥……？
9698	map025_e6502128	0	char_ulric	Yeah. We can probably reach it in a few more hours.\nBut take a while to enjoy the view — it's really something else.\nAnd it's not like we'll be coming back here anytime soon, right?	是啊。再走几个小时应该就能到了。\n不过多花点时间欣赏风景吧——真的很不一般。\n反正我们短期内也不会再回来了，对吧？
9699	map025_f4958df2	0	char_valessa	Yeah...	是啊……
9700	map025_54ec05e5	0		Pro takes a few steps forward, writing in some kind of journal.{w}\nHe watches Ulric, not even needing to stare at the paper as he wrote.	普洛上前几步，在本子上写着什么。{w}\n他望着乌尔里克，写字时甚至不用看纸。
9701	map025_c5f2db02	0	char_pro	And so, Ulric stood at the entrance of the world, enthralled by its beauty.\nIt would seem that his dreams for the future were no less grand than the sight before him.\nWith comrades in tow, they took in the sight together, an unspoken bond slowly forming.	就这样，乌尔里克站在世界的入口，被它的美景深深吸引。\n看来他对未来的梦想，丝毫不逊于眼前的景象。\n与同伴们同行，他们一同凝望着这片景色，一种无言的羁绊正悄然形成。
9702	map025_c15291df	0	char_ulric	The bond won't last much longer if you keep that up, Pro.	你再这样下去，这羁绊可维持不了多久，普洛。
9703	map025_ad1dea64	0	char_pro	Yikes.\nIt's not like this is my job or anything.\nYou know I'm trying to record all the important moments.	哎呀。\n又不是说这是我的分内工作。\n你知道的，我只是想记录下所有重要时刻。
9704	map025_530e29ed	0	char_ulric	You must be grasping at straws if you're writing about me, then.\nFocus on the Seer or something. This is the start of his journey.	那你要写我，可真是没素材可写了。\n写写先知什么的吧。这是他的旅程的起点。
9705	map025_677ed86d	0	char_ulric	You must be grasping at straws if you're writing about me, then.\nFocus on the Seeress or something. This is the start of her journey.	那你要写我，可真是没素材可写了。\n写写先知什么的吧。这是她的旅程的起点。
9706	map025_791ce19c	0	char_fortaime	Or — maybe you could focus on this...?	或者——也许你可以写写这个……？
9707	map025_cd70ca02	0	char_pro	Huh...?	嗯……？
9708	map025_f0f25278	0		We all turn to Fortaime, and he's holding out his hands.{w}\nInside of the cup he's formed with them, rests a single crimson leaf.{w}\nA breeze flows through the area, sending a chill through all of us.	我们都转向福泰姆，他伸出双手。{w}\n在他双手窝成的杯状里，静静躺着一片深红的叶子。{w}\n一阵微风拂过，让我们所有人都打了个寒战。
9709	map025_422e1063	0		Immediately, we turn toward Valinorth, in awe of what we see.{w}\nThe bloodleaves are falling, making their journey through the sky.{w}\nCarried by the chilling wind, they find their way down to the mainland.	我们立刻转向瓦利诺斯，被眼前的景象震撼。{w}\n血叶正在飘落，踏上穿越天空的旅途。{w}\n它们被凛冽的风托着，一路飘向大陆。
9710	map025_1bf3d239	0	char_ulric	Wow...	哇……
9711	map025_47467b19	0	char_fortaime	This shouldn't be happening, right...?\nThe bloodleaves don't fall at this time of year!	这不正常吧……？\n这个时节血叶不该落的！
9712	map025_d201e4cb	0	char_valessa	He's right, everyone.\nNormally it's too warm for them to wilt and fall.\nI know what this means. Valinorth is... starting to die...	大家，他说得对。\n通常天太暖和，它们不会枯萎掉落。\n我知道这意味着什么。瓦利诺斯……开始走向衰亡了……
9713	map025_f62bbaee	0	char_ulric	You mean because of the dimmed spirit idol?	你是说因为那尊黯淡的灵像？
9714	map025_651e0ece	0	char_valessa	Yeah. I didn't think it would happen so fast.\nWe need to hurry. If we don't do something, our home will—	嗯。我没想到会来得这么快。\n我们得抓紧了。如果再不做点什么，我们的家园就要——
9715	map025_80f91ce5	0		Ulric steps forward, and rests a hand on Valessa's shoulder.	乌尔里克上前一步，把手搭在瓦莱莎的肩上。
9716	map025_502a3133	0	char_ulric	Don't worry. \nWe'll figure out a way to save your village.\nWe're saving Alestia — and that includes Valinorth.	别担心。\n我们会找到办法救你们的村子。\n我们是在拯救阿莱斯蒂亚——瓦利诺斯也包括在内。
9717	map025_5be2ab49	0		She nods, and we turn back to stare down at the mainland.{w}\nFor a moment, the falling of the bloodleaves was a more beautiful sight.{w}\nBut was this a blessing, or perhaps a portend of bad things to come...?	她点点头，我们重新望向下方的大陆。{w}\n有那么一瞬间，飘落的血叶显得更美了。{w}\n可这是福兆，还是厄运将至的预兆……？
9718	map025_85eb35f5	0		Pro remains silent, but continues writing in his notebook.{w}\nSurely this would give him enough material to keep busy for a while.{w}\nI look at Valessa and Fortaime, and they give me nervous smiles.	普洛沉默不语，继续在本子上记录。{w}\n这下总够他忙活一阵子了。{w}\n我看向瓦莱莎和福泰姆，他们冲我露出不安的笑容。
9719	map025_0e133125	0	char_valessa	Are you ready, [firstname]...?\nI guess this is where things truly begin.	你准备好了吗，[firstname]……？\n我想，一切真正开始的地方，就是这里了。
9720	map025_0e133125_1	0	char_valessa	Are you ready, [firstname]...?\nI guess this is where things truly begin.	你准备好了吗，[firstname]……？\n我想，一切真正开始的地方，就是这里了。
9721	map025_cd78c317	0	char_fortaime	As a team — we can do this.\nI'm stronger for having you by my side.	作为一个团队——我们做得到。\n有你在身边，我变得更强了。
9722	map025_9eadf2d5	0		Ulric takes a few steps back, letting us have our moment.{w}\nHe knew how important this was to the three of us.{w}\nIt was perhaps the biggest moment of our lives.	乌尔里克后退了几步，把这一刻留给我们。{w}\n他知道这对我们三个人有多重要。{w}\n这也许是我们一生中最重要的时刻。
9723	map025_b5ec66fd	0	char_valessa	So this is it, huh...?	那么就是现在了，嗯……？
9724	map025_01e32538	0		She lets go of the bloodleaves she held in her hand.{w}\nThe gust of wind from behind us helps them sail down to Mazeo.	她松开手里的血叶。{w}\n身后吹来的一阵风托着它们飘向马泽奥。
9725	map025_bd97cc21	0	char_valessa	Now it's our turn...	轮到我们了……
