# dialogue chunk 0013  entries 4801-5200 of 10370
# seq	block	idx	speaker	source	target
4801	map276_1a925121	0	char_damek	Now...! Go!	现在……！快走！
4843	map278_17d186d6	0		Everybody nods and cheers Damek on.{w}\nThe mystery man shrugs, and keeps walking forward.	众人点头，为达梅克喝彩。{w}\n神秘男子耸耸肩，继续向前走。
4844	map278_7517a3a0	0	char_damek	Restrain this man.	制住这个人。
4845	map278_237c76fc	0		I expect to see the man put up a fight, but he doesn't.	我以为这人会反抗，但他没有。
4846	map278_829fc957	0	char_jit_map278_1_0_126	You will experience no resistance from me.\nBut on the other hand, you'll find no help, either.\nDo what you must, but keep the Library intact.	我不会给你们制造任何阻力。\n但另一方面，你们也得不到任何帮助。\n你们该做什么就做什么，但别弄坏了图书馆。
4847	map278_44a487ca	0		He gets on his knees, and holds out his wrists.{w}\nHowl makes quick work of restraining him.	他跪了下来，伸出双手。{w}\n豪尔麻利地把他捆了起来。
4848	map278_cad6c8d4	0	char_howl	Who {i}are{/i} you...?\nYou know far more than most.	你到底是{i}谁{/i}……？\n你知道的远比大多数人多。
4849	map278_f44a4ac1	0		The man shakes his head.	那人摇了摇头。
4850	map278_a446ce99	0	char_jit_map278_1_0_126	Just a hoarder of knowledge.\nA man who preserves the past, rather than erasing it.\nIn exchange, The Triumvirate gives me life, and shelter.	不过是个囤积知识的人。\n一个保存过去、而非抹去过去的人。\n作为交换，三人执政团给了我生命和庇护。
4851	map278_41d1b464	0	char_howl	Another one of their victims, you mean.\nEternal life in exchange for servitude. Despicable.\nWhat atrocities did you commit in their name?	你是说，又一个他们的受害者。\n以奴役换取永生。可鄙。\n你曾以他们的名义犯下过什么暴行？
4852	map278_084d39a9	0	char_jit_map278_1_0_126	I created this Library. A glimpse into the past.\nEverything The Monarchy ever wrote, is on these shelves.\nThat was my job. Preserve the old history, while creating a new one.	我创建了这座图书馆。一个窥视过去的窗口。\n王朝写过的一切，都在这书架之上。\n那就是我的职责。在创造新历史的同时，保存旧历史。
4853	map278_eadb1b17	0	char_howl	And what new history did you create?	那你创造了什么新历史？
4854	map278_01ceb20f	0	char_jit_map278_1_0_126	I wrote about The Triumvirate, and spread it everywhere.\nI made them seem like Gods. Like they were the creators of this world.\nAs new life began on Alestia, they found my writing, and believed every word.	我写下关于三人执政团的文字，并四处传播。\n我让他们看起来像神。仿佛他们是这个世界的创造者。\n当新的生命在阿拉斯蒂亚诞生时，他们发现了我的文字，对每一个字都深信不疑。
4855	map278_3ac888db	0		Howl scoffs, as anger boils within him.{w}\nBut before he can do anything, Pro interrupts.	豪尔嗤笑一声，怒火在胸中翻涌。{w}\n但他还没来得及做什么，普洛就打断了他。
4856	map278_5ddfaf96	0	char_pro	Algus Veilleur...	阿尔古斯·维勒尔……
4857	map278_7da3d293	0		The man's ears perk up, in a way that reveals he was reacting to his name.	那人竖起了耳朵，那反应说明他是在对自己的名字有所触动。
4858	map278_eb606ce7	0	char_jit_map278_1_0_126	That is the moniker I assumed, yes.\nI'm happy to know that the name is still remembered.	那正是我用的名号，没错。\n我很高兴这个名字仍被人记得。
4859	map278_c9abf2b8	0		Algus Veilleur...{w}\nThe man revered as the greatest historian.{w}\nI can't believe that he too, was a tool of The Triumvirate.	阿尔古斯·维勒尔……{w}\n那个被尊为史上最伟大的历史学家的人。{w}\n我简直不敢相信，他也是三人执政团的工具。
4860	map278_c17416c7	0		I'm a bit confused, since I'm unfamiliar with the name.{w}\nBut Valinorth was very independent, so I'm not surprised.{w}\nEverybody seems a bit shocked at learning his true name.	我有些困惑，因为我对这个名字很陌生。{w}\n但瓦利诺斯一向很独立，所以我并不意外。{w}\n得知他的真名，大家似乎都有些震惊。
4861	map278_a7d4ea2d	0	char_pro	So everything the people believe is a lie that you created?\nWhy would you need to go to such extremes...? This is insane.	所以人民所信奉的一切，都是你编造的谎言？\n你何必做到这种地步……？这太疯狂了。
4862	map278_9380c195	0	char_jit_map278_1_0_126	Look at how you and your friends reacted to learning the truth.\nIt brought you here, prepared to kill those who gave you life.\nThe people must never know the true cost of their creation.	看看你和你朋友得知真相后的反应吧。\n它把你们引到了这里，准备好去杀死那些赋予你们生命的人。\n人民绝不能知道他们被创造出来的真正代价。
4863	map278_6964bea1	0	char_pro	I don't believe this.\nHowl, get him out of our sight.	我不信。\n豪尔，把他带下去，别让他出现在我们眼前。
4864	map278_c0ec8536	0		Howl drags Algus away, as the rest of us group together.	豪尔把阿尔古斯拖走，我们其余人则聚到一起。
4865	map278_6b864313	0	char_damek	Well, at least he didn't put up much of a fight.\nI'd like to say that I'm shocked — but I don't feel surprised at all.\nThis journey has been full of revelations. This is just another for the pile.	至少他没怎么抵抗。\n我真想说我很震惊——可我一点都不觉得意外。\n这趟旅程充满了真相。这不过是又一个而已。
4866	map278_bac44560	0	char_damek	It doesn't really change much at all. We still have a plan.\nBut it'd be stupid to attack the enemy in the middle of the night.\nLet's rest until the break of dawn, and meet in front of the Library.	这其实改变不了什么。我们仍然有计划。\n但半夜去袭击敌人是愚蠢的。\n我们休息到破晓，然后在图书馆前会合。
4867	map278_17be434a	0	char_damek	Remember that we're safe as long as we stay in here.\nHopefully the rest of our forces aren't too far behind.\nYou're all dismissed. See you in the morning, okay?	记住，只要待在这里面，我们就是安全的。\n希望我们其余的部队也别落后太多。\n解散吧。早上见，好吗？
4868	map278_9ffaff2b	0	char_fortaime	Where are we supposed to rest...?	我们该在哪儿休息……？
4869	map278_6af15f9b	0	char_damek	I'm sure there's Private Quarters around here somewhere.\nAnd if you can't sleep, at least there's a lot of books to read.\nAfter the war, we should give this knowledge back to the people.	这附近肯定有私人寝室。\n就算睡不着，至少还有那么多书可读。\n战争结束后，我们应该把这些知识还给人民。
4870	map278_e0572953	0	char_valessa	Yeah, I agree. The Triumvirate can't hide this stuff forever.\nWe finally have proof that nobody can deny. This is amazing.\nIf we show them this, they'll accept our rule without question.	是啊，我同意。三人执政团不可能永远藏住这些东西。\n我们终于有了无人能否认的证据。太棒了。\n只要给他们看这个，他们就会毫无异议地接受我们的统治。
4871	map278_e8b7e608	0		Damek smiles, his spirits seemingly lifted.	达梅克笑了，精神似乎振作了起来。
4872	map278_e7c7b812	0	char_damek	Yeah. Let's hope you're right.\nHave a good night. All of you.	是啊。但愿你说得对。\n晚安。你们所有人。
4873	map278_e2445fd1	0		With that, we're all left on our own.{w}\nPeople scatter about, reading books and exploring the Library.{w}\nI decide to look for a private room, so I can relax and gather my bearings.	说完这些，我们就各自散了。{w}\n人们四处散开，读书、探索图书馆。{w}\n我决定去找间私人房间，好放松下来，理清思路。
4874	map279_b0ffce49	0		Halin returns to the chambers of The Triumvirate.{w}\nNoticing the absence of Shane, they're a bit confused.{w}\nThey don't assume the worst, and ask Halin to brief them.	哈林回到三人执政团的议事厅。{w}\n发现肖恩不在，他们有些困惑。{w}\n他们没有往最坏处想，而是让哈林向他们汇报。
4875	map279_02270179	0	char_halin	Shane stayed behind to lead the naval attack.\nHe plans to trim their forces as much as possible.\nLike you anticipated — they're arriving by sea.	肖恩留下来指挥海上进攻。\n他打算尽可能地削减他们的兵力。\n正如你所预料的——他们是从海路来的。
4876	map279_6567fbcf	0	char_the_triumvirate	Good. Then things are going according to plan.\nWe'll have you wait in the atrium for their arrival.\nThis means that you'll be our last line of defense.	很好。那么一切正按计划进行。\n我们会让你在中庭等候他们的到来。\n也就是说，你将是我们的最后一道防线。
4877	map279_dd5d1fc2	0	char_halin	I consider it an honor.\nBut I have to say — I'm worried for Shane.\nHis chances of survival are pretty slim out there.	我视此为荣耀。\n但我得说——我很担心肖恩。\n他在外面的生还几率相当渺茫。
4878	map279_5a1fe09a	0	char_the_triumvirate	He knew what he was signing up for.\nIf he killed even one of the rebels, then he was successful.\nFocus on protecting this castle, Halin. That's more important.	他很清楚自己承担的是什么。\n哪怕他只杀了一个反抗军，那就算成功了。\n专心守住这座城堡，哈林。那才更重要。
4879	map279_bf1f1217	0	char_halin	Yes, of course.\nI'll make sure no one passes the atrium.\nIf they try, they'll fall as quickly as they enter.	是，当然。\n我保证没人能通过中庭。\n他们若敢尝试，一进来就会倒下。
4880	map279_d166d7dc	0	char_the_triumvirate	Thank you, Halin.\nIt's important that they have a false sense of security.\nDon't give them too much resistance until it's absolutely necessary.	谢谢你，哈林。\n重要的是让他们产生虚假的安全感。\n在绝对必要之前，不要给他们太多阻力。
4881	map279_1646b185	0	char_the_triumvirate	If they think they're going to win, they're more prone to slipping up.\nIt's up to you to figure out when that moment is, and take advantage of it.\nEven if it takes your life, you are to prevent them from entering our chambers.	如果他们以为自己会赢，就更容易露出破绽。\n什么时候是那个时机，要由你来判断并加以利用。\n哪怕要付出你的性命，你也必须阻止他们进入我们的议事厅。
4882	map279_3abdf38c	0		Halin kneels, complying without hesitation.	哈林跪下，毫不犹豫地服从了。
4883	map279_e99c4841	0	char_halin	Yes, of course. My life for The Triumvirate.\nI'll fortify straight away, and wait for their arrival.	是，当然。我的命属于三人执政团。\n我这就去加固防备，等候他们的到来。
4884	map279_bdddf932	0		Halin strides out of their chambers, with a sense of purpose.{w}\nAfter he leaves, they turn to each other, displaying soft smiles.	哈林带着一股决然之意，大步走出议事厅。{w}\n他离开后，他们转向彼此，露出淡淡的微笑。
4885	map279_1ee8786b	0	char_the_triumvirate	Hopefully this time, things will be different.	但愿这一次，事情会有所不同。
4886	map280_06f00278	0		After finding a private room, I pace around it in circles.{w}\nI've had nothing but bad luck when it came to getting rest.{w}\nEver since we left Mazeo, I've been too worried to fall asleep.	找到一间私人房间后，我在里面来回踱步。{w}\n说到休息，我最近就没走过好运。{w}\n自从离开马泽奥以来，我一直忧心忡忡，无法入睡。
4887	map280_86a76914	0		I try reading books, but none of them are able to capture my interest.{w}\nPacing the room, I basically succumb to the anxiety assaulting my mind.{w}\nHowever — and thankfully — a knock at my door soon returns me to lucidity.	我试着读书，但没有一本能引起我的兴趣。{w}\n在房间里踱着步，我几乎被侵袭心头的焦虑压垮。{w}\n然而——幸好——一阵敲门声很快让我回过神来。
4888	map280_c50b3753	0		As soon as I open it, Howl enters.{w}\nHe takes a deep breath, sounding both annoyed and relieved.{w}\nI don't blame him, he's gone through so much in such a short time.	我一开门，豪尔就走了进来。{w}\n他深吸一口气，听起来既烦恼又宽慰。{w}\n我不怪他，这么短的时间里他经历了太多。
4889	map280_d91e4bb2	0	char_howl	We finally put the Librarian to rest.\nAlgus, right? He certainly likes to talk a lot.\nAnswers in the form of riddles. He simply stalls for time.	我们终于把那个图书管理员安置好了。\n阿尔古斯，对吧？他确实话很多。\n答案都是谜语。他只是在拖延时间。
4890	map280_bef2e4de	0	char_howl	It is rather peculiar however, that he didn't resist.\nHe won't help us kill The Triumvirate, but he won't stop us, either.\nAs we locked him up, he mentioned his true allegiance was to history.	不过，奇怪的是他没有抵抗。\n他不会帮我们杀三人执政团，但也不会阻止我们。\n我们把他关起来时，他说自己真正的效忠对象是历史。
4891	map280_df0052df	0	char_howl	Whether we win or lose, it will still be his job to write about the aftermath.\nSo no matter what happens, there will be a new history to record.\nAn interesting habit. Living through others, rather than yourself.	无论我们输赢，书写余波仍然是他的职责。\n所以不管发生什么，都会有一段新的历史需要记载。\n有趣的癖好。活在他人之中，而非自己之中。
4892	map280_35c94b01	0		He looks around the room, a hint of sadness on his face.	他环顾房间，脸上带着一丝悲伤。
4893	map280_615c3133	0	char_howl	There must not be much else to do, in such a lonely place.\nWe feel sorry for him, but there is really nothing we can do.\nHe gave us shelter, in exchange for silence.	在这样寂寞的地方，想必也没什么别的事可做。\n我们为他感到难过，但实在无能为力。\n他给了我们栖身之所，换取我们的沉默。
4894	map280_27fcb752	0		I ask Howl how we know if we can trust him or not.	我问豪尔，我们怎么知道能不能信任他。
4895	map280_39290aea	0	char_howl	We don't, but it does not matter.\nHe is locked up, and unable to contact anybody outside.\nAny chance he had to intervene has already passed on.	我们不知道，但这无关紧要。\n他被关起来了，无法与外界任何人联络。\n他任何介入的机会都已经过去了。
4896	map280_234f0bb6	0	char_howl	Our foothold is established.\nWe've successfully taken Baltean soil, [firstname].\nWhile not our main goal, this is a major victory for all of us.	我们的据点已经建立。\n我们成功踏上了巴尔泰的土地，[firstname]。\n虽然这不是我们的主要目标，但这对我们所有人来说都是一场重大的胜利。
4897	map280_284de01f	0		I nod. He's right — nobody else in history has gotten this far.{w}\nWe stood a real chance at winning here, and it felt amazing.{w}\nI thank him for the status report, and for checking up on me.	我点头。他说得对——历史上从没有别人走到这一步。{w}\n我们真的有获胜的机会，那感觉太棒了。{w}\n我感谢他的情况汇报，也感谢他来看望我。
4898	map280_43a8a976	0	char_howl	Of course. We wanted to make sure you were comfortable.\nWe can imagine that rest is hard to find under these circumstances.\nMight we suggest spending some time with your friends before the dawn?	当然。我们想确认你一切安好。\n在这种情形下，想必很难得到休息。\n是否建议你在黎明前和朋友们待一会儿？
4899	map280_3c7aa786	0		As soon as I open it, Damek enters.{w}\nHe takes a deep breath, sounding both annoyed and relieved.{w}\nI don't blame him, he's gone through so much in such a short time.	我一开门，达梅克就走了进来。{w}\n他深吸一口气，听起来既烦恼又宽慰。{w}\n我不怪他，这么短的时间里他经历了太多。
4900	map280_5edd5138	0	char_damek	We finally put the Librarian to rest.\nHe sure likes to talk a lot — and about nothing at all.\nLots of answers in the form of riddles. Boring stuff.	我们终于把那个图书管理员安置好了。\n他确实很爱说话——而且尽说些没用的。\n很多答案都是谜语。无聊得很。
4901	map280_eb402681	0	char_damek	It's pretty interesting that he didn't resist, though.\nHe said he won't help us, but he won't stop us either.\nHis true allegiance is to history. That's what he kept saying.	不过，他没抵抗倒是挺有意思的。\n他说不会帮我们，但也不会阻止我们。\n他真正的效忠对象是历史。他一直这么说。
4902	map280_f1249794	0	char_damek	Doesn't make much sense, since he faked so much history in the past.\nBut no matter what happens next, he'll have a lot to write about.\nIf we win, he'll record it. If we lose, then he'll record that too.	这说不太通，毕竟他过去伪造了那么多历史。\n但无论接下来发生什么，他都有很多可写。\n我们赢了，他会记下来。我们输了，他也会记下来。
4903	map280_33792f3d	0		I guess his stance makes more sense if you look at it that way.{w}\nNo matter what happens next, somebody would need to write about it.	这么一想，他的立场倒更说得通了。{w}\n无论接下来发生什么，总得有人把它写下来。
4904	map280_996a5ce4	0	char_damek	His main condition was that we don't harm the Library.\nPretty good terms, especially in exchange for a foothold.\nWe may not have won yet, but we've seized Baltean soil.	他的主要条件是我们不破坏图书馆。\n条件相当不错，尤其是用在一个据点上。\n我们也许还没赢，但我们已经夺取了巴尔泰的土地。
4905	map280_70ef74cd	0		That's true. Nobody else has ever gotten this far.{w}\nI can tell that we stand a chance at winning, and it feels amazing.{w}\nBut I have to ask, how do we know that this Algus can be trusted?	没错。从没有别人走到这一步。{w}\n我能感觉到我们有机会赢，那感觉太棒了。{w}\n但我不得不问，我们怎么知道这个阿尔古斯可以信任？
4906	map280_41c6c533	0	char_damek	We don't. But he can't do much if he's locked up.\nAny chance he had at intervening is long gone, by now.\nHe can try when we leave, but we'll be prepared to fight by then.	我们不知道。但他被关着，也做不了什么。\n他任何介入的机会现在早就没了。\n我们离开时他大可以试试，但到那时我们已经做好战斗准备了。
4907	map280_3268e628	0		I nod, thanking Damek for the update on what's going on.	我点头，感谢达梅克告知近况。
4908	map280_7b96a637	0	char_damek	Of course. I just wanted to make sure you were alright.\nIt must be hard to sleep right now, given all the weight on your shoulders.\nThe others aren't sleeping either. Maybe you should spend some time with them?	当然。我只是想确认你没事。\n如今你肩上担子这么重，肯定很难入睡。\n其他人也都没睡。也许你该去陪陪他们？
4909	map280_72457d4d	0		He's right. If I can't sleep, then that's probably the next best idea.{w}\nBut I wonder if our bonds are strong enough to warrant some time together.{w}\nThis could be our last night alive, after all. They might be more protective of their time.	他说得对。既然睡不着，那大概就是下一个最好的选择。{w}\n但我不知道我们的情谊是否深厚到值得共度时光。{w}\n毕竟，这可能是我们活着的最后一晚。他们也许更珍惜自己的时间。
4910	map280_9b177d6d	0		I guess there was no harm in checking. I see him out of my room, with a new goal in mind.{w}\nTurning back to face the vast emptiness of this private room, I wonder who I could invite over.{w}\nThis would be a good night to make some final memories. Just in case the worst came to pass.	去问问也无妨。我送他出了房间，心里有了新的打算。{w}\n回过头，面对这间空荡荡的私人房间，我琢磨着能邀请谁过来。{w}\n今晚是个留下最后回忆的好机会。以防最坏的情况发生。
4911	map280_ef254c8a	0		[[You can spend final one-on-one time with every {i}loyal{/i} comrade.]\n[[Click the arrow in the top-right corner when you're ready to proceed with the story.]\n[[Note that doing so will begin the final battle, and lead to the ending of the game.]	[[你可以与每一位{i}忠诚{/i}的同伴共度最后的独处时光。]]\n[[准备好推进剧情时，点击右上角的箭头。]]\n[[请注意，这样做将开始最终决战，并导向游戏的结局。]]
4912	click_map281_4_EV004_3e723383	0		You've already spent time with Valessa.	你已经和瓦莱莎共处过了。
4913	click_map281_7_EV007_03272f4e	0		You've already spent time with Fortaime.	你已经和福泰姆共处过了。
4914	click_map281_8_EV008_2c9e3885	0		You've already spent time with Pro.	你已经和普洛共处过了。
4915	click_map281_10_EV010_5ef5ad8b	0		You've already spent time with Ulric.	你已经和乌尔里克共处过了。
4916	click_map281_12_EV012_385fa56f	0		You've already spent time with Damek.	你已经和达梅克共处过了。
4917	click_map281_14_EV014_f7edf9ae	0		You've already spent time with Howl.	你已经和豪尔共处过了。
4918	click_map281_16_EV016_5f529c6c	0		You've already spent time with Sovy.	你已经和索维共处过了。
4919	map291_455f73a8	0		I descend the stairs of The Grand Library, the crisp Baltean air assaulting me.{w}\nI shiver, and stand in disbelief at how uninviting this city seems to be.{w}\nIf this is where I'd sit in the throne, we'd need to change a lot.	我走下大图书馆的台阶，清冷的巴尔泰空气扑面而来。{w}\n我打了个寒颤，难以置信这座城市竟如此拒人于千里之外。{w}\n如果我将来要坐上这里的王座，我们得改变很多。
4920	map291_aa755f39	0		Looking around the area, It appears that everybody is here.{w}\nI try to take a head count, just to make sure that's correct.{w}\nThis was the final attack. We needed all of our might.	环顾四周，看来所有人都到了。{w}\n我试着清点人数，确认一下没错。{w}\n这是最后的进攻。我们需要倾尽全力。
