chunk	seq	level	category	issue	fix
dialogue_0024	9487	A	错译	“首当其冲”误用：最先受难≠首要	但当务之急是——我们需要重新与众灵建立联系。
dialogue_0025	9888	A	术语/专名	城镇广场与他处"Town Square→中央广场"不一致	统一改为「中央广场」
dialogue_0025	9900	A	术语/专名	与9623同一英文串译法不一致（"目前无法访问此内容"）	统一为「此时无法访问内容。」
dialogue_0026	10007	A	错译	“她们相视一笑”误含男性福泰姆，性别指代错	改为“他们相视一笑”（或“两人相视一笑”）
dialogue_0026	10015	A	错译	“她们俩都看着我”含男性福泰姆，性别指代错	改为“他们俩都看着我”
images_booknotes	b0001.png	A	错译	真相让我震惊不已，而我还有我必须向任何人述说的东西（原文 I have yet to tell anybody＝还从未告诉任何人，意思相反）	改「真相令我震惊，而这件事我还从未对任何人提起」
images_booknotes	b0001.png	A	术语/专名	他们交给了我一把刀（terms.tsv：blade→剑，此处非 Exodus 专名）；"他们会派一支小队前来／这支小队"（原文 an envoy＝使者，单人误作"小队"，两处）	分别改「交给了我一把剑」「会派一名使者前来／这位使者迟早会来」
images_booknotes	b0002.png	A	术语/专名	图内作「阿莱斯提亚」（b0002 标题及 b0002/b0004/b0007/b0008/b0010/b0012/b0017 正文），基准「阿莱斯蒂亚」（README、script.rpy、fixups.tsv、书目 A2 均作蒂）	各图全部改「阿莱斯蒂亚」
images_booknotes	b0002.png	A	术语/专名	署名「——阿尔古斯·维耶尔」，正文 script.rpy 作「阿尔古斯·维勒尔」(43591/43615)、「阿尔古斯·维勒」(5251)，与图不一致	图与正文统一为同一种译名（建议先定正文基准再改图）
images_booknotes	b0003.png	A	错译	最近，瓦利诺斯赋予书记官他们自己的守护之责（原文 has given the Scribe their own protege＝门徒/接班人，是人不是职责，后句"有人必须接手"因此断裂）	改「瓦利诺斯给书记官配了自己的门徒——以备不测时有人接班」
images_booknotes	b0003.png、b0004.png、b0005.png、b0008.png、b0011.png、b0012.png、b0013.png、b0016.png	A	术语/专名	图题与游戏书目清单（script.rpy 25663–25687）不一致：论书记官与幻象→论书记官与预视、灵体影响的真相→灵的真正影响力、幻象与画作→预视与画作、瓦利诺斯的先知传承→瓦利诺斯的先知血脉、阿拉林西亚的内战→阿拉林西亚的内乱、海盗界限的模糊地带→海盗行为的模糊界限、肖恩的日记→肖恩的日志（对白 26077 亦作"这是肖恩的日志"）、竞技大会的演变→竞技赛制的演变	图题统一为书目清单用名（或同步修改书目串，两侧必须一致）
images_booknotes	b0004.png	A	错译	找到一个符合你信念的家园几乎是不可能的（原文 far from impossible＝绝非不可能，意思相反）	改「找到合乎你信念的家园绝非难事」
images_booknotes	b0004.png	A	漏译	但他们也有另一种看法。为此，许多人会刻意以消极的方式行事（原文 they have yet to do so in a negative fashion. To this end, many people actively seek out homes…，漏掉核心句并凭空增出"消极行事"）	改「但它们迄今并未负面影响人们。为此，许多人特意在自然与"正向"能量环绕之地择居」
images_booknotes	b0005.png	A	错译	如果在任何时候，只有一位先知或女先知看到了幻象……大不相同（原文 more than one Seer＝不止一位，意思相反）	改「若同一幻象被不止一位先知看到，解读很可能大相径庭」
images_booknotes	b0005.png	A	术语/专名	署名作「~弗泰姆~」，基准「福泰姆」（names.rpy；b0003 图同署 ~福泰姆~，正文亦全作福泰姆）	改「~福泰姆~」
images_booknotes	b0006.png	A	错译	瓦利诺斯绝不能让马泽奥的命运就此注定（原文 Valinorth must never meet Mazeo's fate＝绝不能落得马泽奥的下场，主宾错位）	改「瓦利诺斯绝不能重蹈马泽奥的覆辙」
images_booknotes	b0007.png	A	错译	使我们的村庄得以温暖，以及周围地区免受战争（原文只是 keeps our village and its surrounding areas warm，"免受战争"凭空）；"而是因为我们无法处理那里的尸体"（原文 simply because our bodies would not be able to handle it，无"尸体"）	分别改「使我们的村庄与周边地区都保持温暖」「我们不敢前往东冠，只因身体承受不住那里的酷寒」
images_booknotes	b0008.png	A	错译	如果同时出现两位先知，而且他们的存在时间重叠……（原文 the spans of time without them are very small＝空窗期极短，凭空编造"两位先知并存"）；"灵界会变得越来越弱，越来越渺小"（原文 our dependence on the spirits will grow smaller＝我们对灵的依赖变小，主语颠倒）	分别改「因空缺先知的时间极短，总能准确预料下一位先知何时降生」「我们对灵的依赖会越来越轻」
images_booknotes	b0008.png	A	术语/专名	在新生的灵像偶像会有一阵光芒和能量爆发——idol 基准「灵像」，"灵像偶像"双重译名，且"在…会有"缺成分成病句	改「新的灵像旁会有一阵光芒与能量爆发」
images_booknotes	b0011.png	A	错译	这可能是由一位神秘的女性所引发的新一轮起义的希望，她只有一个人知道，这个人就是薇薇安""（原文 known only as "Vivien"＝仅以"薇薇安"之名示人，现译语义崩坏）	改「这是新一轮由仅以"薇薇安"之名示人的神秘女子领导的起义所带来的希望」
images_booknotes	b0013.png	A	错译	不如就让审判庭的人自相残杀吧（原文 let alone the forces of The Inquisition＝更不用说审判庭的势力）；"为了大家。"（原文 All for him.＝全为了他，意思相反）	改「……对三人执政团本身仍几乎一无所知，更不用说审判庭的势力了」「——全为了他。」
images_booknotes	b0014.png	A	错译	他们就会被欢迎重新加入阿拉林西亚的军队（原文 welcomed back into Alarinthia's arms＝怀抱，误作"军队"）	改「便会重新被阿拉林西亚拥入怀中」
images_booknotes	b0014.png	A	术语/专名	标题与首句作「六日者」，terms.tsv 基准「六时人」（书目 C1"论六时人"、对白均作六时人）	改「论六时人」，正文首句改「六时人。」
images_booknotes	b0015.png	A	术语/专名	标题与正文作「德拉库」，基准「德雷库」（names.rpy "Draycu": 德雷库，script.rpy 全篇德雷库）	标题与正文全部改「德雷库」
images_booknotes	b0016.png	A	错译	阿拉林西亚的统治者决定通过简单的一对一战斗来选拔勇士（原文 rulers of Alarinthia were decided during a simple one-on-one battle＝统治者由决斗产生，主谓颠倒）	改「最初，阿拉林西亚的统治者是通过一对一决斗产生的」
images_maps	RebelHQMap.png	A	术语/专名	CREW QUARTERS译作"成员宿舍"，对白同一 HQ 场景全篇统一作"船员舱"，"宿舍"还是现代词	【已撤销·裁决反转，改为改对白9行】改"船员舱"
images_maps	RebelHQMap.png	A	术语/专名	PERSONAL QUARTERS译作"个人房间"，对白中总部同设施统一作"私人房间"，AlarinMapCastle/AlarinMapColi 两图亦作"私人房间"	【待定·地图与对白两种写法需统一】改"私人房间"
images_maps	ValinorthMap.png	A	术语/专名	SÄULEBERG译作"瑟勒山"，与术语表及全篇不一致（对白："迈勒斯派人守卫着索尔伯格"）	改"索尔伯格"
images_maps	ValinorthMap.png	A	术语/专名	EASTCROWN译作"东冠镇"；全篇统一作"东冠"，且原文是冰封山峰而非城镇，加"镇"既不一致又误导	改"东冠"
images_tutorial_menu	tut003.png	A	术语/专名	阿莱斯提亚与全篇基准"阿莱斯蒂亚"不一致（zz5、zzz0-1 及对白 tsv 均作"阿莱斯蒂亚"）	改为"阿莱斯蒂亚是一个鲜活的世界。"
images_tutorial_menu	zz11.png	A	错译	原文 "This sheltered hamlet is now custodian to the weapon..."（避世的小村庄）被误译为"这枚系链护符"，语义完全偏离上下文	改为"这座避世的小村，如今守护着那件足以解放世界的武器。"
images_tutorial_menu	zz12.png	A	错译	原文 "it would be met with a gruesome fate by The Triumvirate and their Grand Inquisitor…"（将迎来可怖的命运）被弱化误译为"会惹得……面露不悦"	改为"如此一来——它注定要遭逢三人执政团及其大审判官的可怖命运……"
strings_0001.tsv	1	A	术语/专名	“女先知”偏离基准 Seeress=先知	改“我是先知……”，或在术语表登记“女先知”
strings_0003.tsv	930	A	标点/占位符	日期格式删 %A/%B、增 %m，与原文占位不符	确认有意本地化；需星期可保留 %A
strings_0004.tsv	1241	A	术语/专名	“回滚”与全篇“回退”不统一（含1242）	统一改“回退”“回退到之前的时间点”
dialogue_0001	150	B	语域	“这就是我的角色”带戏剧职场腔，不合内心独白	可如果这就是我的职责，我就必须扛起来
dialogue_0001	156	B	翻译腔	cheat the present 直译成“欺骗当下”，读来费解	我要借未来扭转当下（161 同）
dialogue_0001	179	B	现代词出戏	“开一场……会议”现代会议腔	告诉他们马泽奥正有要事相商
dialogue_0001	210	B	现代词出戏	“领导层”现代组织词（360 同）	瓦利诺斯的掌事大权丝毫未见中断！
dialogue_0001	228	B	现代词出戏	“靠谱”现代口语（378 同）	我这个推测可是有根有据的
dialogue_0001	265	B	现代词出戏	“灵的能量”科幻词“能量”，与全篇“灵性力量”不一致	也许它能汇聚灵性力量。
dialogue_0001	274	B	现代词出戏	“生物光”现代科学术语出戏	这棵树竟能自行发光。
dialogue_0001	285	B	现代词出戏	“峰会”现代政治词	那里要举行一场会盟
dialogue_0001	293	B	现代词出戏	“脑补”网络俚语出戏	别去想象那画面
dialogue_0001	81	B	翻译腔	“他们脸上”指代不清，易误认作哈林二人	三人执政团脸上浮起一丝浅笑，筹谋已久的计划终于实现
dialogue_0002	406	B	翻译腔	“这个职位还挺有竞争的”搭配生硬	改“这个职位竞争颇为激烈”
dialogue_0002	423	B	现代词出戏	“阿莱斯蒂亚的中心枢纽”现代且同义重复	改“基本就是阿莱斯蒂亚的中枢之地”
dialogue_0002	432	B	翻译腔	“对王位的宣称”名词化直译生硬	改“我们看重力量，而非血脉或问鼎王位之权”
dialogue_0002	462	B	翻译腔	“被以不同方式开发定居”被动加现代词	改“其余世界遭砍伐开拓，另行聚居”
dialogue_0002	485	B	翻译腔	“我怀疑我们没时间争论”误用“怀疑”	改“恐怕我们没工夫争这个”
dialogue_0002	503	B	翻译腔	“默认了一个没有说出口的事实”生硬	改“心照不宣地接受了这件没说破的事”
dialogue_0002	518	B	现代词出戏	“紧急情况”“应对规程”现代公文腔	改“这等危急，我们早有应对的约定”
dialogue_0002	574	B	翻译腔	“要为之做准备的设想很糟糕”定语缠绕	改“这种情形没人愿设想，却不得不备”
dialogue_0002	583	B	现代词出戏	“把这份文件签了”现代办公词（478“文件”同）	改“走之前把这张文书签了”
dialogue_0002	623	B	翻译腔	“演书记官的书记官”晦涩难解	改“扮演书记官，学着做书记官”
dialogue_0002	630	B	现代词出戏	“我脑子里可不能装八卦”现代流行语	改“我脑子里可不能装闲话”
dialogue_0002	668	B	现代词出戏	“法条越多”现代法律术语	改“律条越多，可破的规矩也越多”
dialogue_0002	679	B	现代词出戏	旁白“很酷的剑”出戏（670/686/713/714同）	改“一把挺帅的剑，稀罕玩意儿”
dialogue_0002	720	B	现代词出戏	“没被测绘过”现代专业词	改“从没被绘进地图”
dialogue_0002	728	B	现代词出戏	“任何……的信息”，信息为规格禁用词（730同）	改“任何关于东冠的讯息都有用”
dialogue_0003	1083	B	现代词出戏	马泽奥与瓦利诺斯的国家安全都受到了威胁	马泽奥与瓦利诺斯的安危都已受到威胁。（1128 同）
dialogue_0003	1088	B	称谓	同句"你的家人可能有危险…只求您放我们过去"你/您混用	您的家人可能有危险。（1133 同；1085/1089/1134 建议一并定同一口径）
dialogue_0003	1092	B	翻译腔	请你赌上信念，纵身一跃leap of faith 直译	我是在请你凭着信念赌这一把。（1137 同）
dialogue_0003	1116	B	称谓	Yes, sir!→"是的，先生！"西式称谓直译	是，长官！
dialogue_0003	1174	B	现代词出戏	我小时候孤儿院的人这么叫我的（原文仅 the orphans，孤儿院为现代机构）	普洛只是我小时候那些孤儿这么叫我的。
dialogue_0003	860	B	翻译腔	总比在自己头上贴靶子好比喻直译生硬	总比让自己成了众矢之的强，对吧？
dialogue_0003	861	B	翻译腔	所有人都看到能欺骗未来的潜力英语习语直译	要是所有人都看到未来有可乘之机……？（862 同）
dialogue_0003	895	B	现代词出戏	那股能量是生命，还是死亡……？科幻词入奇幻	那股力量是生命，还是死亡……？
dialogue_0003	911	B	现代词出戏	不知该如何承受那些能量	不知该如何承受那股力量。
dialogue_0003	980	B	现代词出戏	你用这股灵能量制造了君主容器	你用这股灵力制造了君主容器。
dialogue_0003	981	B	现代词出戏	你用这股灵能量制造了人造先知	你用这股灵力制造了人造先知。
dialogue_0004	1340	B	现代词出戏	“办公室/助理/跟进”现代办公用语，中世纪出戏	改“亚历克斯离开公事房后……他的助手莉莉丝……每次会谈后记档并向他复命。”
dialogue_0004	1344	B	现代词出戏	“重启谈判”是现代科技词，奇幻世界不宜	改“待更多人到场，谈判再开。”
dialogue_0004	1348	B	现代词出戏	“达成协议”的“协议”属科幻词，应作交易/约定	改“亚历克斯和娜达都会争着与我敲定一笔交易。”
dialogue_0004	1351	B	称谓	助手对市长称 sir 译“先生”，西式称谓直译	改“当然，大人。”（对市长用“大人/阁下”）
dialogue_0004	1354	B	翻译腔	“我对他的……信任，超乎你所知”名词化欧化句	改“我信任他的决断与谋略，远超你的想象。”
dialogue_0004	1421	B	翻译腔	“而那些不是的，都比我大得多”指代残缺生硬	改“而其余的，都比我年长得多。”
dialogue_0004	1470	B	翻译腔	“产生耐受”医学腔；1216“培养耐受”、1469“疗法”同类	改“随着你渐渐适应它的力量，就能用得越来越久。”
dialogue_0004	1503	B	现代词出戏	“无穷人脉”的“人脉”是现代社交词	改“他们管这里叫‘门路遍地’之城。”
dialogue_0004	1553	B	翻译腔	“这样的身体接触”直译腔，读来像心理学术语	改“我猜他是担心这样靠着我会不会失礼。”
dialogue_0005	1670	B	翻译腔	“做得像门科学”系英语习语直译，生硬费解	改“我这套早已摸得滚瓜烂熟，绝不会被抓到”
dialogue_0005	1740	B	翻译腔	“我们来自哪里的习惯”是英文句法直嵌，不成话	改“故乡带来的习惯，很难摆脱”
dialogue_0005	1761	B	现代词出戏	“格瑞兹的办公室”为现代词，奇幻语境出戏	全篇统一改“格瑞兹的公事房”（含0004的1340、0008的3141）
dialogue_0005	1799	B	现代词出戏	“格瑞兹的办公室就在楼梯顶端”现代词出戏	改“格瑞兹的公事房就在楼梯顶端”
dialogue_0005	1801	B	翻译腔	西式问候“听过太多关于你的事了”直译，近似抱怨	改“早就听闻不少你的事，[firstname]”（1802同句）
dialogue_0005	1806	B	现代词出戏	“这间办公室里的人都知道”现代词出戏	改“这间公事房里的人都知道”
dialogue_0005	1826	B	现代词出戏	“做个简报”是现代职场用语，出戏	改“你们结束后，格瑞兹会向我做个交代”
dialogue_0005	1830	B	现代词出戏	“通往格瑞兹办公室的门”现代词出戏	改“通往格瑞兹公事房的门”
dialogue_0005	1833	B	现代词出戏	“马泽奥航运公司”，“公司”是现代组织	改“马泽奥船行”
dialogue_0005	1834	B	现代词出戏	“最高机密”是现代谍报用语，出戏	改“那是天大的机密，只有市长才能看！”
dialogue_0005	1864	B	翻译腔	“这些正是她往常会为此背后捅刀的东西”指代循环拗口	改“为了这些东西，她往常没少在背后捅刀”
dialogue_0005	1867	B	语域	随口道谢却用“情报”，军警语域错层	改“好！多谢告知！”
dialogue_0005	1872	B	现代词出戏	“我们一同走进办公室”现代词出戏	改“我们一同走进公事房”
dialogue_0005	1885	B	现代词出戏	“感谢各位来到我的办公室”现代词出戏	改“感谢各位来到我的公事房”
dialogue_0005	1906	B	现代词出戏	“航运公司”是现代组织，“工作机会”偏职场	改“马泽奥船行”“所有海盗都得在船行谋份差事”
dialogue_0005	1919	B	现代词出戏	“航运公司”“客户”均属现代商业词	改“马泽奥船行”“主顾”
dialogue_0005	1922	B	现代词出戏	“个百分点”是现代统计词，与1912“百分之六十五”不一致	改“我能献上另外的百分之六十五”
dialogue_0005	1965	B	现代词出戏	“格瑞兹的办公室似乎俯瞰码头”现代词出戏	改“格瑞兹的公事房似乎俯瞰码头”
dialogue_0005	1968	B	现代词出戏	“你知道，这是我的办公室”现代词出戏	改“你知道，这是我的公事房”
dialogue_0006	2015	B	翻译腔	不用天才也能看出是习语直译，中文读来生硬	改"不用猜也知道她在想什么"
dialogue_0006	2019	B	现代词出戏	给它们供能是现代工程用语，奇幻语境出戏	改"也许我们甚至能用那把剑驱动它们"
dialogue_0006	2106	B	现代词出戏	那是用来社交的，"社交"属现代用语	改"那是用来与人往来的"
dialogue_0006	2118	B	现代词出戏	很棒的社交场所，"社交"属现代用语	改"也是个与人来往的好去处"
dialogue_0006	2119	B	现代词出戏	有点像食堂了，"食堂"是现代词	改"倒也算得上一间膳房了，对吧？"
dialogue_0006	2146	B	现代词出戏	宣传成一个有权势的职位带现代口吻	改"对外宣称这是个有权势的差事"
dialogue_0006	2162	B	翻译腔	比起——你懂的，死掉，我宁愿要……语序混乱	改"比起——你懂的——送命，我宁可干无聊的活儿"
dialogue_0006	2162	B	现代词出戏	岗位是现代职场用词	改"瓦利诺斯这里的差事很无聊"
dialogue_0006	2327	B	现代词出戏	秒答是网络口语，与奇幻语境不合	改"或者你也可以想都不想就答……"
dialogue_0007	2415	B	翻译腔	这大概需要些时间我才能弄明白语序杂糅不通	改"我大概还需要些时间才能弄明白"
dialogue_0007	2446	B	现代词出戏	白噪音是现代声学词，中世纪奇幻语境出戏	改"但就像听惯了的杂音，我们已对它充耳不闻"
dialogue_0007	2578	B	现代词出戏	琐碎的信息含规格明令禁用的现代词"信息"	改"你为何想知道这种无关紧要的琐事？"
dialogue_0007	2624	B	翻译腔	暗示我以为你在暗示的事动词嵌套，拗口难读	改"你是不是在暗示我猜到的那件事？"
dialogue_0007	2632	B	现代词出戏	main landing 直译"主平台"生硬，"平台"属禁用词	改"他微笑着，走回楼梯口。"
dialogue_0007	2647	B	翻译腔	教你两课不是中文说法	改"所以这次，我大概要给你上两课了"
dialogue_0007	2649	B	翻译腔	一个牵涉情感的友人欧化定语堆叠	改"感情上有牵绊的朋友，未必会听从每道命令"
dialogue_0007	2651	B	现代词出戏	两处"能量"为规格明令禁用的科幻词	改"祭品及其蕴含的气力""你体内有如此充沛的气力"
dialogue_0007	2688	B	现代词出戏	火灾隐患是现代消防术语，叙事层出戏	改"想暖和些我能理解，可这也太容易走水了吧？"
dialogue_0007	2725	B	翻译腔	非常接近确保他……名词化翻译腔	改"我们离让他始终站在我方已经很近了"
dialogue_0007	2728	B	翻译腔	把作战计划和你过一遍语序别扭	改"我会和你一起过一遍作战计划，再给你行程安排"
dialogue_0007	2751	B	现代词出戏	向大地输送能量含禁用词"能量"	改"如果它们并没有在滋养大地，那它们在做什么……？"
dialogue_0007	2781	B	翻译腔	占领受害者生造词，中文读不通	改"它们是由被夺去身体的受害者之灵驱动的……"
dialogue_0008	2803	B	现代词出戏	那么多能量（另 3125"散发着能量"、3165"灵能量"、3190"能量即将耗尽"）	2803改"那么充沛的力量全都塞在一个小小的东西里"；3125改"散发着灵光"；3165改"他体内没有灵力"；3190改"仿佛力量即将耗尽"
dialogue_0008	2825	B	现代词出戏	我的'待办清单'上事情太多了（2826-2829同）	改"我要办的事实在太多了"（各句同步）
dialogue_0008	2892	B	现代词出戏	'讨喜的浪荡子'人设早就炉火纯青了	改"我这套'讨喜的浪荡子'做派早就炉火纯青了"
dialogue_0008	2902	B	翻译腔	稍微跳出框框想一想（2903同，think outside the box 直译）	改"你只需稍微换个思路去想，[firstname]"
dialogue_0008	2910	B	现代词出戏	打扫是有排班表的	改"打扫是排了值日安排的"
