file	行数	变体数	方向	seqs	变体(次数)	说明
dialogue/dialogue_0005.tsv/dialogue/dialogue_0006.tsv	2	2	legacy	dialogue/dialogue_0005.tsv#1842;dialogue/dialogue_0006.tsv#2311	古老的……？ [1次] ||| 古老……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0005.tsv/dialogue/dialogue_0006.tsv	2	2	changed	dialogue/dialogue_0005.tsv#1858;dialogue/dialogue_0006.tsv#2327	或者你也可以秒答……\n但为什么是亚历克斯？他哪里更好？ [1次] ||| 或者你也可以想都不想就答……\n但为什么是亚历克斯？他哪里更好？ [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0005.tsv/dialogue/dialogue_0006.tsv	2	2	changed	dialogue/dialogue_0005.tsv#1867;dialogue/dialogue_0006.tsv#2336	好！多谢告知！ [1次] ||| 好！谢谢你的情报！ [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0005.tsv/dialogue/dialogue_0006.tsv	2	2	legacy	dialogue/dialogue_0005.tsv#1976;dialogue/dialogue_0006.tsv#2342	大概吧……？ [1次] ||| 算是吧……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0012.tsv/dialogue/dialogue_0021.tsv	4	2	legacy	dialogue/dialogue_0006.tsv#2091;dialogue/dialogue_0006.tsv#2373;dialogue/dialogue_0012.tsv#4586;dialogue/dialogue_0021.tsv#8340	当然。 [3次] ||| 是啊。 [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	changed	dialogue/dialogue_0006.tsv#2146;dialogue/dialogue_0023.tsv#8815	远没有你想象的那么刺激。\n他们对外宣称这是个有权势的差事。\n打击走私贩，保护 [1次] ||| 远没有你想象的那么刺激。\n他们把它宣传成一个有权势的职位。\n打击走私贩，保护 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2147;dialogue/dialogue_0023.tsv#8816	结果不是那样？ [1次] ||| 难道不是那样吗？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2153;dialogue/dialogue_0023.tsv#8822	这观点真奇怪。 [1次] ||| 真是古怪的看法。 [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2161;dialogue/dialogue_0023.tsv#8830	哦，哇…… [1次] ||| 哦，天哪…… [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2164;dialogue/dialogue_0023.tsv#8805	鹿角怎么了？ [1次] ||| 它们怎么了？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2168;dialogue/dialogue_0023.tsv#8809	你什么意思？ [1次] ||| 什么意思？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2176;dialogue/dialogue_0023.tsv#8887	不用了，谢谢。 [1次] ||| 我就不了，谢谢。 [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2187;dialogue/dialogue_0023.tsv#9089	哇，乌尔里克，它好大！ [1次] ||| 哇，乌尔里克，好大啊！ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	changed	dialogue/dialogue_0006.tsv#2188;dialogue/dialogue_0023.tsv#9090	是啊，老有人夸它呢。 [1次] ||| 是啊，我一直都收到关于它的赞美。 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2189;dialogue/dialogue_0023.tsv#9091	我、我能摸摸它吗……？ [1次] ||| 我——我能摸摸它吗……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0023.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2198;dialogue/dialogue_0023.tsv#9100	哈呀——！ [1次] ||| 哈啊——！ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0024.tsv	3	2	changed	dialogue/dialogue_0006.tsv#2205;dialogue/dialogue_0024.tsv#9230;dialogue/dialogue_0024.tsv#9247	绝对没有。\n我一直把它原样封存着。\n我们把它放在巨树里妥善保管。 [2次] ||| 绝对没有。\n我一直把它严实收着。\n我们把它放在巨树里妥善保管。 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0006.tsv/dialogue/dialogue_0024.tsv	3	2	changed	dialogue/dialogue_0006.tsv#2218;dialogue/dialogue_0024.tsv#9243;dialogue/dialogue_0024.tsv#9260	很好。我们不能有内鬼。\n反抗军如今——已是岌岌可危。\n全靠那把古怪的剑我们才 [2次] ||| 很好。我们不能有内鬼。\n反抗军如今——已是岌岌可危。\n全靠那把异常的剑我们才 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0006.tsv/dialogue/dialogue_0024.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2225;dialogue/dialogue_0024.tsv#9267	为什么不行？ [1次] ||| 为什么不？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0024.tsv	2	2	changed	dialogue/dialogue_0006.tsv#2227;dialogue/dialogue_0024.tsv#9269	是啊，但信念本来就是关于冒险的。\n即使胜算渺茫，你依然相信。\n就算{i}一切 [1次] ||| 是啊，可信念本来就伴随着风险。\n即使胜算渺茫，你依然相信。\n就算{i}一切{ [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0006.tsv/dialogue/dialogue_0021.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2358;dialogue/dialogue_0021.tsv#8325	哦，原来那是约会？ [1次] ||| 哦，原来那是约会啊？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0021.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2366;dialogue/dialogue_0021.tsv#8333	我这边没意见！ [1次] ||| 我没意见！ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0021.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2368;dialogue/dialogue_0021.tsv#8335	真的吗？ [1次] ||| 真的？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0021.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2371;dialogue/dialogue_0021.tsv#8338	等等，你是嫉妒吗……？ [1次] ||| 等等，你在吃醋……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0021.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2372;dialogue/dialogue_0021.tsv#8339	不！才没有！ [1次] ||| 没有！完全没有！ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0022.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2393;dialogue/dialogue_0022.tsv#8404	你得身临其境才行！ [1次] ||| 你得在场才能体会！ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0006.tsv/dialogue/dialogue_0022.tsv	2	2	legacy	dialogue/dialogue_0006.tsv#2396;dialogue/dialogue_0022.tsv#8407	做做梦还是可以的…… [1次] ||| 做梦还是可以的…… [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0021.tsv	3	2	legacy	dialogue/dialogue_0007.tsv#2447;dialogue/dialogue_0007.tsv#2459;dialogue/dialogue_0021.tsv#8243	那有多严重……？ [2次] ||| 那有多疼……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0021.tsv	3	2	legacy	dialogue/dialogue_0007.tsv#2454;dialogue/dialogue_0007.tsv#2466;dialogue/dialogue_0021.tsv#8250	是啊…… [2次] ||| 对…… [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0017.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2468;dialogue/dialogue_0017.tsv#6455	只有在[firstname]站到德雷库那边的情况下，瓦莱莎。\n那件事不发生的可 [1次] ||| 只有在[firstname]站到德雷库那边的情况下，瓦莱莎。\n那种事多半不会发 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0007.tsv/dialogue/dialogue_0017.tsv	2	2	legacy	dialogue/dialogue_0007.tsv#2472;dialogue/dialogue_0017.tsv#6459	很刺激，不是吗？ [1次] ||| 很刺激，对吧？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0017.tsv	2	2	legacy	dialogue/dialogue_0007.tsv#2474;dialogue/dialogue_0017.tsv#6461	也不尽然…… [1次] ||| 未必…… [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0017.tsv	2	2	legacy	dialogue/dialogue_0007.tsv#2512;dialogue/dialogue_0017.tsv#6499	正是如此！ [1次] ||| 就是这样！ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	legacy	dialogue/dialogue_0007.tsv#2556;dialogue/dialogue_0018.tsv#6846	当然……！ [1次] ||| 好……！ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2559;dialogue/dialogue_0018.tsv#6849	是啊，只要干掉领袖就行了，对吧？\n不过乌尔里克很固执，小心点。\n我觉得他可能 [1次] ||| 是啊，只要干掉首领就行了，对吧？\n不过乌尔里克很固执，小心点。\n我觉得他可能 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2560;dialogue/dialogue_0018.tsv#6850	我看着他练武好多年了。\n我会没事的——我太清楚他的路数了。\n最好的武器就是情 [1次] ||| 我看着他练武好多年了。\n我会没事的——我太清楚他的路数了。\n最好的武器就是见 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2564;dialogue/dialogue_0018.tsv#6854	哦，得了吧，都不给我鼓个掌吗？\n等你下次演讲的时候，我会记着这事的。 [1次] ||| 哦，得了吧，连一点掌声都不给我？\n等你下次演讲的时候，我会记着这事的。 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2578;dialogue/dialogue_0018.tsv#6868	这种追问毫无意义。\n你为何想知道这种无关紧要的琐事？ [1次] ||| 这种追问毫无意义。\n你为什么想知道这种琐碎的信息？ [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2586;dialogue/dialogue_0018.tsv#6876	不行，我们不能谈那个。\n那是{i}工作{/i}上的事。我们是来放松的。 [1次] ||| 不行，我们不能谈那个。\n那是{i}正事{/i}。我们是来放松的。 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2588;dialogue/dialogue_0018.tsv#6878	可这不是浪费！\n如果我们的羁绊加深，我们也会变强。\n和同伴好好相处很重要，豪 [1次] ||| 可这不是浪费！\n如果我们的交情加深，我们也会变强。\n和同伴好好相处很重要，豪 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	legacy	dialogue/dialogue_0007.tsv#2596;dialogue/dialogue_0018.tsv#7124	你们俩现在在一起了？ [1次] ||| 你们俩现在是一对了吗？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	legacy	dialogue/dialogue_0007.tsv#2608;dialogue/dialogue_0018.tsv#7136	直到最后。 [1次] ||| 走到最后。 [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2609;dialogue/dialogue_0018.tsv#7137	唔，我只是好奇！\n依我所见，还挺深情的。\n你觉得你会和[firstname] [1次] ||| 唔，我只是好奇！\n从我看到的来看，还挺深情的。\n你觉得你会和[firstna [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	legacy	dialogue/dialogue_0007.tsv#2616;dialogue/dialogue_0018.tsv#7144	真的吗……？ [1次] ||| 真的……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0007.tsv/dialogue/dialogue_0018.tsv	2	2	changed	dialogue/dialogue_0007.tsv#2624;dialogue/dialogue_0018.tsv#7152	你是不是在暗示我猜到的那件事？ [1次] ||| 你该不会是在暗示我以为的那件事吧？ [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0011.tsv/dialogue/dialogue_0016.tsv	2	2	legacy	dialogue/dialogue_0011.tsv#4137;dialogue/dialogue_0016.tsv#6152	他长叹一声。 [1次] ||| 他长叹了一声。 [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0016.tsv/dialogue/dialogue_0020.tsv	2	2	legacy	dialogue/dialogue_0016.tsv#6373;dialogue/dialogue_0020.tsv#7794	很好。 [1次] ||| 好吧。 [1次]	都是旧版 -> 统一到多数派
