# batch	chunk	seq	speaker	category	source	OLD_target	NEW_target	reason	ctx_before	ctx_after
batch_1.tsv	dialogue_0002.tsv	438	char_ulric	语气	Very funny. A joke question. I'll pass.	真好笑。这是开玩笑的问题。我略过。	真好笑。这种玩笑问题，我不接。在我把你甩下之前，换个话题吧。	与dialogue_0001.tsv#301同源，需统一修正。	[char_ulric] The weak die out pretty fast, so not really.\nI'd say there's always a | 弱者很快就淘汰了，所以也谈不上。\n要我说，那儿总有一份稳定的“前十”名单。\n要是不在名单上，就不值得你花时间。	[char_ulric] Hey, we're talking about putting your life on the line.\nDo you really | 喂，我们说的可是拿命去拼的事。\n你真会想要一个无名小卒来保护你吗？
batch_1.tsv	dialogue_0002.tsv	453	char_ulric	其他	Each nation has a General that serves The Triumvirate.\nThey rule in their stead, and make sure everything runs smoothly.\nExcept — you guessed it. The Elder, or General, of Valinorth.	每个国家都有一位将军效命于三人执政团。\n他们代其统治，确保一切运转顺畅。\n唯独——你猜对了。瓦利诺斯的长老，或者说将军。	每个国家都有一位将军效命于三人执政团。\n他们代其统治，确保一切运转顺畅。\n只有瓦利诺斯例外——你猜对了，就是他们的长老，或者说将军。	与dialogue_0001.tsv#316同源，需统一修正。	[char_ulric] Well, yeah, if The Triumvirate {i}is{/i} truly responsible.\nAlestia i | 嗯，是啊，如果三人执政团{i}真的{/i}是幕后黑手的话。\n阿莱斯蒂亚分为四个国家，对吧？\n瓦利诺斯、马泽奥、阿拉林西亚，还有巴尔泰乌斯	[char_ulric] No one really knows why you remained untouched for so long.\nBut the t | 没人真正知道你们为何长久以来未受侵扰。\n但有种说法是，他们不想触怒灵。\n你懂的，因为这里汇聚着那么多灵性力量。
batch_1.tsv	dialogue_0002.tsv	513	char_valessa	术语	It doesn't make any sense, though.\nThink about it for a second.\nIn that alcove, we heard screams.	可这说不通啊。\n你回想一下。\n在那个凹室那儿，我们听到了尖叫声。	可这说不通啊。\n你回想一下。\n在那个壁龛那儿，我们听到了尖叫声。	alcove全篇统一为“壁龛”。	[char_ulric] Like I said, they could be at The Grand Tree.\nIt's isolated, and far  | 我说过了，他们可能在巨树那里。\n那地方偏僻，离这里又远。\n我敢打赌火焰烧不到那儿。	[char_valessa] The people of Valinorth were dying.\nNot only burning, but getting att | 瓦利诺斯的人在死去。\n不只是被烧，还遭到了攻击。\n尸体应该到处都是才对。
batch_1.tsv	dialogue_0002.tsv	524	char_valessa	语气	There might not {i}be{/i} anybody at The Grand Tree!\nI don't think we know what we're up against.\nWe should cut our losses and run, Ulric.	巨树那儿可能{i}根本{/i}没人！\n我觉得我们根本不清楚面对的是什么。\n我们该及时止损，赶紧跑，乌尔里克。	巨树那儿可能{i}根本{/i}没人！\n我觉得我们根本不清楚面对的是什么。\n我们该趁还能脱身，赶紧跑，乌尔里克。	“及时止损”是现代金融用语，不符奇幻对话。	[char_ulric] Let's say you're right, for arguments sake.\nWhy is it more important  | 就算你说得对，姑且这么假设。\n这为什么比去巨树更重要？\n光在这儿说，好像只是浪费时间。	[char_ulric] You need to make up your mind, Valessa!\nRunning back and forth will g | 你得拿定主意，瓦莱莎！\n这样来回跑会把我们都害死的。\n到底去不去巨树？
batch_1.tsv	dialogue_0002.tsv	526	旁白	误译	It's true, she was changing her mind far too fast.{w}\nAt the moment, she seems to value our survival.{w}\nCould she be starting to doubt that this is a vision?	确实，她改主意改得太快了。{w}\n此刻，她好像更看重我们的安危。{w}\n她是不是开始怀疑这不过是一场幻象了？	确实，她改主意改得太快了。{w}\n此刻，她好像更看重我们的安危。{w}\n她是不是开始怀疑这其实并不是一场幻象了？	原文是怀疑它并非幻象，现译语义相反。	[char_ulric] You need to make up your mind, Valessa!\nRunning back and forth will g | 你得拿定主意，瓦莱莎！\n这样来回跑会把我们都害死的。\n到底去不去巨树？	[旁白] All I had to go on was her word.{w}\nI only believed her because it ma | 我唯一的依据就是她的话。{w}\n我之所以信她，只是因为这在那时说得通。{w}\n要是我们离开瓦利诺斯，我还怎么搜集情报？
batch_1.tsv	dialogue_0002.tsv	536	char_sovy	误译	They called out to you, Seer.\nThey wanted your help, and you let them down.\nI guess the stories I heard about you were wrong.	他们呼喊着你的名字，先知。\n他们盼着你来救，你却辜负了他们。\n看来我听说的关于你的传闻都是假的。	他们曾向你呼救，先知。\n他们盼着你来救，你却辜负了他们。\n看来我听说的关于你的传闻都是假的。	called out to you是呼救，不是呼喊名字。	[char_sovy] What a pitiful little village.\nIt's no fun when they don't put up a f | 多么可悲的小村庄啊。\n他们不反抗，就一点意思都没有。\n你知道他们最后一刻做了什么吗？	[char_sovy] They called out to you, Seeress.\nThey wanted your help, and you let t | 他们曾向你呼救，先知。\n他们盼着你来救，你却辜负了他们。\n看来我听说的关于你的传闻都是假的。
batch_1.tsv	dialogue_0002.tsv	537	char_sovy	误译	They called out to you, Seeress.\nThey wanted your help, and you let them down.\nI guess the stories I heard about you were wrong.	他们呼喊着你的名字，先知。\n他们盼着你来救，你却辜负了他们。\n看来我听说的关于你的传闻都是假的。	他们曾向你呼救，先知。\n他们盼着你来救，你却辜负了他们。\n看来我听说的关于你的传闻都是假的。	与seq536同源，需同步修正。	[char_sovy] They called out to you, Seer.\nThey wanted your help, and you let them | 他们曾向你呼救，先知。\n他们盼着你来救，你却辜负了他们。\n看来我听说的关于你的传闻都是假的。	[char_ulric] Sovy, you already have the blade.\nLet us leave, we can resolve this p | 索维，你已经拿到那把剑了。\n放我们走，我们可以和平解决。
batch_1.tsv	dialogue_0002.tsv	558	char_valessa	语气	You — you're using their spirits to power that armor?\nDoes that mean we've been fighting our own...!?	你——你在用他们的灵体给那些铠甲供能？\n那我们一直在跟自己人打……！？	你——你在用他们的灵体给那些铠甲提供力量？\n那我们一直在跟自己人打……！？	“供能”偏技术用语，不合瓦莱莎口语。	[旁白] But after a few moments, the movements become more natural.{w}\nIt isn | 但过了片刻，动作变得自然起来。{w}\n没过多久，一支自动人偶组成的军队堵住了我们的去路。{w}\n无处可逃。索维封住了另一边。	[char_sovy] Now you finally understand.\nThe force of life itself bends to The Tri | 你终于明白了。\n连生命之力都臣服于三人执政团。\n你们根本别想阻止我们。
batch_1.tsv	dialogue_0002.tsv	644	char_fortaime	语气	I don't think I'm really allowed to do that.\nThe training I go through is already mentally exhausting.\nI need to devote my spare time to blowing off steam.	我觉得我其实没被允许那么做。\n我接受的训练已经很耗心力了。\n我得把闲暇时间用来发泄解压。	我觉得我其实没被允许那么做。\n我接受的训练已经很耗心力了。\n我得把闲暇时间用来散心放松。	“解压”偏现代口语，改自然表达。	[char_fortaime] I feel weird, existing as a fail-safe.\nBut I'm free to do much more i | 作为一道保险措施而存在，感觉怪怪的。\n但我的闲暇时间能自由做更多事。\n我喜欢这个职位，也很高兴认识你们俩。	[char_fortaime] Of course, this is under Mylus' orders.\nI'm sure I could handle somet | 当然，这是迈勒斯的命令。\n要是真想，我肯定也能应付点什么。\n但惹上他的麻烦实在不值当。
batch_1.tsv	dialogue_0003.tsv	820	char_valessa	术语	So, against my better judgment, alliances might be necessary.\nI doubt we can find a way to save Valinorth all on our own.\nWe'll require knowledge from all corners of Alestia.	所以，尽管违背我的本意，结盟或许是必要的。\n我怀疑单凭我们自己，找不到拯救瓦利诺斯的办法。\n我们需要来自阿拉斯提亚四面八方的知识。	所以，尽管违背我的本意，结盟或许是必要的。\n我怀疑单凭我们自己，找不到拯救瓦利诺斯的办法。\n我们需要来自阿莱斯蒂亚四面八方的知识。	Alestia全篇统一为“阿莱斯蒂亚”。	[char_valessa] Maintaining our identity is a plan for the {i}future{/i}.\nIf Valinort | 维系我们的身份，是为{i}未来{/i}做的打算。\n可若是瓦利诺斯败给了严寒，就再没有任何东西需要维系了。\n我依然相信我们需要独立，但那短	[char_valessa] So that might make things a bit tricky.\nRebuilding a nation that want | 那也许会让事情变得有点棘手。\n重建一个根本不想搭理你的国家？\n如果我打算不给予任何回报，谁还愿意帮我……？
batch_1.tsv	dialogue_0003.tsv	841	char_valessa	语气	No — people would just think I'm using them.\nIn order to do this efficiently, I'd have to keep it a secret.\nGlean information wherever I can, without telling anybody why.	不——人们只会觉得我在利用他们。\n想高效地做到这一点，我就得保密。\n尽可能地搜集情报，却不告诉任何人原因。	不——人们只会觉得我在利用他们。\n想顺利做到这一点，我就得保密。\n尽可能地搜集情报，却不告诉任何人原因。	“高效”偏现代书面，不合瓦莱莎口吻。	[char_valessa] I have no idea how I'll get it done, though.\nLike I said, I'll need h | 可我完全不知道怎么才能办到。\n就像我说的，我需要外界的帮助。\n真是个古怪的念头。为了独立去结盟？	[char_valessa] A book here, a conversation there — until I find a solution.\nAt the e | 这里翻一本书，那里聊一次天——直到我找到解决之道。\n说到底，没人会知道我在盘算什么。\n可等旅程结束时，我就有了拯救瓦利诺斯的办法。
batch_1.tsv	dialogue_0003.tsv	852	char_valessa	术语	We need to make an important decision, here.\nDo we involve the rest of Alestia with this stuff...?\nOr do we keep the visions to ourselves, like always?	我们得在这里做一个重要的决定。\n要让阿拉斯提亚的其他人也牵扯进这些事吗……？\n还是像往常一样，把预言留在我们自己手里？	我们得在这里做一个重要的决定。\n要让阿莱斯蒂亚的其他人也牵扯进这些事吗……？\n还是像往常一样，把预言留在我们自己手里？	Alestia全篇统一为“阿莱斯蒂亚”。	[char_valessa] From this point forward, your visions are {i}very{/i} important.\nI do | 从今往后，你的预言{i}非常{/i}重要。\n我猜你关于瓦利诺斯的那次预言不会是最后一次。\n尤其现在这把剑牵涉进了所有事情里。	[char_valessa] If we start to serve them with our visions, they'll be dependent.\nAft | 若我们开始用预言为他们效力，他们就会产生依赖。\n战争结束后，他们可能指望我们一直帮下去。\n更糟的是，心存歹意的人可能会{i}强迫{/i}
batch_1.tsv	dialogue_0003.tsv	869	旁白	误译	She smiles at me, and it seems like she's accepting of my advances.{w}\nHowever, the way things were — I understood her exception.{w}\nIt would be better to talk about that stuff later on.	她冲我笑了笑，似乎接受了我的示好。{w}\n不过，就当时的情形——我理解她的例外。{w}\n那些事，还是以后再说比较好。	她冲我笑了笑，似乎接受了我的示好。{w}\n不过，就当时的情形——我明白她为何会例外。{w}\n那些事，还是以后再说比较好。	“我理解她的例外”不符合中文搭配，未表达出exception。	[char_valessa] It'll take some time before I can think about that stuff.\nIf only the | 我需要一些时间才能考虑那些事。\n要是那天能像平常一样过去就好了。谁知道会发生什么呢。	[char_valessa] And I'm glad we can rise to the challenge. That's good.\nSomething tel | 很高兴我们能迎接挑战。这很好。\n我有种预感，往后还会有更多挑战。\n但只要我们团结一心——把话说开——就能做到。
batch_1.tsv	dialogue_0003.tsv	928	char_howl	术语	The freedom of Alestia. The destruction of The Triumvirate.\nWhen you look at it that way, it seems as if we defile nothing.	阿拉斯提亚的自由。三人执政团的覆灭。\n若从这个角度看，我们似乎什么都没有玷污。	阿莱斯蒂亚的自由。三人执政团的覆灭。\n若从这个角度看，我们似乎什么都没有玷污。	Alestia全篇统一为“阿莱斯蒂亚”。	[char_mylus] What? | 什么？	[char_mylus] I... I don't know. | 我……我不知道。
batch_1.tsv	dialogue_0003.tsv	961	char_howl	术语	The freedom of Alestia. The destruction of The Triumvirate.\nWhen you look at it that way, it seems as if we defile nothing.	阿拉斯提亚的自由。三人执政团的覆灭。\n若从这个角度看，我们似乎什么都没有玷污。	阿莱斯蒂亚的自由。三人执政团的覆灭。\n若从这个角度看，我们似乎什么都没有玷污。	与seq928同源，需统一修正。	[char_mylus] What? | 什么？	[char_mylus] I... I don't know. | 我……我不知道。
batch_1.tsv	dialogue_0003.tsv	1070	char_pro	标点	It was pretty easy, actually.\nLook at what hung in the balance.\nThankfully? We're in the clear.	其实挺容易的。\n看看当时悬着的是什么。\n还好？我们顺利过关了。	其实挺容易的。\n看看当时悬着的是什么。\n谢天谢地，我们顺利过关了。	Thankfully是感叹，不应译成疑问“还好？”。	[char_valessa] That was awful...!\nPro, how could you do something like that? | 太恶劣了……！\n普洛，你怎么能做出这种事？	[旁白] It was impossible to tell what may come from this.{w}\nWhether we agre | 没人说得清这会带来什么后果。{w}\n不管我们同不同意普洛的做法，他确实把事情办成了。
batch_1.tsv	dialogue_0003.tsv	1088	char_ulric	术语	Your family could be in danger. The attack is imminent.\nAll we ask is that you let us through, so we can go about our business.\nOur matters in Mazeo concern the safety of almost every Alestian.	你的家人可能有危险。进攻迫在眉睫。\n我们只求您放我们过去，好让我们办自己的事。\n我们在马泽奥的事务，关乎几乎每一位阿拉斯提亚人的安危。	你的家人可能有危险。进攻迫在眉睫。\n我们只求您放我们过去，好让我们办自己的事。\n我们在马泽奥的事务，关乎几乎每一位阿莱斯蒂亚人的安危。	Alestia全篇统一为“阿莱斯蒂亚”。	[char_ulric] I promise that we're not lying.\nThe Triumvirate is on the move to occ | 我保证我们没有说谎。\n三人执政团正调兵准备占领瓦利诺斯。\n但要这么做，他们必须经过马泽奥。	[char_ulric] If you don't let us through, a lot of innocent people will die.\nAnd t | 若您不放我们过去，许多无辜的人会因此丧命。\n相信我，我们{i}一定{/i}会让世人知道是您拦下了我们。\n你真想以这样的方式留名青史吗，卡
batch_1.tsv	dialogue_0003.tsv	1133	char_ulric	术语	Your family could be in danger. The attack is imminent.\nAll we ask is that you let us through, so we can go about our business.\nOur matters in Mazeo concern the safety of almost every Alestian.	你的家人可能有危险。进攻迫在眉睫。\n我们只求您放我们过去，好让我们办自己的事。\n我们在马泽奥的事务，关乎几乎每一位阿拉斯提亚人的安危。	你的家人可能有危险。进攻迫在眉睫。\n我们只求您放我们过去，好让我们办自己的事。\n我们在马泽奥的事务，关乎几乎每一位阿莱斯蒂亚人的安危。	与seq1088同源，需统一修正。	[char_ulric] I promise that we're not lying.\nThe Triumvirate is on the move to occ | 我保证我们没有说谎。\n三人执政团正调兵准备占领瓦利诺斯。\n但要这么做，他们必须经过马泽奥。	[char_ulric] If you don't let us through, a lot of innocent people will die.\nAnd t | 若您不放我们过去，许多无辜的人会因此丧命。\n相信我，我们{i}一定{/i}会让世人知道是您拦下了我们。\n你真想以这样的方式留名青史吗，卡
batch_1.tsv	dialogue_0003.tsv	1174	char_pro	误译	I'd rather not talk about it, if it's all the same to you.\nPro is just something the orphans called me when I was younger.\nI showed a knack for picking up skills with ease.	如果都一样的话，我还是不想谈这个。\n普洛只是我小时候孤儿院的人这么叫我的。\n我学什么都上手很快。	要是你不介意的话，我还是不想谈这个。\n普洛只是我小时候孤儿院的人这么叫我的。\n我学什么都上手很快。	if it's all the same to you意为“如果你不介意”，不是“如果都一样”。	[char_valessa] How do you manage that? | 这怎么可能？	[char_valessa] So you're a pro... | 所以你是个“高手”……
batch_1.tsv	dialogue_0003.tsv	1196	char_fortaime	语气	Wow, there's so many people in there...!\nAnd it sounds super noisy. Is it always like that?	哇，里面好多人……！\n而且听起来超吵。一直是这样吗？	哇，里面好多人……！\n而且听起来特别吵。一直是这样吗？	“超吵”偏现代口语，改自然表达。	[char_valessa] I guess they've thought of it all...\nOh well, nothing we can do about | 看来他们把能想的都想到了……\n唉，那也没办法。\n我们先进城，接着再聊。	[char_ulric] Pretty much.\nBut why are we standing here talking about it?\nYou real | 差不多吧。\n不过我们干吗站在这儿聊这个？\n你知道我们直接走进去就能看到，对吧？
batch_1.tsv	dialogue_0004.tsv	1311	char_ulric	其他	Their words seem to mean a lot to people, even if their actions don't follow suit.\nIn my opinion, it's only a matter of time before their promises fall on deaf ears.\nThat is — if we don't take them down first. At least we'll be keeping {i}our{/i} promises.	他们的话对人们似乎很有分量，哪怕行动根本跟不上。\n在我看来，他们的承诺迟早会被人充耳不闻。\n也就是说——除非我们先把他们拉下马。至少我们会{i}兑现{/i}自己的承诺。	他们的话对人们似乎很有分量，哪怕行动根本跟不上。\n在我看来，他们的承诺迟早会沦为耳边风。\n也就是说——除非我们先把他们拉下马。至少我们会{i}兑现{/i}自己的承诺。	“被人充耳不闻”搭配错误，fall on deaf ears应译为“沦为耳边风”。	[char_ulric] With the knowledge I currently possess, yes, I think they would.\nOver | 以我目前所知，是的，我想他们会。\n二十多年过去，马泽奥人开始意识到三人执政团一直在撒谎。\n他们许诺把马泽奥变成乌托邦。等我们到了你四处看	[char_ulric] Depends what you're wanting to know. Just give me a try. | 那得看你想知道什么。尽管问吧。
batch_1.tsv	dialogue_0004.tsv	1336	char_valessa	标点	Says the guy who got lost on his way home last week.	上周回家路上走丢的人是谁来着。	上周回家路上走丢的人是谁来着？	反问句缺少问号。	[char_fortaime] Again, I'm not little!\nAnd trust me, I'll never get lost.\nI have a p | 再说一遍，我不是小家伙！\n而且相信我，我绝不会走丢。\n我方向感很好的。	[char_fortaime] Valessa, it was {i}dark{/i}!\nYou'd have done the same thing in my sit | 瓦莱莎，当时天{i}黑{/i}了！\n换你在我那个情况下也会一样的。
batch_1.tsv	dialogue_0004.tsv	1375	char_fortaime	其他	Mean...!	好过份……！	好过分……！	“过份”是错字，规范写法为“过分”。	[char_ulric] Yeah — taken advantage of.\nThe locals know a tourist when they see on | 是啊——被人占了便宜。\n本地人一眼就能认出游客。\n看你什么都不懂，他们就抬价。	[char_ulric] Sorry, it's my fault.\nFor a moment, I put too much faith in the peopl | 抱歉，是我的错。\n有那么一瞬间，我对这些人太过信任了。\n至少现在你知道我那些警告都是真的了。
batch_1.tsv	dialogue_0004.tsv	1392	char_damek	误译	What...? Oh, cut it out.\nThere's no need to say things like that.\nTrust me — you're already on my good side.	什么……？哦，别这么说。\n没必要讲这种话。\n相信我——你早就是我心目中的好人选了。	什么……？哦，别这么说。\n没必要讲这种话。\n相信我——你早就已经讨我喜欢了。	on my good side意为得到青睐，不是成为候选人。	[char_damek] I almost can't believe this is happening.\nIt's an honor to meet you,  | 我几乎不敢相信这是真的。\n能见到你实在是我的荣幸，[firstname]——真的。	[旁白] I reach out to shake his hand, but he immediately pulls back.{w}\nWith | 我伸手想和他握手，他却立刻缩了回去。{w}\n他紧张地笑了笑，挠着后脑勺。我做错什么了吗？{w}\n他看起来见到我很兴奋，所以我还以为该握个
batch_1.tsv	dialogue_0004.tsv	1430	char_damek	术语	Well, almost everything, I'd assume.\nI was one of the \"founding members\" with Salus.\nI guess they liked that term more than \"child soldier\".	嗯，我想几乎所有事吧。\n我是和萨卢斯一起的“创始成员”之一。\n大概是他们觉得这说法比“童子军”好听。	嗯，我想几乎所有事吧。\n我是和萨卢斯一起的“创始成员”之一。\n大概是他们觉得这说法比“童兵”好听。	child soldier是“童兵”，“童子军”是Boy Scouts。	[char_damek] But right now, I really don't have the time.\nI've been training and w | 但现在，我真的没时间。\n我从小就在训练和工作。\n他们毫不犹豫地让一个孩子拿起剑。	[char_damek] When The Triumvirate took over Mazeo, they had one goal.\nDig deep und | 三人执政团接管马泽奥时，只有一个目标。\n往地下深处挖掘，找到这个国家真正的灵像。\n他们让荣誉卫队来做这件事。就是那些空荡荡的盔甲。
batch_1.tsv	dialogue_0005.tsv	1608	char_sovy	其他	You have to be near the blade for it to work, but it's useful.\nDisarming your enemy is a viable tactic in battle, so be ready.\nThey will try to take the blade away from you, because of its power.	你得靠近那把剑才能做到，但这招很有用。\n缴械敌人是战斗中可行的战术，所以做好准备。\n他们会想从你手里夺走那把剑，因为它蕴含的力量。	你得靠近那把剑才能做到，但这招很有用。\n卸下敌人的武器是战斗中可行的战术，所以做好准备。\n他们会想从你手里夺走那把剑，因为它蕴含的力量。	“缴械敌人”语法歧义，disarming enemy即卸下敌人武器。	[旁白] He holds out a close fist, and my blade soon appears in his hand.{w}\n | 他握紧拳头伸出来，我的剑随即出现在他手中。{w}\n我见过好几次了，几乎像是他随时都能把它召唤过来。	[旁白] I nod. | 我点点头。
