chunk	seq	category	指代对象	上文译法	下文/现状译法	建议译文	理由
dialogue_0005.tsv	1696	待定	big score（同一票生意）	最大的一票	大捞一笔	也许回总部后我会多告诉你一些。\n我会用这一票赚来的钱买瓶酒。\n我们可以开瓶畅饮，彼此认识认识。	同一段落对同一票生意的表达再次漂移，宜与前一行的“一票”口径统一。
dialogue_0005.tsv	1698	待定	big score（同一票生意）	最大的一票	大捞一笔	我还是能说服你的。尤其要是你还有回旋的余地。\n这样吧——我会用这一票赚来的钱买瓶酒。\n回总部后我们可以开瓶畅饮，更好地了解彼此。	同一段落对同一票生意的表达再次漂移，宜与前一行的“一票”口径统一。
dialogue_0005.tsv	1986	不一致	War Table（作战桌）	作战桌	战争之桌	警告：前往作战桌将开启第三幕。\n第三幕是一长串过场动画，没有任何支线内容。\n请务必预留充足时间观看。	同一界面/地点专名全篇多数作“作战桌”。
dialogue_0006.tsv	2115	不一致	Crew Quarters（船员舱）	船员舱	船员宿舍	不过，达梅克还提到了船员舱和作战桌。{w}\n这个巨大房间里的某扇门一定通向更深处。{w}\n我几乎难以相信那些铠甲造出了这一切。	同一场景名全篇多数作“船员舱”，此处另译“船员宿舍”。
dialogue_0007.tsv	2406	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	是吗……？\n看来“萨鲁斯”是位可敬的人。\n我们难道不是在完成他最后的遗愿吗？	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0007.tsv	2671	不一致	War Table（作战桌）	作战桌	作战会议桌	好了，参观差不多到此结束了。\n之后只剩下船员舱和作战桌。\n我想你会在这里度过大部分闲暇时光。	同一专名全篇稳定译作“作战桌”，此处扩译成“作战会议桌”。
dialogue_0007.tsv	2726	不一致	War Table（作战桌）	作战桌	作战会议桌	索维的忠诚剧情已解锁，在作战桌处等待。	同一专名全篇稳定译作“作战桌”，此处扩译成“作战会议桌”。
dialogue_0007.tsv	2728	不一致	War Table（作战桌）	作战桌	作战会议桌	那边那扇门通向作战桌。\n参观到此结束。那才是事情开始的地方。\n我会把作战计划和你过一遍，再给你一份行程安排。	同一专名全篇稳定译作“作战桌”，此处扩译成“作战会议桌”。
dialogue_0007.tsv	2732	不一致	War Table（作战桌）	作战桌	作战会议桌	其实，我要先回房间一下。\n之后我们在作战桌见，好吗？\n花点时间放松一下，你真的很该歇歇了。	同一专名全篇稳定译作“作战桌”，此处扩译成“作战会议桌”。
dialogue_0007.tsv	2736	不一致	War Table（作战桌）	作战桌	作战会议桌	不过，我得确保好好利用这段时间。{w}\n我一旦在作战桌与他碰面，一切就会开始。{w}\n而我有种感觉，往后的一切都不会轻松。	同一专名全篇稳定译作“作战桌”，此处扩译成“作战会议桌”。
dialogue_0007.tsv	2737	不一致	War Table（作战桌）	作战桌	作战会议桌	[[使用区域地图前往作战桌，继续剧情。]\n[[现在，你可以随意探索世界，自由体验各项内容。]\n[[每位已解锁的角色在船员舱都有一个心灵对话事件。]	同一专名全篇稳定译作“作战桌”，此处扩译成“作战会议桌”。
dialogue_0008.tsv	2911	不一致	Town Square（城镇广场）	城镇广场	镇广场	是啊，我就是想念阳光。\n不过我每天都会出去锻炼。\n我一路跑到城镇广场再跑回来。	同一地名在本范围多数作“城镇广场”，此处省略“城”字。
dialogue_0008.tsv	2963	不一致	Town Square（城镇广场）	城镇广场	镇广场	我记得那一堆堆的尸体。成百上千具排在城镇广场上。\n占领后的那些日子很可怕。尸体一望无际。\n幸好，我清楚他们把我母亲的遗体放在了哪里。于是我径直去找它。	同一地名在本范围多数作“城镇广场”，此处省略“城”字。
dialogue_0009.tsv	3315	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	萨鲁斯。这具容器的名字。\n他早已不在人世。不要用这个名字。\n正如我们之前所说，不需要名字。	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
dialogue_0009.tsv	3331	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	其中大部分进入了你随身携带的那把剑。\n有些被用来治愈你的伤口。\n剩下的呢？嗯，我们找了一具容器来用。	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
dialogue_0009.tsv	3332	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	一具容器……？	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
dialogue_0009.tsv	3335	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	我们就是你们所称的“灵界”。\n在此之前，我们的力量只存在于物件之中。\n那些，以及像你一样拥有自己声音的容器。	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
dialogue_0009.tsv	3399	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	那个神秘男子深吸一口气，才开口说话。{w}\n达梅克和我敬畏地向前倾身，几乎不敢相信眼前的情形。{w}\n灵界正借一具容器{i}直接{/i}与我们交谈。	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
dialogue_0009.tsv	3472	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	灵界给了我们最后的恩赐。真相。\n站在你们面前的{i}不是{/i}萨鲁斯。他已成了一具容器。\n这就是灵界的化身。由我们地下的灵像供给力量。	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
dialogue_0009.tsv	3483	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	你看，灵界已经不存在了。\n那界域中所有的能量都找到了新的归宿。\n有些在这具容器里，有些在那把剑里。	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
dialogue_0009.tsv	3541	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	一定有别的办法。看看你眼前的东西。\n那股能量可以用来复活我们失去的部队。\n我们可以为王室创造更多的容器。更多的士兵。	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
dialogue_0009.tsv	3544	不一致	vessel(s)（容器）	容器（后文及“Monarch Vessels”统一译法）	躯壳	更弱小的存在会感受到永恒的剧痛。\n而死亡不会轻易降临到这样的容器身上。\n战争中受到的创伤会加重这份痛苦。	同一世界设定名词在后文统一为“容器”，此段仍作“躯壳”。
