dialogue_0019.tsv	7250	不一致	Monarch Vessels（君主容器）	君主容器	君王容器	君主容器已经在竞技场旁等候了。\n我带大家去我们的座位，好在现场看你们战斗。\n现在就看你的了，[firstname]。去竞技场吧。	同一专名在其余段落均作“君主容器”，此处改成了“君王容器”。
dialogue_0019.tsv	7579	不一致	Monarch Vessels（君主容器）	君主容器	君王容器	幸好，君主容器没有一个战死。\n我们比以往任何时候都更强大。这才是关键。\n进攻巴尔泰乌斯会易如反掌……！	同一专名在其余段落均作“君主容器”，此处改成了“君王容器”。
dialogue_0010.tsv	3711	不一致	Vessels（君主容器的简称）	君主容器	容器军队	我们有了一支由君主容器组成的军队，[firstname]。\n希望你能尽快见到他们。	同一群指代对象后文均称“君主容器”，此处省略名称后只作“容器”。
dialogue_0012.tsv	4788	不一致	Vessels（君主容器的简称）	君主容器	容器们	说完，他立刻把一根手指按在唇上。{w}\n显然，在君主容器们执行任务时，我们必须保持安静。{w}\n我们在死一般的寂静中等待着，等着听见剑刃相交的声音。	同一群指代对象后文均称“君主容器”，此处省略名称后只作“容器”。
dialogue_0012.tsv	4539	不一致	phase the blade back into my hands	将剑相位转移回手中	把剑瞬间召回手中	但紧接着，出乎他意料的是，我将剑相位转移回手中。{w}\n我转向他，将剑刺入他的腹部，把他推了回去。{w}\n我拔出剑时，他发出一声惨叫，踉跄后退，捂住伤口。	同一动作在后文统一作“相位转移”，此处改成“瞬间召回”。
dialogue_0012.tsv	4549	不一致	phase the blade back into my hands	将剑相位转移回手中	把剑瞬间召回手中	但紧接着，出乎他意料的是，我将剑相位转移回手中。{w}\n趁他猝不及防，我举起剑，用剑柄砸向他的头。{w}\n他惨叫着踉跄后退，被打得头晕眼花。我上前一步，又做了同样的事。	同一动作在后文统一作“相位转移”，此处改成“瞬间召回”。
dialogue_0017.tsv	6472	待定	means to an end	达成目的的手段	达到目的的手段	是啊，但不止是阿拉林西亚，瓦莱莎。\n整场战争都可以这么说。\n有时候，把别人看作“达成目的的手段”会更好。	同一习语已有“达成目的的手段”的固定译法；此处仅差一字，建议统一。
dialogue_0019.tsv	7584	待定	means to an end	达成目的的手段	是为了达到目的的手段	也许吧。我们猜，这是达成目的的手段。\n敌人多半也是这么想的。	同一习语已有“达成目的的手段”的固定译法；此处语序与用字均不同，建议统一。
dialogue_0011.tsv	4051	不一致	suits of armor（空甲）	空甲	铠甲士兵	仔细一想，确实有道理。尤其是这些隧道。\n那些空甲清楚地知道该如何为你的军队加固这个地方。\n他们必定保留了记忆，每一次都做出了调整。	同一批无生命的荣誉卫队甲胄后文统一称“空甲”；此处“铠甲兵/铠甲士兵”会误读成穿甲士兵。
dialogue_0012.tsv	4476	不一致	suits of armor（空甲）	空甲	铠甲兵	弓箭手们还击，击倒了操作武器的空甲。{w}\n我回头看向船舵，亚历克斯转动舵轮，让船转向敌舰。	同一批无生命的荣誉卫队甲胄后文统一称“空甲”；此处“铠甲兵/铠甲士兵”会误读成穿甲士兵。
dialogue_0012.tsv	4478	不一致	suits of armor（空甲）	空甲	铠甲兵	弓箭手们还击，击倒了操作武器的空甲。{w}\n我回头看向船舵，娜达转动舵轮，让船转向敌舰。	同一批无生命的荣誉卫队甲胄后文统一称“空甲”；此处“铠甲兵/铠甲士兵”会误读成穿甲士兵。
dialogue_0012.tsv	4483	不一致	suits of armor（空甲）	空甲	铠甲兵	他轻松闪避敌人的攻击，以娴熟的技巧还击。{w}\n一挥剑就击倒好几架空甲，显然游刃有余。{w}\n我转过身，命令剩下的士兵冲锋。我把自己留到最后。	同一批无生命的荣誉卫队甲胄后文统一称“空甲”；此处“铠甲兵/铠甲士兵”会误读成穿甲士兵。
dialogue_0012.tsv	4729	不一致	suits of armor（空甲）	空甲	铠甲兵	一出小屋，寒冷而不友好的空气就扑面而来。{w}\n就像东冠一样。我不知道人们怎么能在这地方活下来。{w}\n不过，这里本来也没多少人。主要都是那些空甲。	同一批无生命的荣誉卫队甲胄后文统一称“空甲”；此处“铠甲兵/铠甲士兵”会误读成穿甲士兵。
