chunk	seq	category	指代对象	上文译法	下文/现状译法	建议译文	理由
strings_0002.tsv	444	不一致	The Monarchy	后在 dialogue_0021 多处统一译作“君主国”	{image=icons/651.png} 用这把剑，我将确保一个足以让王权骄傲的未来。	{image=icons/651.png} 用这把剑，我将确保一个足以让君主国骄傲的未来。	同一演说持续使用 The Monarchy，当前“王权”与后文“君主国”不是同一说法。
strings_0002.tsv	450	不一致	The Monarchy	后在 dialogue_0021 多处统一译作“君主国”	{image=icons/651.png} “为了王权！”	{image=icons/651.png} “为了君主国！”	口号中的同一专名应与后文统一，否则听感上像两个不同阵营。
strings_0002.tsv	468	不一致	The Monarchy	后在 dialogue_0021 多处统一译作“君主国”	{image=icons/651.png} “那你为什么要囚禁王权……？”	{image=icons/651.png} “那你为什么要囚禁君主国……？”	同一话语链中的回指对象是 The Monarchy，后文已固定为“君主国”。
strings_0002.tsv	543	不一致	The Monarchy	后在 dialogue_0021 多处统一译作“君主国”	{image=icons/579.png} “知道王权遭受了怎样的苦难，实在难以庆祝。”	{image=icons/579.png} “知道君主国遭受了怎样的苦难，实在难以庆祝。”	同一专名被译作两种实体概念，会让读者误以为“王权”和“君主国”是不同对象。
strings_0003.tsv	801	待定	That sounds pretty awesome	strings_0001 #62 同一核心句译作“听起来挺酷的”	{image=icons/651.png} “听起来真棒，希望我们会去参加！”	{image=icons/651.png} “听起来挺酷，希望我们会去参加！”	同一英语感叹句出现两种不同强度的译法；虽然说话人和上下文可能不同，仍建议人工确认是否统一。
strings_0003.tsv	846	不一致	play it by ear	strings_0002 #602、#793 已两次译作“随机应变”	{image=icons/580.png} “走一步看一步吧。我们可能撑不过这一关。”	{image=icons/580.png} “随机应变吧。我们可能撑不过这一关。”	同一俚语在同一界面串集合内已有稳定中文说法，此处不应改为另一习语。
strings_0003.tsv	847	不一致	I'd rather not talk about it	strings_0002 #643 将同一句译作“我宁愿不谈这个。”	{image=icons/653.png} “其实，我不想谈这个。”	{image=icons/653.png} “其实，我宁愿不谈这个。”	同一核心表达前文保留“宁愿不谈”的拒绝力度，此处“不想”弱化了 rather not。
strings_0003.tsv	855	不一致	I'd rather not talk about this	strings_0002 #643 将同一句式译作“我宁愿不谈这个。”	{image=icons/580.png} “福泰姆，我不想谈这个。”	{image=icons/580.png} “福泰姆，我宁愿不谈这个。”	此处是上文同一句式的变体，后文应沿用已建立的“宁愿不谈”。
strings_0003.tsv	1097	待定	transitions / Transitions	strings_0003 #945 将带标题大小写的同一界面项译作“转场效果”	转场	转场效果	两处源文仅大小写不同，疑似同一功能标签；需人工确认菜单层级后统一。
dialogue_0020.tsv	7664	待定	Sure.	dialogue_0021 #8340 将同一词译作“当然。”	行。	当然。	相同英语答句在不同角色处用了“行/当然”；可能有意体现 Pro 和 Ulric 的语气差异，也可能属于跨行不一致，需人工确认。
dialogue_0024.tsv	9357	不一致	play it by ear	strings_0002 #602、#793 已将同一俚语译作“随机应变”	我大概不该计划得太细。走一步看一步吧。	也许我会遇到一个特别的人，带上一起走。\n当然，这些都还没定。很多事都可能变。\n我大概不该计划得太细。随机应变吧。	对白与界面串使用同一俚语却采用了两套固定译法；按已出现两次的“随机应变”统一。
